board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Mathematics as Study of Patterns,Explain why mathematics is concerned with finding patterns and their explanations,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Mathematics as Study of Patterns,Identify examples of patterns and explanations from the chapter,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Numbers,Identify recurring number patterns from given sequences,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify odd numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify even numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate square numbers by multiplying a number by itself' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify triangular numbers by arranging dots in a triangular pattern' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Numbers,Describe the rule governing a given number pattern,[],"[""Identify recurring number patterns from given sequences""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify odd numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify even numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate square numbers by multiplying a number by itself' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify triangular numbers by arranging dots in a triangular pattern' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Numbers,Predict the next terms of a number pattern using the identified rule,[],"[""Describe the rule governing a given number pattern""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify odd numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify even numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate square numbers by multiplying a number by itself' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify triangular numbers by arranging dots in a triangular pattern' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Numbers,"Recognise common number sequences such as counting numbers, odd numbers, even numbers, square numbers, triangular numbers, cube numbers, Virahānka numbers, and powers of 2 and 3",[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify odd numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify even numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate square numbers by multiplying a number by itself' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify triangular numbers by arranging dots in a triangular pattern' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Identify odd numbers from a given set of numbers"", ""reason"": ""Recognising odd numbers as a named sequence requires the earlier-established ability to identify which numbers are odd.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Identify even numbers from a given set of numbers"", ""reason"": ""Recognising even numbers as a named sequence requires the earlier-established ability to identify which numbers are even.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Calculate square numbers by multiplying a number by itself"", ""reason"": ""Recognising the square number sequence requires already knowing how a square number is generated.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Identify triangular numbers by arranging dots in a triangular pattern"", ""reason"": ""Recognising the triangular number sequence requires already knowing how a triangular number is generated.""}]"
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Numbers,"Explain why triangular numbers, square numbers, cube numbers, and hexagonal numbers get their names",[],"[""Recognise common number sequences such as counting numbers, odd numbers, even numbers, square numbers, triangular numbers, cube numbers, Virahānka numbers, and powers of 2 and 3""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify odd numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify even numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate square numbers by multiplying a number by itself' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify triangular numbers by arranging dots in a triangular pattern' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Explain why a given number is a triangular number"", ""reason"": ""Explaining the naming of triangular numbers builds directly on the earlier skill of justifying why a number counts as triangular.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Explain why a given number is a square number"", ""reason"": ""Explaining the naming of square numbers builds directly on the earlier skill of justifying why a number counts as square.""}]"
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Numbers,"Identify numbers that can be represented in more than one way, such as numbers that are both triangular and square",[],"[""Recognise common number sequences such as counting numbers, odd numbers, even numbers, square numbers, triangular numbers, cube numbers, Virahānka numbers, and powers of 2 and 3""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify odd numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify even numbers from a given set of numbers' (in Grade 4/Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Calculate square numbers by multiplying a number by itself' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify triangular numbers by arranging dots in a triangular pattern' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Identify triangular numbers by arranging dots in a triangular pattern"", ""reason"": ""Determining whether a number is both triangular and square requires already being able to identify triangular numbers via their dot arrangement.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Identify square numbers by arranging dots in a square array"", ""reason"": ""Determining whether a number is both triangular and square requires already being able to identify square numbers via their dot arrangement.""}]"
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Shapes,"Identify visual patterns formed by shapes such as squares, triangles and stars","[""Patterns in Numbers""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter01_Patterns_In_Mathematics,Patterns in Shapes,Relate a shape pattern to its corresponding number pattern,"[""Patterns in Numbers""]","[""Identify visual patterns formed by shapes such as squares, triangles and stars"", ""Describe the rule governing a given number pattern""]",[],[],[],[]
