board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Life of a Snake Charmer (Kalbeliya Tribe),Describe the lifestyle and occupations of the Kalbeliya tribe,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Life of a Snake Charmer (Kalbeliya Tribe),Suggest possible occupations that Kalbeliyas could pursue apart from snake charming,[],"[{""item"": ""Describe the lifestyle and occupations of the Kalbeliya tribe"", ""reason"": ""Students must first know the tribe's current occupations before they can suggest viable alternative ones.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Life of a Snake Charmer (Kalbeliya Tribe),Describe a typical day in the life of a snake charmer,[],"[{""item"": ""Describe the lifestyle and occupations of the Kalbeliya tribe"", ""reason"": ""A detailed account of a typical day builds on the broader understanding of the tribe's overall lifestyle and occupations.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Snakes and Snake Charmers,Name some poisonous snakes found in India,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Snakes and Snake Charmers,Explain the ways in which snakes help farmers and humans,[],"[{""item"": ""Name some poisonous snakes found in India"", ""reason"": ""Identifying specific snakes provides the factual basis needed to explain the roles particular snake species play in helping humans.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Snakes and Snake Charmers,Describe the feelings of caged animals and express empathy towards them,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Animals Kept for Livelihood,Collect and list information about animals people keep for their livelihood,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Animals Kept for Livelihood,"Describe the food, eating habits, and care needed for animals kept for livelihood",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,River Godavari and its course,Identify the states and features along the course of river Godavari,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Journey of a River"", ""reason"": ""Understanding the general model of how a river flows from its mountain source to the sea is needed before tracing the specific course and features of the Godavari.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Trace the journey of a river from mountain to sea"", ""reason"": ""Tracing a generic river's journey teaches the concept of a river's course, which is directly applied to mapping Godavari's specific course.""}]"
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Tributaries of a river,Describe how tributaries join and contribute to the flow of a main river,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter02_Journey_of_a_River,Perennial and seasonal rivers,Explain the difference between perennial and seasonal rivers,[],[],[],[],[],[]
