board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Skip counting forward and backward by 3s and 4s (Numerals 1-100),Identify the pattern rule used in a skip counting sequence by 3s or 4s,[],"[""Complete a number sequence with missing terms while counting forward in 3s and 4s"", ""Complete a number sequence with missing terms while counting backward in 3s and 4s""]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The general technique of skip counting forward, including by threes, is introduced earlier and is extended here to counting by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""The general technique of counting backward in patterns is required before students can skip count backward specifically by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Extend an increasing number pattern by predicting the next terms' (in Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Complete number sequences by identifying the skip-counting rule"", ""reason"": ""Identifying the rule for a 3s or 4s sequence relies on the general skip-counting rule-identification skill taught earlier.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Number sequence and ordering (1 to 100)"", ""reason"": ""Skip counting by 3s and 4s up to 100 requires already knowing the standard forward/backward sequence of numbers up to 100.""}]",[]
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Skip counting forward and backward by 3s and 4s (Numerals 1-100),Complete a number sequence with missing terms while counting forward in 3s and 4s,[],"[""Extend a given skip counting pattern to the next few numbers""]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The general technique of skip counting forward, including by threes, is introduced earlier and is extended here to counting by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""The general technique of counting backward in patterns is required before students can skip count backward specifically by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Extend an increasing number pattern by predicting the next terms' (in Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Complete number sequences by identifying the skip-counting rule"", ""reason"": ""Filling missing terms in a forward 3s/4s sequence depends on the general skip-counting completion skill taught earlier.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Number sequence and ordering (1 to 100)"", ""reason"": ""Skip counting by 3s and 4s up to 100 requires already knowing the standard forward/backward sequence of numbers up to 100.""}]",[]
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Skip counting forward and backward by 3s and 4s (Numerals 1-100),Complete a number sequence with missing terms while counting backward in 3s and 4s,[],"[""Extend a given skip counting pattern to the next few numbers""]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The general technique of skip counting forward, including by threes, is introduced earlier and is extended here to counting by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""The general technique of counting backward in patterns is required before students can skip count backward specifically by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Extend an increasing number pattern by predicting the next terms' (in Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Complete backward-counting patterns by identifying the decreasing rule"", ""reason"": ""Filling missing terms in a backward 3s/4s sequence depends on the general backward pattern-completion skill taught earlier.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Number sequence and ordering (1 to 100)"", ""reason"": ""Skip counting by 3s and 4s up to 100 requires already knowing the standard forward/backward sequence of numbers up to 100.""}]",[]
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Skip counting forward and backward by 3s and 4s (Numerals 1-100),Extend a given skip counting pattern to the next few numbers,[],"[""Identify the pattern rule used in a skip counting sequence by 3s or 4s""]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""The general technique of skip counting forward, including by threes, is introduced earlier and is extended here to counting by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting backward and decreasing number patterns"", ""reason"": ""The general technique of counting backward in patterns is required before students can skip count backward specifically by 3s and 4s.""}, {""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Extend an increasing number pattern by predicting the next terms' (in Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Extend an increasing number pattern by predicting the next terms"", ""reason"": ""Extending a skip counting pattern relies on the general pattern-extension skill already taught earlier.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Number sequence and ordering (1 to 100)"", ""reason"": ""Skip counting by 3s and 4s up to 100 requires already knowing the standard forward/backward sequence of numbers up to 100.""}]",[]
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Place value of tens and ones in two-digit numbers,Identify the tens digit and ones digit in a given two-digit number,"[""Addition of two-digit numbers without regrouping"", ""Subtraction of two-digit numbers without regrouping""]",[],"[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Students must already understand tens and ones place value from this earlier chapter before applying it to decide on regrouping in addition and subtraction.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 43 = 4 tens and 3 ones)' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify the number of tens and ones in a given two-digit number"", ""reason"": ""This basic tens/ones identification skill is taught earlier and is directly reused when deciding whether regrouping is needed.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Understanding that a two-digit number splits into a tens digit and ones digit was first introduced with numbers 10-20 and is extended here to all two-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify the tens digit and ones digit in a two-digit number"", ""reason"": ""This is the identical skill first practised on numbers 10-20, now applied to all two-digit numbers.""}]"
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Place value of tens and ones in two-digit numbers,Express two-digit numbers in terms of tens and ones,"[""Addition of two-digit numbers without regrouping"", ""Subtraction of two-digit numbers without regrouping""]","[""Identify the tens digit and ones digit in a given two-digit number""]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Students must already understand tens and ones place value from this earlier chapter before applying it to decide on regrouping in addition and subtraction.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 43 = 4 tens and 3 ones)' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 43 = 4 tens and 3 ones)"", ""reason"": ""Expressing a number in terms of tens and ones is the same decomposition skill already established in the earlier chapter.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Understanding that a two-digit number splits into a tens digit and ones digit was first introduced with numbers 10-20 and is extended here to all two-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""Expressing a number as tens plus ones is the same decomposition skill already practised for numbers up to 20.""}]"
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Place value of tens and ones in two-digit numbers,Compose a two-digit number given its tens and ones parts,"[""Addition of two-digit numbers without regrouping"", ""Subtraction of two-digit numbers without regrouping""]","[""Express two-digit numbers in terms of tens and ones""]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Students must already understand tens and ones place value from this earlier chapter before applying it to decide on regrouping in addition and subtraction.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 43 = 4 tens and 3 ones)' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Compose a two-digit number when given the number of tens and ones"", ""reason"": ""This composing skill was already introduced earlier and is directly required here.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Understanding that a two-digit number splits into a tens digit and ones digit was first introduced with numbers 10-20 and is extended here to all two-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Compose a two-digit number from given tens and ones"", ""reason"": ""This is the same composition skill first practised on numbers 10-20, extended to all two-digit numbers.""}]"
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Place value of tens and ones in two-digit numbers,Use place value to explain why regrouping is or is not needed in addition or subtraction,"[""Addition of two-digit numbers without regrouping"", ""Subtraction of two-digit numbers without regrouping""]","[""Express two-digit numbers in terms of tens and ones"", ""Check that the ones and tens sums do not exceed 9 when adding without regrouping"", ""Check that the ones and tens digits being subtracted do not require borrowing""]","[{""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Students must already understand tens and ones place value from this earlier chapter before applying it to decide on regrouping in addition and subtraction.""}, {""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 43 = 4 tens and 3 ones)' (in Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Understanding that a two-digit number splits into a tens digit and ones digit was first introduced with numbers 10-20 and is extended here to all two-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Decompose a two-digit number into tens and ones (e.g., 17=10+7)' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Addition of two-digit numbers without regrouping,Add two two-digit numbers horizontally without regrouping,"[""Place value of tens and ones in two-digit numbers""]",[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition using vertical algorithm without carryover (up to 20)"", ""reason"": ""The column-addition procedure without carrying was already practised on two-digit numbers up to 20 and is directly extended to larger sums here.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Vertical and horizontal format of addition"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two single-digit numbers using horizontal and vertical formats' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Calculate the sum of two single-digit numbers using horizontal and vertical formats"", ""reason"": ""Writing and solving an addition in horizontal format was first practised here before being applied to two-digit numbers.""}]"
CBSE,Maths,Grade 2,Chapter6_Decoration_for_Festival,Addition of two-digit numbers without regrouping,Add two two-digit numbers without regrouping using column method,"[""Place value of tens and ones in two-digit numbers""]","[""Check that the ones and tens sums do not exceed 9 when adding without regrouping""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Addition using vertical algorithm without carryover (up to 20)"", ""reason"": ""The column-addition procedure without carrying was already practised on two-digit numbers up to 20 and is directly extended to larger sums here.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Vertical and horizontal format of addition"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two single-digit numbers using horizontal and vertical formats' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Calculate the sum of two 2-digit numbers up to 20 using vertical arrangement without carryover"", ""reason"": ""The column method without carrying was already practised on two-digit numbers up to 20 and is extended to larger sums here.""}]"
