board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Chemical Reactions and their Identification,Identify observations that indicate a chemical reaction has occurred,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical reaction and chemical equation"", ""reason"": ""This chapter first introduces that a chemical reaction produces a new substance and represents it as a word equation, the basis for identifying reactions in the target.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical change"", ""reason"": ""Derived from skill prerequisite: 'Summarize the features that accompany a chemical change' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Summarize the features that accompany a chemical change"", ""reason"": ""This skill lists observable signs of chemical change, which the target skill applies to determine that a reaction has occurred.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Physical vs Chemical Change,Compare the characteristics of initial and final substances to determine whether a change is physical or chemical,"[""Chemical Reactions and their Identification""]","[""Identify observations that indicate a chemical reaction has occurred""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Physical vs chemical change"", ""reason"": ""This chapter establishes the criteria (new substance formed vs. no new substance) that the target concept relies on to distinguish the two types of change.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Evaluate a given set of everyday changes to distinguish between physical and chemical changes"", ""reason"": ""This is the same distinguishing task first practiced with everyday changes, which the target skill extends by comparing initial and final substances directly.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Chemical Equation - Reactants and Products,Classify substances in a chemical reaction as reactants or products,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical reaction and chemical equation"", ""reason"": ""The idea of reactants converting into products via a word equation was first introduced here, forming the structural basis for writing full chemical equations.""}]",[]
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Writing Chemical Equations,Write chemical equations using correct chemical symbols and formulae,"[""Chemical Equation - Reactants and Products"", ""Law of Conservation of Mass"", ""Balancing Chemical Equations""]","[""Classify substances in a chemical reaction as reactants or products""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Writing Chemical Formulae"", ""reason"": ""Correctly writing chemical equations requires already knowing how to derive correct chemical formulae for compounds using valency rules.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical reaction and chemical equation"", ""reason"": ""Derived from skill prerequisite: 'Write a word equation to represent a given chemical reaction' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Write the chemical formula of a compound using symbols and valencies"", ""reason"": ""Deriving a correct formula from symbols and valencies is a specific prior technique required to write correct chemical equations.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Writing Chemical Equations,Write word-equations for chemical reactions,"[""Chemical Equation - Reactants and Products"", ""Law of Conservation of Mass"", ""Balancing Chemical Equations""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Writing Chemical Formulae"", ""reason"": ""Correctly writing chemical equations requires already knowing how to derive correct chemical formulae for compounds using valency rules.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical reaction and chemical equation"", ""reason"": ""Derived from skill prerequisite: 'Write a word equation to represent a given chemical reaction' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Write a word equation to represent a given chemical reaction"", ""reason"": ""This is the exact same procedural skill of writing word equations that the target builds upon.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Writing Chemical Equations,Translate verbal descriptions of reactions into balanced chemical equations,"[""Chemical Equation - Reactants and Products"", ""Law of Conservation of Mass"", ""Balancing Chemical Equations""]","[""Write word-equations for chemical reactions"", ""Apply the Law of Conservation of Mass to balance a chemical equation""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Writing Chemical Formulae"", ""reason"": ""Correctly writing chemical equations requires already knowing how to derive correct chemical formulae for compounds using valency rules.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical reaction and chemical equation"", ""reason"": ""Derived from skill prerequisite: 'Write a word equation to represent a given chemical reaction' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Write the chemical formula of a compound using symbols and valencies"", ""reason"": ""Converting a verbal description into a balanced equation requires first being able to derive correct formulae for the substances named.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Writing Chemical Equations,Predict products of simple chemical reactions,"[""Chemical Equation - Reactants and Products"", ""Law of Conservation of Mass"", ""Balancing Chemical Equations""]","[""Classify substances in a chemical reaction as reactants or products""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Writing Chemical Formulae"", ""reason"": ""Correctly writing chemical equations requires already knowing how to derive correct chemical formulae for compounds using valency rules.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical reaction and chemical equation"", ""reason"": ""Derived from skill prerequisite: 'Write a word equation to represent a given chemical reaction' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Law of Conservation of Mass,State the Law of Conservation of Mass in terms of total mass of reactants and products,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Law of Conservation of Mass"", ""reason"": ""The law itself, along with its experimental verification, was introduced in this chapter before being applied here to balance equations.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Verify the Law of Conservation of Mass quantitatively using given masses of reactants and products"", ""reason"": ""The quantitative verification of the law practiced earlier provides the conceptual grounding needed to state it accurately here.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Balancing Chemical Equations,Apply the Law of Conservation of Mass to balance a chemical equation,"[""Law of Conservation of Mass"", ""Writing Chemical Equations""]","[""State the Law of Conservation of Mass in terms of total mass of reactants and products"", ""Calculate the number of atoms of each element in reactants and products to verify a balanced equation""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Law of Conservation of Mass"", ""reason"": ""Derived from skill prerequisite: 'Apply the Law of Conservation of Mass to determine the mass of elements in a mixture' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Atoms and Molecules - Fundamentals"", ""reason"": ""Derived from skill prerequisite: 'Determine the number of atoms present in a molecule of an element based on its atomicity' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Apply the Law of Conservation of Mass to determine the mass of elements in a mixture"", ""reason"": ""Prior application of the law to determine masses of elements underlies its extended application to balancing equations.""}]"
CBSE,Science,Grade 10,Chapter01_Chemical_Reactions_And_Equations,Balancing Chemical Equations,Calculate the number of atoms of each element in reactants and products to verify a balanced equation,"[""Law of Conservation of Mass"", ""Writing Chemical Equations""]","[""Write chemical equations using correct chemical symbols and formulae""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Law of Conservation of Mass"", ""reason"": ""Derived from skill prerequisite: 'Apply the Law of Conservation of Mass to determine the mass of elements in a mixture' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Atoms and Molecules - Fundamentals"", ""reason"": ""Derived from skill prerequisite: 'Determine the number of atoms present in a molecule of an element based on its atomicity' (in Grade 9/Chapter09_Atomic_Foundations_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Determine the number of atoms present in a molecule of an element based on its atomicity"", ""reason"": ""Counting atoms within a molecule or formula is the specific prior skill needed to verify atom balance in an equation.""}]"
