board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Physical Properties of Metals and Non-metals,Classify given materials as metals or non-metals based on their observed physical properties,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Physical properties of metals"", ""reason"": ""Grade 10 classification of metals builds directly on the basic set of physical properties (lustre, hardness, state) first catalogued in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Physical properties of non-metals"", ""reason"": ""Distinguishing non-metals in Grade 10 relies on the physical property contrasts (dullness, brittleness) established in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Differentiating metals and non-metals"", ""reason"": ""Derived from skill prerequisite: 'Differentiate metals from non-metals on the basis of their physical properties' (in Grade 7/Chapter04_The_World_of_Metals_and_Non-metals) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Differentiate metals from non-metals on the basis of their physical properties"", ""reason"": ""The Grade 10 classification skill is a direct continuation of the physical-property-based differentiation taught in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Metallic Lustre,Identify metallic lustre as a distinguishing physical property of metals,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Physical properties of metals"", ""reason"": ""Derived from skill prerequisite: 'Identify metals based on observable properties such as lustre, malleability, and ductility' (in Grade 7/Chapter04_The_World_of_Metals_and_Non-metals) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Identify metals based on observable properties such as lustre, malleability, and ductility"", ""reason"": ""Recognising lustre as a property of metals was already practised as an identification skill in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Malleability and Ductility,Distinguish between malleability and ductility with examples,"[""Physical Properties of Metals and Non-metals""]","[""Classify given materials as metals or non-metals based on their observed physical properties""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Malleability"", ""reason"": ""The Grade 10 discussion assumes the student already knows what malleability means from Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Ductility"", ""reason"": ""The Grade 10 discussion assumes prior understanding of ductility introduced in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Distinguish between malleable, ductile, and brittle materials"", ""reason"": ""The Grade 10 skill directly extends the malleable-vs-ductile-vs-brittle distinction already taught in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Conduction of Heat and Electricity in Metals,Explain why metals are good conductors of heat and electricity,"[""Physical Properties of Metals and Non-metals""]","[""Classify given materials as metals or non-metals based on their observed physical properties""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Conduction of electricity"", ""reason"": ""Grade 10 deepens the explanation of why metals conduct electricity, which first appears as a basic fact in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Conduction of heat"", ""reason"": ""Grade 10 deepens the explanation of why metals conduct heat, which first appears as a basic fact in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Explain why metals are good conductors of heat"", ""reason"": ""Grade 10 assumes the student can already state that metals conduct heat well, as taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Explain why metals are good conductors of electricity"", ""reason"": ""Grade 10 assumes the student can already state that metals conduct electricity well, as taught in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Sonority of Metals,Relate the sonorous nature of metals to their use in making bells and instruments,"[""Physical Properties of Metals and Non-metals""]","[""Classify given materials as metals or non-metals based on their observed physical properties""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Sonority"", ""reason"": ""Grade 10 relates sonority to instrument use, assuming the property itself was already introduced in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Demonstrate the property of sonority using different materials"", ""reason"": ""Relating sonority to bell-making requires first knowing what sonority is, as demonstrated in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Chemical Properties of Metals and Non-metals,Differentiate metals from non-metals based on their chemical reactivity,"[""Physical Properties of Metals and Non-metals""]","[""Classify given materials as metals or non-metals based on their observed physical properties""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Differentiating metals and non-metals"", ""reason"": ""Grade 10 chemical property comparison extends the basic metal/non-metal reactivity distinction first made in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Reactivity of metals"", ""reason"": ""Derived from skill prerequisite: 'Compare the reactivity of different metals based on their reactions with water and acids' (in Grade 7/Chapter04_The_World_of_Metals_and_Non-metals) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Compare the reactivity of different metals based on their reactions with water and acids"", ""reason"": ""Comparing chemical reactivity of metals versus non-metals builds on the reactivity comparison skill first practised in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Reaction of Metals with Oxygen,Predict the products formed when a metal reacts with oxygen,"[""Chemical Properties of Metals and Non-metals""]","[""Differentiate metals from non-metals based on their chemical reactivity""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Chemical properties of metals - reaction with oxygen"", ""reason"": ""Grade 10 extends the same reaction type to amphoteric oxides and reactivity ordering, building on the Grade 7 introduction.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Describe the reaction of metals with oxygen to form metal oxides"", ""reason"": ""Predicting products in Grade 10 builds on the basic description of the metal-oxygen reaction already taught in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Amphoteric Oxides,"Classify metal oxides as basic, acidic, or amphoteric","[""Chemical Properties of Metals and Non-metals"", ""Reaction of Metals with Oxygen""]","[""Predict the products formed when a metal reacts with oxygen""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Basic nature of metal oxides"", ""reason"": ""Understanding amphoteric behaviour requires already knowing that metal oxides are typically basic, as taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""concept"": ""Acidic, Basic and Neutral Substances - Classification"", ""reason"": ""Classifying an oxide as amphoteric requires the prior acid/base classification framework taught in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Explain why metal oxides are basic in nature using indicator tests"", ""reason"": ""Classifying amphoteric oxides requires already knowing the basic-oxide behaviour of most metal oxides taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter02_Exploring_Substances:_Acidic,_Basic,_and_Neutral"", ""skill"": ""Classify a given set of substances into acidic, basic, or neutral categories based on their properties"", ""reason"": ""Classifying oxides as basic/acidic/amphoteric depends on the general acid-base classification skill built in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Reaction of Metals with Water,Predict the products formed when a metal reacts with water,"[""Chemical Properties of Metals and Non-metals""]","[""Differentiate metals from non-metals based on their chemical reactivity""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Chemical properties of metals - reaction with water"", ""reason"": ""Grade 10 uses reactivity with water to build the reactivity series, extending the qualitative reaction knowledge from Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Describe the reaction of metals with water to identify reactivity"", ""reason"": ""Predicting exact products in Grade 10 builds on the qualitative description of metal-water reactions taught in Grade 7.""}]"
CBSE,Science,Grade 10,Chapter03_Metals_And_Nonmetals,Reaction of Metals with Dilute Acids,Predict the products formed when a metal reacts with a dilute acid,"[""Chemical Properties of Metals and Non-metals""]","[""Differentiate metals from non-metals based on their chemical reactivity""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Chemical properties of metals - reaction with acids"", ""reason"": ""Grade 10 uses reactivity with acids to build the reactivity series, extending the qualitative reaction knowledge from Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Describe the reaction of metals with dilute acids to identify gas evolved"", ""reason"": ""Predicting exact products in Grade 10 builds on the qualitative description of metal-acid reactions taught in Grade 7.""}]"
