board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Reflex Action and Reflex Arc,Outline the working of a reflex arc to explain how reflex actions take place in humans,"[""Neuron Structure and Function"", ""Synapse and Transmission of Nerve Impulses""]","[""Explain the functioning of a neuron in transmitting electrical signals through the human body"", ""Describe the events occurring at a synapse between two neurons""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Reflex Action and Reflex Arc,Draw a labelled diagram of the reflex arc showing the path of a nerve impulse,"[""Neuron Structure and Function"", ""Synapse and Transmission of Nerve Impulses""]","[""Draw the structure of a neuron labelling its parts""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Neuron Structure and Function,Draw the structure of a neuron labelling its parts,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Nervous tissue"", ""reason"": ""Derived from skill prerequisite: 'Describe the structure of a neuron' (in Grade 9/Chapter03_Tissues_in_Action) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""skill"": ""Describe the structure of a neuron"", ""reason"": ""Grade 9 already requires students to describe neuron structure, which this target skill extends into a fully labelled diagram.""}]"
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Neuron Structure and Function,Explain the functioning of a neuron in transmitting electrical signals through the human body,[],"[""Draw the structure of a neuron labelling its parts""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Nervous tissue"", ""reason"": ""Derived from skill prerequisite: 'Describe the structure of a neuron' (in Grade 9/Chapter03_Tissues_in_Action) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""skill"": ""Explain the functioning of nervous tissue"", ""reason"": ""Explaining how a neuron transmits signals builds directly on the Grade 9 skill of explaining how nervous tissue functions to carry impulses.""}]"
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Synapse and Transmission of Nerve Impulses,Describe the events occurring at a synapse between two neurons,"[""Neuron Structure and Function""]","[""Explain the functioning of a neuron in transmitting electrical signals through the human body""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Human Brain,Illustrate the location of different parts of the human brain,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Human Brain,Describe the functions of different parts of the human brain,[],"[""Illustrate the location of different parts of the human brain""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Protection of Brain and Spinal Cord,Explain how the brain and spinal cord are protected,"[""Human Brain""]","[""Illustrate the location of different parts of the human brain""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Skeletal system - skull, vertebral column, rib cage"", ""reason"": ""Explaining how the skull and vertebral column protect the brain and spinal cord requires prior knowledge of these bony structures from the Grade 9 skeletal system topic.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""skill"": ""Describe the structure and function of the skeletal system"", ""reason"": ""Recognising that the skull and vertebral column are parts of the skeletal system, taught in Grade 9, is required before explaining their protective role for the brain and spinal cord.""}]"
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Nervous System Coordination,Discuss the limitations of electrical impulses in coordinating body responses,"[""Neuron Structure and Function""]","[""Explain the functioning of a neuron in transmitting electrical signals through the human body""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Nervous tissue"", ""reason"": ""Grade 9 already introduces nervous tissue as a cell type specialised for carrying impulses, which the target chapter builds on to explain whole-body nervous coordination.""}]",[]
CBSE,Science,Grade 10,Chapter06_Control_And_Coordination,Need for Control and Coordination in Organisms,Explain why control and coordination are necessary for organisms to respond to their environment,"[""Nervous System Coordination""]","[""Discuss the limitations of electrical impulses in coordinating body responses""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Response to stimuli"", ""reason"": ""The idea that living organisms respond to stimuli, introduced in Grade 6, is the basic observation that the target concept builds on to explain why control and coordination systems are needed.""}]",[]
