board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 100-500: Counting and reciting number names,"Count objects and groups concretely, pictorially and symbolically within 100-500",[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 100-500: Counting and reciting number names,Recite number names for numbers between 100 and 500,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 100-500: Counting and reciting number names,Match a given quantity with its correct number name in the 100-500 range,[],"[""Recite number names for numbers between 100 and 500""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 100-500: Identifying and writing numerals/number names,Identify a numeral from its spoken or written number name within 100-500,"[""Numerals 100-500: Counting and reciting number names""]","[""Recite number names for numbers between 100 and 500""]","[{""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names between 1 and 99"", ""reason"": ""Writing number names for 100-500 (e.g., two hundred thirty-five) requires already knowing how the tens-and-ones portion of the number name is formed for numbers 1-99.""}, {""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names and counting their letters"", ""reason"": ""Derived from skill prerequisite: 'Write number names for given numbers' (in Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""Derived from skill prerequisite: 'Match a spoken or written number name to its correct numeral' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numbers 51 to 99"", ""reason"": ""Derived from skill prerequisite: 'Read and write number names from twenty-one to one hundred' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Match a spoken or written number name to its correct numeral"", ""reason"": ""Requires the previously learned skill of matching number names to numerals, now applied to three-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 100-500: Identifying and writing numerals/number names,Write the numeral for a given number name between 100 and 500,"[""Numerals 100-500: Counting and reciting number names""]","[""Identify a numeral from its spoken or written number name within 100-500""]","[{""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names between 1 and 99"", ""reason"": ""Writing number names for 100-500 (e.g., two hundred thirty-five) requires already knowing how the tens-and-ones portion of the number name is formed for numbers 1-99.""}, {""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names and counting their letters"", ""reason"": ""Derived from skill prerequisite: 'Write number names for given numbers' (in Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""Derived from skill prerequisite: 'Match a spoken or written number name to its correct numeral' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numbers 51 to 99"", ""reason"": ""Derived from skill prerequisite: 'Read and write number names from twenty-one to one hundred' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Read and write number names from twenty-one to one hundred"", ""reason"": ""Builds directly on the number-naming convention established for two-digit numbers, extending it to three digits.""}]"
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 100-500: Identifying and writing numerals/number names,Write the number name for a given numeral between 100 and 500,"[""Numerals 100-500: Counting and reciting number names""]","[""Recite number names for numbers between 100 and 500""]","[{""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names between 1 and 99"", ""reason"": ""Writing number names for 100-500 (e.g., two hundred thirty-five) requires already knowing how the tens-and-ones portion of the number name is formed for numbers 1-99.""}, {""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names and counting their letters"", ""reason"": ""Derived from skill prerequisite: 'Write number names for given numbers' (in Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_Whats_in_a_Name"", ""skill"": ""Write number names for given numbers"", ""reason"": ""Constructing the number name for a 3-digit numeral depends on already being able to write the number name for its tens-and-ones part, which is the skill practiced with numbers up to 99.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numerals (21-50): Number names and numerals"", ""reason"": ""Derived from skill prerequisite: 'Match a spoken or written number name to its correct numeral' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numbers 51 to 99"", ""reason"": ""Derived from skill prerequisite: 'Read and write number names from twenty-one to one hundred' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Read and write number names from twenty-one to one hundred"", ""reason"": ""Builds directly on the number-naming convention established for two-digit numbers, extending it to three digits.""}]"
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 501-999: Counting and reciting number names,Count objects and groups pictorially and symbolically within 501-999,"[""Numerals 100-500: Counting and reciting number names""]",[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 501-999: Counting and reciting number names,Recite number names for numbers between 501 and 999,"[""Numerals 100-500: Counting and reciting number names""]",[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 501-999: Counting and reciting number names,Match a given quantity with its correct number name in the 501-999 range,"[""Numerals 100-500: Counting and reciting number names""]","[""Recite number names for numbers between 501 and 999""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter2_Toy_Joy,Numerals 501-999: Identifying and writing numerals/number names,Identify a numeral from its spoken or written number name within 501-999,"[""Numerals 100-500: Identifying and writing numerals/number names"", ""Numerals 501-999: Counting and reciting number names""]","[""Recite number names for numbers between 501 and 999""]","[{""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names between 1 and 99"", ""reason"": ""Writing number names for 501-999 requires already knowing how the tens-and-ones portion of the number name is formed for numbers 1-99.""}, {""chapter"": ""Chapter1_Whats_in_a_Name"", ""concept"": ""Number names and counting their letters"", ""reason"": ""Derived from skill prerequisite: 'Write number names for given numbers' (in Chapter1_Whats_in_a_Name) is a prerequisite of a skill under this concept.""}]",[],[],[]
