board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Solutions and their components,Differentiate between a solute and a solvent in a given mixture,[],[],"[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Mixtures"", ""reason"": ""A solution is a specific type of mixture, so a student must already understand what a mixture is before identifying solute and solvent as its components.""}, {""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Types of pure substances"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between pure substances and mixtures' (in Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Distinguish between pure substances and mixtures"", ""reason"": ""A student must first recognise a solution as a mixture rather than a pure substance before identifying its solute and solvent components.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""concept"": ""Mixtures of substances"", ""reason"": ""Understanding that a solution is a special type of mixture requires first grasping the general concept of a mixture of substances.""}]",[]
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions","Types of solutions (saturated, unsaturated, dilute, concentrated)","Classify a given solution as saturated, unsaturated, dilute or concentrated based on its properties","[""Solutions and their components""]","[""Differentiate between a solute and a solvent in a given mixture""]",[],[],[],[]
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Solubility of a solute,Define solubility of a solute,"[""Solutions and their components""]","[""Differentiate between a solute and a solvent in a given mixture""]","[{""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Solubility and Saturation"", ""reason"": ""The basic notion of a substance dissolving up to a saturation limit, introduced via particle behaviour, underlies the more detailed treatment of solubility in this chapter.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""The idea that materials can be soluble or insoluble in water is the direct foundation for the formal concept of solubility of a solute.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Predict and test whether a material is soluble or insoluble in water"", ""reason"": ""Formally defining solubility builds on the earlier hands-on skill of testing whether materials dissolve in water.""}]"
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Concentration of a solution,Calculate the concentration of a solution using mass or volume of solute and solvent,"[""Solutions and their components""]","[""Differentiate between a solute and a solvent in a given mixture""]",[],[],[],[]
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Miscible and immiscible liquids,Distinguish between miscible and immiscible liquids using examples,"[""Solutions and their components""]","[""Differentiate between a solute and a solvent in a given mixture""]",[],[],[],[]
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Suspensions,Identify the properties that distinguish a suspension from a true solution,"[""Uniform and non-uniform mixtures"", ""Miscible and immiscible liquids""]","[""Distinguish between miscible and immiscible liquids using examples""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""concept"": ""Sedimentation"", ""reason"": ""Suspensions are characterised by insoluble particles that settle out, which is the behaviour described by sedimentation.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""skill"": ""Describe sedimentation as the settling of insoluble solids in a liquid"", ""reason"": ""Distinguishing suspensions from solutions depends on already knowing that insoluble particles in a suspension settle, unlike a true solution.""}]"
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Colloids,Describe the Tyndall effect to identify a colloidal solution,"[""Uniform and non-uniform mixtures"", ""Suspensions""]","[""Identify the properties that distinguish a suspension from a true solution""]",[],[],[],[]
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Separation techniques for solutions,Explain the method used to separate a solute from its solvent in a given mixture,"[""Solutions and their components""]",[],"[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Separation techniques - Evaporation"", ""reason"": ""Separating a solute from its solvent commonly uses evaporation, a technique already introduced for separating dissolved solids from liquids in general mixtures.""}]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Explain how evaporation is used to separate a dissolved solid from a liquid"", ""reason"": ""Explaining how a solute is separated from its solvent relies on the evaporation technique already learned for recovering a dissolved solid from a liquid.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""concept"": ""Evaporation"", ""reason"": ""Recovering a solute from a solution relies on the evaporation technique already learned for separating dissolved solids.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""concept"": ""Filtration"", ""reason"": ""Separating insoluble particles in suspensions from solutions relies on the filtration technique learned earlier.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter09_Methods_Of_Separation_In_Everyday_Life"", ""skill"": ""Demonstrate evaporation to recover a dissolved solid from a solution"", ""reason"": ""Explaining solute-solvent separation relies directly on the previously learned evaporation technique for recovering a dissolved solid.""}]"
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Water as a universal solvent,Justify why water is referred to as a universal solvent using examples of substances it dissolves,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Solubility of Substances in Water"", ""reason"": ""Recognising water as a universal solvent builds directly on the earlier understanding that many substances can dissolve in water.""}]",[]
CBSE,Science,Grade 8,"Chapter09_The_Amazing_World_of_Solutes,_Solvents,_and_Solutions",Applications of solutions in daily life,Apply the concept of solubility to explain a real-life scenario such as dissolving salt or sugar in water,"[""Solubility of a solute""]","[""Define solubility of a solute""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""How Water Becomes Dirty"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the solubility of different substances in water through a simple activity' (in Grade 4/Chapter01_Living_Together) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Demonstrate the solubility of different substances in water through a simple activity"", ""reason"": ""Applying solubility to real-life dissolving scenarios builds on the earlier hands-on demonstration of substances dissolving in water.""}]"
