board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Introduction to Trigonometry and Its Applications,"Describe trigonometry and its relevance to measuring heights, distances, and other real-life problems involving right triangles","[""Trigonometric Ratios""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Introduction to Trigonometry and Its Applications,Explain the relationship between the sides and angles of a right triangle in the context of practical measurement problems,"[""Trigonometric Ratios""]","[""Describe trigonometry and its relevance to measuring heights, distances, and other real-life problems involving right triangles""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Introduction to Trigonometry and Its Applications,Apply trigonometric ratios to find heights and distances in practical situations involving right triangles,"[""Trigonometric Ratios""]","[""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle"", ""Identify the opposite side, adjacent side, and hypotenuse with respect to a given angle in a right triangle"", ""Calculate and verify trigonometric ratios of a given acute angle""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,"Identify the opposite side, adjacent side, and hypotenuse with respect to a given angle in a right triangle","[""Introduction to Trigonometry and Its Applications""]",[],"[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,"Define sine, cosine, tangent, cosecant, secant and cotangent of an angle","[""Introduction to Trigonometry and Its Applications""]",[],"[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,Distinguish between the various trigonometric ratios of an angle,"[""Introduction to Trigonometry and Its Applications""]","[""Identify the opposite side, adjacent side, and hypotenuse with respect to a given angle in a right triangle"", ""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle""]","[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,State the reciprocal and quotient relationships between trigonometric ratios,"[""Introduction to Trigonometry and Its Applications""]","[""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle"", ""Distinguish between the various trigonometric ratios of an angle""]","[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,Explain why the values of trigonometric ratios do not change with the size of the right triangle,"[""Introduction to Trigonometry and Its Applications""]","[""Identify the opposite side, adjacent side, and hypotenuse with respect to a given angle in a right triangle"", ""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle""]","[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter06_Triangles"", ""skill"": ""Apply the AA similarity criterion to establish similarity between two triangles"", ""reason"": ""Explaining ratio invariance requires recognizing that right triangles sharing an acute angle are similar by AA, so corresponding sides scale proportionally leaving ratios unchanged.""}]",[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,Calculate and verify trigonometric ratios of a given acute angle,"[""Introduction to Trigonometry and Its Applications""]","[""Identify the opposite side, adjacent side, and hypotenuse with respect to a given angle in a right triangle"", ""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle"", ""Explain why the values of trigonometric ratios do not change with the size of the right triangle""]","[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios,Determine other trigonometric ratios or unknown angles of a triangle when one trigonometric ratio is given,"[""Introduction to Trigonometry and Its Applications""]","[""State the reciprocal and quotient relationships between trigonometric ratios"", ""Calculate and verify trigonometric ratios of a given acute angle""]","[{""chapter"": ""Chapter06_Triangles"", ""concept"": ""Similarity of triangles"", ""reason"": ""Trigonometric ratios are well-defined constants for an angle only because all right triangles containing that angle are similar, so their corresponding sides are in the same ratio.""}, {""chapter"": ""Chapter06_Triangles"", ""concept"": ""AA (Angle-Angle) similarity criterion"", ""reason"": ""Derived from skill prerequisite: 'Apply the AA similarity criterion to establish similarity between two triangles' (in Chapter06_Triangles) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios of Some Specific Angles,"Derive the trigonometric ratios for 45°, 30°, and 60° from geometric constructions","[""Trigonometric Ratios""]","[""Calculate and verify trigonometric ratios of a given acute angle""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios of Some Specific Angles,"Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°","[""Trigonometric Ratios""]","[""Derive the trigonometric ratios for 45°, 30°, and 60° from geometric constructions""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios of Some Specific Angles,Identify which trigonometric ratios are not defined for 0° and 90° and justify why,"[""Trigonometric Ratios""]","[""Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios of Some Specific Angles,Distinguish between defined and undefined trigonometric ratios for specific angle values,"[""Trigonometric Ratios""]","[""Identify which trigonometric ratios are not defined for 0° and 90° and justify why""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter08_Introduction_To_Trigonometry,Trigonometric Ratios of Some Specific Angles,Apply the trigonometric ratios of specific angles to solve problems involving different angles,"[""Trigonometric Ratios""]","[""Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°"", ""Distinguish between defined and undefined trigonometric ratios for specific angle values""]",[],[],[],[]
