board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Reflection of light from surfaces,Differentiate between diffused and regular reflection based on smooth and rough surfaces,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Reflection of Light"", ""reason"": ""The student must already know that light bounces off surfaces and changes direction before learning to classify reflection as regular or diffused based on surface texture.""}]",[]
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Human eye structure and function,Explain how the field of view and blind spot affect human vision,"[""Reflection of light from surfaces""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Human eye structure and function,Label the parts of the human eye and describe their functions in vision,"[""Reflection of light from surfaces""]","[""Explain how the field of view and blind spot affect human vision""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Laws of reflection,State the laws of reflection,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Reflection of Light"", ""reason"": ""Formalising the laws of reflection with incidence/reflection angles requires already understanding that light reflects and changes direction off a surface.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Explain how reflection changes the direction of light on striking a polished surface or mirror"", ""reason"": ""Stating the laws that govern how incidence and reflection angles relate requires already knowing that reflection changes the direction of light off a surface.""}]"
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Laws of reflection,"Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection",[],"[""State the laws of reflection""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Reflection of Light"", ""reason"": ""Formalising the laws of reflection with incidence/reflection angles requires already understanding that light reflects and changes direction off a surface.""}]",[]
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Laws of reflection,"Demonstrate that the incident ray, normal, and reflected ray lie in the same plane",[],"[""State the laws of reflection""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Reflection of Light"", ""reason"": ""Formalising the laws of reflection with incidence/reflection angles requires already understanding that light reflects and changes direction off a surface.""}]",[]
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Angles of incidence and reflection,Measure the angles of incidence and reflection to verify the laws of reflection,"[""Laws of reflection""]","[""State the laws of reflection"", ""Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Image formation by mirrors,Illustrate with a diagram how images invert when reflected from a plane mirror,"[""Laws of reflection""]","[""State the laws of reflection"", ""Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Image Formation by Plane Mirror"", ""reason"": ""Understanding that a mirror produces an image at all is the basic idea extended to spherical mirrors in this chapter.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Lateral Inversion"", ""reason"": ""Derived from skill prerequisite: 'Explain the concept of lateral inversion with examples' (in Grade 7/Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Explain the concept of lateral inversion with examples"", ""reason"": ""Illustrating inversion in a plane mirror image requires the prior understanding of lateral inversion established in the earlier chapter.""}]"
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Multiple reflections,Construct a kaleidoscope to demonstrate multiple reflections of light using mirrors,"[""Laws of reflection""]","[""Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Kaleidoscope"", ""reason"": ""The kaleidoscope already introduces the phenomenon of light reflecting repeatedly between mirrors, which this concept formalises.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Describe the construction and working of a kaleidoscope"", ""reason"": ""Building a kaleidoscope requires already knowing how one is constructed and how it uses mirrors, taught in the earlier chapter.""}]"
CBSE,Science,Grade 8,Chapter10_Light:_Mirrors_and_Lenses,Eye care,Recommend measures for protecting eyes from common vision problems,"[""Human eye structure and function""]",[],[],[],[],[]
