board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Modes of Transport to School,Identify different modes of transport used by children in different regions of the country to reach school,"[{""item"": ""Modes of Transport and their Uses"", ""reason"": ""Students must first know the general modes of transport and their uses before they can relate specific modes to how children travel to school in different regions.""}]","[{""item"": ""Describe different modes of transport and their specific uses"", ""reason"": ""Knowing the general modes of transport and their uses is necessary before identifying which specific modes children use to reach school.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Modes of Transport to School,"Relate the mode of transport used to the landform of the region, such as rocky paths, dense forests, snow, or mountains","[{""item"": ""Modes of Transport and their Uses"", ""reason"": ""Students must first know the general modes of transport and their uses before they can relate specific modes to how children travel to school in different regions.""}]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Modes of Transport to School,Describe problems faced by children while travelling to school in different regions,"[{""item"": ""Modes of Transport and their Uses"", ""reason"": ""Students must first know the general modes of transport and their uses before they can relate specific modes to how children travel to school in different regions.""}]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Bridges,Explain the importance of a bridge in connecting places,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Bridges,Identify various materials used for constructing different kinds of bridges,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Bridges,Describe how people can come together as a community to build a bridge that connects them to essential services,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Jugad,Explain the meaning of 'Jugad' in their own words with examples,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Jugad,Describe the usefulness of Jugad in the Indian context,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,No Punishment in School,State the importance of a no-punishment policy in schools,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,No Punishment in School,Describe ways to practise self-discipline in school,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Animal Ears,Recognize animals by the nature of their ears,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Animal Ears,Name animals with external ears and animals with internal ears,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Skin and Body Covering,Identify animals by the patterns of their skin,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Skin and Body Covering,Distinguish animals on the basis of hair or feathers on their skin,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Egg-Laying Animals and Animals Giving Birth to Young Ones,Differentiate between animals that lay eggs and animals that give birth to young ones,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Egg-Laying Animals and Animals Giving Birth to Young Ones,Identify examples of egg-laying animals and animals that give birth to live young,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Extinction of Animals,Describe reasons for the extinction of animals from our surroundings,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Group Behaviour in Animals,Define a herd and give examples of animals that live in herds,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Group Behaviour in Animals,Describe important characteristic behaviour of animals such as elephants living in a herd,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Animal-Human Interface,Give examples of animals used for riding or carrying loads,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Animal-Human Interface,Describe the feelings of caged animals to develop sensitivity towards them,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter01_Living_Together,Importance of Trees and Forests,"Explain the importance of trees and forests, particularly in the context of Rajasthan",[],[],[],[],[],[]
