board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Counting and grouping objects,Count and record the number of objects in a picture by grouping,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Concept of groups and grouping"", ""reason"": ""Students need to already understand what constitutes an equal group before they can count objects by forming groups in the target chapter.""}]",[]
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Repeated addition,Express repeated addition as multiplication using the × symbol,"[""Counting and grouping objects""]","[""Count and record the number of objects in a picture by grouping""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Repeated addition as a basis for multiplication"", ""reason"": ""The technique of adding equal-sized groups repeatedly was introduced in Grade 2 and is directly extended into the multiplication work of this chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Derived from skill prerequisite: 'Express repeated addition as multiplication using the '×' symbol' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Express repeated addition as multiplication using the '×' symbol"", ""reason"": ""This exact conversion of repeated addition into multiplication notation was already introduced in Grade 2 and is reinforced in this chapter.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Multiplication as repeated addition,Calculate the total number of items needed using multiplication,"[""Repeated addition""]","[""Express repeated addition as multiplication using the × symbol""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Grade 2 already establishes multiplication as the total of equal groups, which this chapter formalises as repeated addition.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Calculate the total number of objects using equal grouping and multiplication"", ""reason"": ""Students already practised finding totals of equal groups using multiplication in Grade 2 before applying it to item-quantity problems here.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Multiplication notation and terminology,Identify number pairs whose product matches a given value,"[""Multiplication as repeated addition""]","[""Calculate the total number of items needed using multiplication""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication symbol and notation"", ""reason"": ""Students must already recognise the × symbol and its use from Grade 2 before learning fuller multiplication terminology in this chapter.""}]",[]
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Equal sharing and division,Distribute a set of objects equally among a given number of people using repeated subtraction,"[""Counting and grouping objects""]","[""Count and record the number of objects in a picture by grouping""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""Grade 2 introduces the idea of sharing objects equally, which this chapter builds on to formally introduce division.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Repeated subtraction"", ""reason"": ""Derived from skill prerequisite: 'Calculate how many times a number can be subtracted from a larger number' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Distribute a given number of objects equally among a fixed number of groups"", ""reason"": ""Equal distribution of objects among groups was already practised in Grade 2 before being combined with repeated subtraction here.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Calculate how many times a number can be subtracted from a larger number"", ""reason"": ""The specific technique of repeatedly subtracting to find how many equal parts fit into a total was taught in Grade 1.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Division notation (÷),Write division statements using the ÷ symbol,"[""Equal sharing and division""]","[""Distribute a set of objects equally among a given number of people using repeated subtraction""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Repeated subtraction as a method for division,Solve division problems by repeated subtraction,"[""Equal sharing and division""]","[""Distribute a set of objects equally among a given number of people using repeated subtraction""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Repeated subtraction"", ""reason"": ""Students need the basic idea of subtracting a quantity repeatedly from a total, taught in Grade 1, before using it as a division method here.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Calculate how many times a number can be subtracted from a larger number"", ""reason"": ""Solving division by repeated subtraction directly requires the Grade 1 skill of counting how many times a number can be subtracted from a larger one.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Multiplication tables (1 to 10),Construct multiplication tables using repeated addition,"[""Repeated addition"", ""Skip counting on a number line"", ""Multiplication as repeated addition"", ""Counting and grouping objects""]","[""Calculate the total number of items needed using multiplication""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication tables of 2, 3, 5, and 10"", ""reason"": ""Grade 2 already builds the tables of 2, 3, 5 and 10, which this chapter extends to a complete set of tables from 1 to 10.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Repeated addition as a basis for multiplication"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total number of objects by adding equal group sizes repeatedly' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Derived from skill prerequisite: 'Apply skip counting in twos, threes, fives, sevens, and tens on a number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Deriving multiplication tables from known tables"", ""reason"": ""Derived from skill prerequisite: 'Explain how a known multiplication table can be used to build an unfamiliar table through addition' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Calculate the total number of objects by adding equal group sizes repeatedly"", ""reason"": ""Building tables through repeated addition of equal group sizes was already practised in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Complete multiplication tables of 2, 3, 5, and 10"", ""reason"": ""Constructing tables of 2, 3, 5 and 10 was already done in Grade 2, which this chapter extends to the full range of tables.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Skip counting on a number line,Identify and continue skip counting patterns on a number line,"[""Counting and grouping objects""]","[""Count and record the number of objects in a picture by grouping""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Skip counting on a number line in this chapter directly extends the skip-counting patterns already practised in Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Locating numbers on a number line"", ""reason"": ""Derived from skill prerequisite: 'Locate given numbers at appropriate positions on a number line' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply skip counting in twos, threes, fives, sevens, and tens on a number chart"", ""reason"": ""Continuing skip counting patterns on a number line builds directly on the skip counting practice from Grade 2.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Locate given numbers at appropriate positions on a number line"", ""reason"": ""Identifying positions on a number line, needed to continue skip counting patterns, was already practised in Grade 2.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Patterns in multiplication tables,Identify patterns in multiplication tables such as last-digit patterns in the times-5 table,"[""Multiplication tables (1 to 10)""]","[""Construct multiplication tables using repeated addition""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Commutativity of multiplication,Apply commutativity of multiplication to show that a × b = b × a,"[""Multiplication tables (1 to 10)""]","[""Construct multiplication tables using repeated addition""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Commutativity of multiplication"", ""reason"": ""The idea that swapping the number of groups and group size gives the same total was first established concretely in Grade 2 and is reinforced formally here.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Demonstrate commutativity by showing that switching the number of groups and group size gives the same total"", ""reason"": ""The concrete demonstration that swapping factors gives the same product was already established in Grade 2 before being expressed formally here.""}]"
CBSE,Maths,Grade 3,Chapter7_Raksha_Bandhan,Multiplication with multiples of 10,Calculate products involving multiples of 10 by extending known multiplication facts,"[""Multiplication tables (1 to 10)""]","[""Construct multiplication tables using repeated addition""]",[],[],[],[]
