board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Standard measure of 'litre',Identify the 1-litre unit as a standard measure of capacity,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Capacity Using Non-standard Units"", ""reason"": ""Introducing the litre as a standard unit builds on the earlier experience of measuring capacity with non-standard units, which motivates the need for a fixed standard.""}]",[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Standard measure of 'litre',Measure the capacity of familiar objects using a 1-litre unit,[],"[""Identify the 1-litre unit as a standard measure of capacity""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Capacity Using Non-standard Units"", ""reason"": ""Introducing the litre as a standard unit builds on the earlier experience of measuring capacity with non-standard units, which motivates the need for a fixed standard.""}]",[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Standard measure of 'litre',Determine the capacity of a container to the nearest litre,[],"[""Measure the capacity of familiar objects using a 1-litre unit""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Capacity Using Non-standard Units"", ""reason"": ""Introducing the litre as a standard unit builds on the earlier experience of measuring capacity with non-standard units, which motivates the need for a fixed standard.""}]",[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,"Estimating, verifying and comparing capacities using 1 litre as standard",Estimate the capacity of an everyday object in litres before measuring,"[""Standard measure of 'litre'""]","[""Identify the 1-litre unit as a standard measure of capacity""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Comparing capacity (holds more, holds less)"", ""reason"": ""Comparing capacities qualitatively (holds more/less) is the foundational reasoning skill extended to quantitative comparison using litre as a standard.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Comparing Quantities of Liquids Using a Glass as a Unit"", ""reason"": ""Comparing liquid quantities using a common vessel unit is the direct precursor to comparing capacities using the standard litre unit.""}]",[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,"Estimating, verifying and comparing capacities using 1 litre as standard",Verify an estimated capacity by measuring with a 1-litre container,"[""Standard measure of 'litre'""]","[""Estimate the capacity of an everyday object in litres before measuring"", ""Measure the capacity of familiar objects using a 1-litre unit""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Comparing capacity (holds more, holds less)"", ""reason"": ""Comparing capacities qualitatively (holds more/less) is the foundational reasoning skill extended to quantitative comparison using litre as a standard.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Comparing Quantities of Liquids Using a Glass as a Unit"", ""reason"": ""Comparing liquid quantities using a common vessel unit is the direct precursor to comparing capacities using the standard litre unit.""}]",[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,"Estimating, verifying and comparing capacities using 1 litre as standard",Compare the capacities of two or more everyday objects using 1 litre as the standard,"[""Standard measure of 'litre'""]","[""Measure the capacity of familiar objects using a 1-litre unit""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Comparing capacity (holds more, holds less)"", ""reason"": ""Comparing capacities qualitatively (holds more/less) is the foundational reasoning skill extended to quantitative comparison using litre as a standard.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Comparing Quantities of Liquids Using a Glass as a Unit"", ""reason"": ""Comparing liquid quantities using a common vessel unit is the direct precursor to comparing capacities using the standard litre unit.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Compare the capacity of containers by counting how many glasses of water each holds"", ""reason"": ""Comparing capacities by counting a common vessel unit is the direct precursor technique to comparing capacities using the standard litre unit.""}]"
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,"Measuring capacity using informal units (bowls, glasses, ladles)","Identify informal units such as bowls, glasses, and ladles used to measure capacity",[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Capacity Using Non-standard Units"", ""reason"": ""This target concept is a direct extension of the earlier skill of measuring capacity by counting how many non-standard vessels fill a container.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Comparing capacity (holds more, holds less)"", ""reason"": ""Derived from skill prerequisite: 'Compare the capacity of containers by filling them with a common unit such as a cup or glass' (in Grade 1/Chapter 7) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""skill"": ""Compare the capacity of containers by filling them with a common unit such as a cup or glass"", ""reason"": ""Recognising a cup or glass as a measuring unit for capacity is the same idea extended to bowls, glasses, and ladles.""}]"
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,"Measuring capacity using informal units (bowls, glasses, ladles)","Measure the capacity of a container by counting how many bowls, glasses, or ladles fill it",[],"[""Identify informal units such as bowls, glasses, and ladles used to measure capacity""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Capacity Using Non-standard Units"", ""reason"": ""This target concept is a direct extension of the earlier skill of measuring capacity by counting how many non-standard vessels fill a container.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Comparing capacity (holds more, holds less)"", ""reason"": ""Derived from skill prerequisite: 'Compare the capacity of containers by filling them with a common unit such as a cup or glass' (in Grade 1/Chapter 7) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Measure the capacity of a container using a non-standard unit such as a cup or glass"", ""reason"": ""This is the identical counting-based measuring procedure, only the specific vessel names change.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Calculate the total capacity of a container by counting non-standard units"", ""reason"": ""Determining total capacity by counting units filled is the exact procedure reused for bowls, glasses, or ladles.""}]"
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,"Measuring capacity using informal units (bowls, glasses, ladles)",Estimate how many times a smaller vessel must be filled to fill a larger vessel,[],"[""Measure the capacity of a container by counting how many bowls, glasses, or ladles fill it""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Capacity Using Non-standard Units"", ""reason"": ""This target concept is a direct extension of the earlier skill of measuring capacity by counting how many non-standard vessels fill a container.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 7"", ""concept"": ""Comparing capacity (holds more, holds less)"", ""reason"": ""Derived from skill prerequisite: 'Compare the capacity of containers by filling them with a common unit such as a cup or glass' (in Grade 1/Chapter 7) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Calculate the total capacity of a container by counting non-standard units"", ""reason"": ""Estimating fill counts requires the prior skill of counting how many smaller-unit fills make up a container's capacity.""}]"
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Half litre and quarter litre,Identify half litre and quarter litre marks on a measuring bottle,"[""Standard measure of 'litre'""]",[],"[{""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Half"", ""reason"": ""Understanding half litre requires the student to already know what 'half' means as an equal division of a whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Quarter"", ""reason"": ""Understanding quarter litre requires the student to already know what 'quarter' means as one of four equal parts of a whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Comparing Halves and Quarters"", ""reason"": ""Distinguishing half litre from quarter litre relies on already knowing how halves and quarters relate in size to each other.""}]","[{""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Distinguish between one-half and one-quarter of a whole"", ""reason"": ""Recognising which mark represents half and which represents a quarter on a bottle depends on already being able to tell a half apart from a quarter of a whole.""}]",[],[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Half litre and quarter litre,"Distinguish between 1 litre, half litre, and quarter litre using a measuring bottle","[""Standard measure of 'litre'""]","[""Identify half litre and quarter litre marks on a measuring bottle"", ""Relate half litre and quarter litre quantities to the full 1-litre unit""]","[{""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Half"", ""reason"": ""Understanding half litre requires the student to already know what 'half' means as an equal division of a whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Quarter"", ""reason"": ""Understanding quarter litre requires the student to already know what 'quarter' means as one of four equal parts of a whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Comparing Halves and Quarters"", ""reason"": ""Distinguishing half litre from quarter litre relies on already knowing how halves and quarters relate in size to each other.""}]","[{""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Compare one-half and one-quarter to determine which is larger"", ""reason"": ""Ordering the three quantities by size requires already knowing that a half is larger than a quarter of the same whole.""}]",[],[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Half litre and quarter litre,Relate half litre and quarter litre quantities to the full 1-litre unit,"[""Standard measure of 'litre'""]",[],"[{""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Half"", ""reason"": ""Understanding half litre requires the student to already know what 'half' means as an equal division of a whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Quarter"", ""reason"": ""Understanding quarter litre requires the student to already know what 'quarter' means as one of four equal parts of a whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Comparing Halves and Quarters"", ""reason"": ""Distinguishing half litre from quarter litre relies on already knowing how halves and quarters relate in size to each other.""}]","[{""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Explain how many quarters make one whole"", ""reason"": ""Relating quarter litre to a full litre depends on already knowing that four quarters make one whole.""}, {""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Explain that two quarters are equal to one half"", ""reason"": ""Relating half and quarter litre quantities to each other and to the whole litre depends on already knowing that two quarters equal one half.""}]",[],[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Volume conservation of liquids,Explain that the volume of a liquid remains the same when poured into containers of different shapes,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter11_Filling_and_Lifting,Volume conservation of liquids,Verify volume conservation by pouring the same liquid into different containers and comparing levels,[],"[""Explain that the volume of a liquid remains the same when poured into containers of different shapes""]",[],[],[],[]
