board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Square numbers and perfect squares,Identify whether a given number is a perfect square based on its units digit,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""The target concept builds directly on the earlier introduction of square numbers as numbers formed by multiplying a number by itself.""}]",[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Square numbers and perfect squares,Determine the units digit of the square of a given number,[],"[""Identify whether a given number is a perfect square based on its units digit""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""The target concept builds directly on the earlier introduction of square numbers as numbers formed by multiplying a number by itself.""}]",[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,"Properties of square numbers (units digits, zeros, odd/even)",Calculate the number of zeros at the end of the square of a number,"[""Square numbers and perfect squares""]","[""Determine the units digit of the square of a given number""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,"Properties of square numbers (units digits, zeros, odd/even)",Distinguish between square and non-square numbers using properties of square numbers,"[""Square numbers and perfect squares""]","[""Identify whether a given number is a perfect square based on its units digit"", ""Calculate the number of zeros at the end of the square of a number""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Triangular numbers and their relation to square numbers,Apply the pattern of consecutive odd numbers to verify whether a number is a perfect square,"[""Square numbers and perfect squares"", ""Properties of square numbers (units digits, zeros, odd/even)""]","[""Distinguish between square and non-square numbers using properties of square numbers""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Triangular Numbers"", ""reason"": ""Understanding the target's relation between triangular and square numbers requires already knowing what triangular numbers are and how they are formed by dot arrangements.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Fun with Odd Numbers and Square Number Patterns"", ""reason"": ""Derived from skill prerequisite: 'Verify the sum of the first n odd numbers by calculating the corresponding square number' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Verify the sum of the first n odd numbers by calculating the corresponding square number"", ""reason"": ""This target skill directly extends the earlier-established pattern that the sum of the first n odd numbers equals a square number.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""skill"": ""Predict the sum of the first n odd numbers from the pattern of square numbers"", ""reason"": ""Verifying perfect squares using consecutive odd numbers relies on the previously learned rule linking sums of odd numbers to square numbers.""}]"
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Sum of consecutive odd numbers as square numbers,Express a perfect square as a sum of successive odd natural numbers starting from 1,"[""Square numbers and perfect squares"", ""Triangular numbers and their relation to square numbers""]","[""Apply the pattern of consecutive odd numbers to verify whether a number is a perfect square""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Fun with Odd Numbers and Square Number Patterns"", ""reason"": ""Derived from skill prerequisite: 'Verify the sum of the first n odd numbers by calculating the corresponding square number' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Verify the sum of the first n odd numbers by calculating the corresponding square number"", ""reason"": ""Expressing a perfect square as a sum of odd numbers requires having already established this exact numeric pattern in an earlier grade.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""skill"": ""Predict the sum of the first n odd numbers from the pattern of square numbers"", ""reason"": ""This target skill is a direct continuation of the earlier-taught rule connecting sums of consecutive odd numbers to squares.""}]"
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Square of odd numbers as sum of two consecutive natural numbers,Express the square of an odd number as the sum of two consecutive positive integers,"[""Square numbers and perfect squares"", ""Triangular numbers and their relation to square numbers""]","[""Apply the pattern of consecutive odd numbers to verify whether a number is a perfect square""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Product of two consecutive even or odd natural numbers,Calculate the product of two consecutive even or odd numbers using the identity (a-1)(a+1) = a²-1,"[""Square numbers and perfect squares"", ""Finding squares of numbers using algebraic expansion""]","[""Calculate the square of a given number using an appropriate method""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Non-square numbers between consecutive square numbers,Calculate the number of non-perfect-square numbers between two consecutive square numbers using the formula 2n,"[""Square numbers and perfect squares"", ""Properties of square numbers (units digits, zeros, odd/even)""]","[""Distinguish between square and non-square numbers using properties of square numbers""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,"Patterns in squares of numbers like 1, 11, 111 and 6, 66, 666",Deduce square numbers by observing different number patterns,"[""Square numbers and perfect squares""]","[""Determine the units digit of the square of a given number""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify square numbers by arranging dots in a square array' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Identify square numbers by arranging dots in a square array"", ""reason"": ""Recognising square numbers from patterns builds on the earlier visual/dot-array method of identifying square numbers.""}]"
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Finding squares of numbers using algebraic expansion,Calculate the square of a given number using an appropriate method,"[""Square numbers and perfect squares""]","[""Determine the units digit of the square of a given number""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Multiplying a binomial by a binomial"", ""reason"": ""Expanding (a+b)² to find the square of a number relies on knowing how to multiply two binomials together.""}]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Apply distributive law to obtain the product of two binomials"", ""reason"": ""Squaring a number via algebraic expansion like (a+b)² requires applying the distributive law to multiply two binomials.""}]",[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Squares of numbers ending in 5,Calculate the square of numbers ending in 5 using the pattern a(a+1) hundreds + 25,"[""Square numbers and perfect squares"", ""Finding squares of numbers using algebraic expansion""]","[""Calculate the square of a given number using an appropriate method""]",[],[],[],[]
CBSE,Maths,Grade 8,Chapter5_Squares_And_Square_Roots,Pythagorean triplets,"Identify and generate Pythagorean triplets using the general form 2m, m²-1, m²+1","[""Square numbers and perfect squares"", ""Finding squares of numbers using algebraic expansion""]","[""Calculate the square of a given number using an appropriate method""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Right-angled triangles and Pythagoras property"", ""reason"": ""Pythagorean triplets are sets of numbers satisfying the Pythagoras relation, so a student must already understand that relation before generating or recognising such triplets.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""Apply the Pythagoras property to verify whether a triangle is right-angled."", ""reason"": ""Generating Pythagorean triplets requires understanding the Pythagoras relation between the sides of a right triangle established in the earlier chapter.""}]"
