board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,Need for classification of living organisms,Explain why classification systems are needed to organize the diversity of living organisms,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Grouping of plants and animals"", ""reason"": ""Understanding why organisms are grouped by shared features is the direct conceptual basis for later grasping why a formal classification system is needed.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Explain the importance of grouping in studying diversity"", ""reason"": ""Recognising why grouping helps study diversity is the direct precursor to explaining why a formal classification system of living organisms is necessary.""}]"
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,Basis of classification (characteristics used for grouping),Identify the characteristics used to group organisms into categories,"[{""item"": ""Need for classification of living organisms"", ""reason"": ""Understanding why classification is needed motivates learning which characteristics are used to group organisms.""}]","[{""item"": ""Explain why classification systems are needed to organize the diversity of living organisms"", ""reason"": ""Knowing why classification is needed motivates identifying which characteristics to use for grouping.""}]",[],[],[],[]
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,Characteristic differences between earlier and later evolved organisms,Distinguish between earlier evolved and later evolved organisms based on their characteristics,[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,"Five kingdom classification (Monera, Protista, Fungi, Plantae, Animalia)",Categorize a given organism into its correct kingdom based on defining characteristics,"[{""item"": ""Basis of classification (characteristics used for grouping)"", ""reason"": ""The five kingdom system is built on criteria like cell structure, nutrition and organisation, which are types of classification basis.""}, {""item"": ""History of classification systems (Aristotle, Two Kingdom, Three Kingdom, Four Kingdom, Five Kingdom)"", ""reason"": ""The five kingdom system is presented as the culmination of the historical progression of earlier classification systems.""}]","[{""item"": ""Classify organisms into the five kingdoms based on cell structure, nutrition, and organisation"", ""reason"": ""Categorizing a specific organism into its kingdom depends on already knowing the criteria that define the five kingdoms.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Prokaryotic vs eukaryotic cell"", ""reason"": ""The five kingdom system's primary division separates Monera from the other four kingdoms based on whether the cell is prokaryotic or eukaryotic, so this cellular distinction must already be understood.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Unicellular and multicellular organisms"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between unicellular and multicellular organisms' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Life_Processes_in_Plants"", ""concept"": ""Nutrition in Plants - Modes of Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Differentiate between autotrophic and heterotrophic modes of nutrition based on how organisms obtain food' (in Grade 7/Chapter10_Life_Processes_in_Plants) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,"Five kingdom classification (Monera, Protista, Fungi, Plantae, Animalia)","Classify organisms into the five kingdoms based on cell structure, nutrition, and organisation","[{""item"": ""Basis of classification (characteristics used for grouping)"", ""reason"": ""The five kingdom system is built on criteria like cell structure, nutrition and organisation, which are types of classification basis.""}, {""item"": ""History of classification systems (Aristotle, Two Kingdom, Three Kingdom, Four Kingdom, Five Kingdom)"", ""reason"": ""The five kingdom system is presented as the culmination of the historical progression of earlier classification systems.""}]","[{""item"": ""Identify the characteristics used to group organisms into categories"", ""reason"": ""Classifying into five kingdoms requires first knowing which characteristics such as cell structure, nutrition and organisation are used for grouping.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Prokaryotic vs eukaryotic cell"", ""reason"": ""The five kingdom system's primary division separates Monera from the other four kingdoms based on whether the cell is prokaryotic or eukaryotic, so this cellular distinction must already be understood.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Differentiate between prokaryotic and eukaryotic cells based on their structural features"", ""reason"": ""Using cell structure as a classification criterion for the five kingdoms requires already being able to tell prokaryotic and eukaryotic cells apart.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Unicellular and multicellular organisms"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between unicellular and multicellular organisms' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Life_Processes_in_Plants"", ""concept"": ""Nutrition in Plants - Modes of Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Differentiate between autotrophic and heterotrophic modes of nutrition based on how organisms obtain food' (in Grade 7/Chapter10_Life_Processes_in_Plants) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Distinguish between unicellular and multicellular organisms"", ""reason"": ""Distinguishing organisation level (unicellular vs multicellular) is one of the explicit criteria used to sort organisms into the five kingdoms.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Life_Processes_in_Plants"", ""skill"": ""Differentiate between autotrophic and heterotrophic modes of nutrition based on how organisms obtain food"", ""reason"": ""The five-kingdom system uses mode of nutrition as a key criterion, so distinguishing autotrophs from heterotrophs is a required prior skill.""}]"
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,"Classification of plant kingdom (Thallophyta, Bryophyta, Pteridophyta, Gymnosperms, Angiosperms)",Classify a given plant into its group based on presence of vascular tissue and seed-bearing features,"[{""item"": ""Kingdom Plantae"", ""reason"": ""Subdividing plants into groups requires already knowing the general characteristics of Kingdom Plantae.""}]","[{""item"": ""Describe the characteristic features of Kingdom Plantae"", ""reason"": ""Subdividing plants into groups requires already knowing the general characteristics of the plant kingdom.""}]","[{""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Conducting tissues - xylem and phloem"", ""reason"": ""Separating Thallophyta/Bryophyta from Pteridophyta, Gymnosperms and Angiosperms depends on recognising the presence of vascular (xylem and phloem) tissue, which must be known beforehand.""}]","[{""chapter"": ""Chapter03_Tissues_in_Action"", ""skill"": ""Differentiate xylem and phloem based on their transport function and cell structure"", ""reason"": ""Determining whether a plant has vascular tissue requires already knowing what xylem and phloem are and how they function as transport tissue.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter09_Life_Processes_in_Animals"", ""concept"": ""Xylem and Phloem"", ""reason"": ""The presence or absence of vascular tissue (xylem/phloem) is the specific criterion separating non-vascular groups like Bryophyta from vascular groups like Pteridophyta and above.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter09_Life_Processes_in_Animals"", ""skill"": ""Differentiate between xylem and phloem"", ""reason"": ""Recognising xylem and phloem as vascular tissues is required to judge whether a plant possesses vascular tissue for this classification.""}]"
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,Classification based on seed characteristics (monocots and dicots),Differentiate between monocot and dicot seeds based on the number of cotyledons,"[{""item"": ""Classification of plant kingdom (Thallophyta, Bryophyta, Pteridophyta, Gymnosperms, Angiosperms)"", ""reason"": ""Monocot/dicot differentiation is a further subdivision within Angiosperms, which is part of the plant kingdom classification hierarchy.""}]","[{""item"": ""Classify a given plant into its group based on presence of vascular tissue and seed-bearing features"", ""reason"": ""Monocot/dicot differentiation is a further subdivision within angiosperms already classified by seed-bearing features.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Seeds and cotyledons (monocots and dicots)"", ""reason"": ""The monocot/dicot distinction based on cotyledon number was already established and is directly reused as the classification criterion here.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Classify seeds into monocots and dicots based on number of cotyledons"", ""reason"": ""This exact skill of sorting seeds by cotyledon number was already taught and is directly reapplied here.""}]"
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,Classification of animal kingdom (invertebrates and vertebrates),Classify a given animal into invertebrate or vertebrate groups based on presence of notochord/backbone,"[{""item"": ""Kingdom Animalia"", ""reason"": ""Grouping animals into invertebrates and vertebrates requires first understanding the general characteristics of Kingdom Animalia.""}]","[{""item"": ""Describe the characteristic features of Kingdom Animalia"", ""reason"": ""Distinguishing invertebrates from vertebrates requires prior knowledge of the general animal kingdom characteristics.""}]",[],[],[],[]
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,"Classification of vertebrate classes (Cyclostomata, Pisces, Amphibia, Reptilia, Aves, Mammalia)",Distinguish between vertebrate classes based on their characteristic body features,"[{""item"": ""Classification of animal kingdom (invertebrates and vertebrates)"", ""reason"": ""Vertebrate classes are a further subdivision of the vertebrate group established in the invertebrate/vertebrate classification.""}]","[{""item"": ""Classify a given animal into invertebrate or vertebrate groups based on presence of notochord/backbone"", ""reason"": ""Distinguishing vertebrate classes requires first identifying an animal as a vertebrate.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""concept"": ""Amphibians"", ""reason"": ""Recognising amphibians as animals with a dual land-water habitat provides the specific groundwork needed to place Amphibia correctly among the vertebrate classes.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Diversity_In_The_Living_World"", ""skill"": ""Identify examples of amphibians and explain their dual habitat"", ""reason"": ""Already knowing the defining dual-habitat feature of amphibians provides a concrete basis for distinguishing Amphibia from other vertebrate classes.""}]"
CBSE,Science,Grade 9,Chapter12_Patterns_in_Life:_Diversity_and_Classification,Hierarchical levels within a kingdom,Name the successive hierarchical levels used to organize organisms within a kingdom,"[{""item"": ""Five kingdom classification (Monera, Protista, Fungi, Plantae, Animalia)"", ""reason"": ""Understanding hierarchical levels requires already knowing that organisms are grouped into kingdoms.""}]","[{""item"": ""Classify organisms into the five kingdoms based on cell structure, nutrition, and organisation"", ""reason"": ""Naming hierarchical levels within a kingdom presupposes understanding that organisms are grouped into kingdoms first.""}]",[],[],[],[]
