board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Objects and the materials they are made of,Identify the materials used to make common objects,"[""Classification of materials""]",[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Observable features of materials and organisms"", ""reason"": ""Derived from skill prerequisite: 'Examine observable features to identify a material or organism' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Examine observable features to identify a material or organism"", ""reason"": ""Students must first be able to examine observable features to identify a material before they can apply this to identifying materials used in specific everyday objects.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Materials things are made of"", ""reason"": ""Students must already know that everyday objects are made from identifiable materials before classifying and comparing those materials in more depth.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Identify objects made of different materials such as wood, metal, glass and plastic"", ""reason"": ""This earlier skill of matching common objects to the materials they are made of is directly extended in the target skill.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Classification of materials,"Classify objects based on common properties such as shape, colour, hardness or material","[""Objects and the materials they are made of""]","[""Identify the materials used to make common objects""]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Classification of materials and organisms by observable properties"", ""reason"": ""Students need the general idea that materials can be sorted by observable properties before they can apply specific classification schemes to the materials in this chapter.""}]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Classify materials or organisms using observable properties"", ""reason"": ""The general skill of sorting materials by observable properties must be mastered before students can classify objects using specific properties like shape, colour or hardness.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Grouping objects by material"", ""reason"": ""Grouping objects by the material they are made of is the basic sorting skill the Grade 6 material classification scheme builds upon.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Classify objects based on the material they are made of"", ""reason"": ""Sorting objects by their material is the specific sub-skill that the broader Grade 6 property-based classification builds on.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Choice of material based on properties and purpose,Explain why different materials are chosen for making specific objects,"[""Classification of materials"", ""Investigating material properties"", ""Appearance of materials: lustrous and non-lustrous"", ""Hardness and softness of materials"", ""Transparency: transparent, translucent and opaque materials"", ""Solubility and insolubility of materials in water"", ""Mass as a property of matter""]","[""Distinguish between lustrous and non-lustrous materials"", ""Distinguish between hard and soft materials"", ""Classify materials as transparent, translucent or opaque"", ""Predict and test whether a material is soluble or insoluble in water""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Suitability of materials for objects"", ""reason"": ""Understanding that some materials suit some objects better than others is the foundation for reasoning about property-based material choice.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Explain why certain materials are unsuitable for making specific objects"", ""reason"": ""Reasoning about why a material is unsuitable for an object is the same reasoning process needed to justify why a material is chosen for a purpose.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Appearance of materials: lustrous and non-lustrous,Distinguish between lustrous and non-lustrous materials,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Hardness and softness of materials,Distinguish between hard and soft materials,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Properties of materials"", ""reason"": ""Derived from skill prerequisite: 'Compare properties of different materials such as hardness, flexibility, texture and sound' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Compare properties of different materials such as hardness, flexibility, texture and sound"", ""reason"": ""Comparing material hardness was already practised here and is the direct precursor to distinguishing hard from soft materials.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,"Transparency: transparent, translucent and opaque materials","Classify materials as transparent, translucent or opaque",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Transparency of materials"", ""reason"": ""The basic notion that materials differ in how they let light pass through was introduced here and is directly extended in the Grade 6 classification.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Distinguish between transparent, translucent and opaque materials"", ""reason"": ""This is the identical distinguishing skill introduced earlier, which the Grade 6 chapter revisits and applies to a wider set of materials.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Solubility and insolubility of materials in water,Predict and test whether a material is soluble or insoluble in water,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Solubility of Substances in Water"", ""reason"": ""The idea that substances can dissolve or not dissolve in water was established here and is a direct precursor to classifying materials as soluble or insoluble.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Journey_of_a_River"", ""concept"": ""Dissolving vs non-dissolving substances in water"", ""reason"": ""This concept already distinguishes dissolving from non-dissolving substances, which underlies the Grade 6 solubility classification.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""How Water Becomes Dirty"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the solubility of different substances in water through a simple activity' (in Grade 4/Chapter01_Living_Together) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""skill"": ""Classify objects and substances as soluble or insoluble in water through a simple activity"", ""reason"": ""This earlier hands-on solubility testing skill is the direct basis for predicting and testing solubility in the target chapter.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Journey_of_a_River"", ""skill"": ""Distinguish between substances that dissolve and do not dissolve in water"", ""reason"": ""Distinguishing dissolving from non-dissolving substances is the core judgement the target predicting-and-testing skill relies on.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Demonstrate the solubility of different substances in water through a simple activity"", ""reason"": ""This earlier demonstration of solubility through simple activity provides the experimental basis for the target's test-and-predict procedure.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Mass as a property of matter,Measure and compare the mass of different materials using a balance,"[""Units of mass and volume""]","[""State the SI units used to measure mass and volume""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Volume and space occupied by matter,Explain the concept of volume as the space occupied by matter,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Matter and its properties,Define matter in terms of mass and space occupied,"[""Mass as a property of matter"", ""Volume and space occupied by matter""]","[""Measure and compare the mass of different materials using a balance"", ""Explain the concept of volume as the space occupied by matter""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Units of mass and volume,State the SI units used to measure mass and volume,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Measurement in SI units"", ""reason"": ""Understanding that physical quantities are measured using a standard SI system is needed before learning the specific SI units used for mass and volume.""}]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Measure a physical quantity and express it in SI units"", ""reason"": ""Being able to express a measured quantity in SI units generally is a prerequisite for stating which specific SI units apply to mass and volume.""}]",[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Traditional classification of matter (Ayurveda's guna concept),Describe traditional classification systems of matter used in ancient India,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Investigating material properties,Compare properties of different materials through observation and experimentation,"[""Systematic observation and recording""]","[""Record observations and predictions in a systematic table""]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Investigative procedures in science"", ""reason"": ""Knowing the general procedure of scientific investigation is required before students can carry out investigations of specific material properties.""}, {""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Properties, structure and functions of materials and organisms"", ""reason"": ""Derived from skill prerequisite: 'Compare properties and structure to differentiate two materials' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Compare properties and structure to differentiate two materials"", ""reason"": ""The foundational skill of comparing material properties through observation, introduced in the intro science chapter, is directly extended here to systematic experimentation on materials.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Properties of materials"", ""reason"": ""Derived from skill prerequisite: 'Compare properties of different materials such as hardness, flexibility, texture and sound' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Predicting Material Properties"", ""reason"": ""Derived from skill prerequisite: 'Predict the material of an object based on its properties like texture, sound and appearance' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Compare properties of different materials such as hardness, flexibility, texture and sound"", ""reason"": ""This is the same comparative-observation skill for material properties that the target chapter extends with more systematic experimentation.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Predict the material of an object based on its properties like texture, sound and appearance"", ""reason"": ""Using observed properties to reason about materials is the foundational practice extended into systematic experimentation in the target skill.""}]"
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Systematic observation and recording,Record observations and predictions in a systematic table,[],[],"[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Scientific method through senses"", ""reason"": ""Learning to use the senses systematically to gather observations, as taught in the introductory science chapter, underlies the ability to observe and record material properties systematically.""}, {""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Record observations during an experiment or activity' (in Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Record observations during an experiment or activity"", ""reason"": ""Students need the basic skill of recording observations during an activity before they can organize predictions and observations into a systematic table.""}]",[],[]
CBSE,Science,Grade 6,Chapter06_Materials_Around_Us,Choice of material based on properties and purpose,Apply knowledge of material properties to select suitable materials for specific purposes,"[""Classification of materials"", ""Investigating material properties"", ""Appearance of materials: lustrous and non-lustrous"", ""Hardness and softness of materials"", ""Transparency: transparent, translucent and opaque materials"", ""Solubility and insolubility of materials in water"", ""Mass as a property of matter""]","[""Distinguish between lustrous and non-lustrous materials"", ""Distinguish between hard and soft materials"", ""Classify materials as transparent, translucent or opaque"", ""Predict and test whether a material is soluble or insoluble in water"", ""Measure and compare the mass of different materials using a balance""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Suitability of materials for objects"", ""reason"": ""Understanding that some materials suit some objects better than others is the foundation for reasoning about property-based material choice.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Explain why certain materials are unsuitable for making specific objects"", ""reason"": ""Reasoning about material unsuitability for a purpose is the inverse of the target skill of selecting suitable materials, and provides its foundational logic.""}]"
