board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Cooking Utensils,List different utensils used for cooking at home,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Cooking Utensils,Describe utensils used for cooking in the past based on information gathered from elders,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Cooking Utensils,Compare utensils used in the past with utensils used today,[],"[""Describe utensils used for cooking in the past based on information gathered from elders"", ""List different utensils used for cooking at home""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Methods of Cooking,Identify food items prepared using different methods of cooking,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Methods of Cooking,State the steps involved in preparing a food item they can make,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Fuels Used in Cooking,Identify the fuels used for cooking in daily life,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Fuels Used in Cooking,Explain the effect of a particular cooking fuel on the environment,[],"[""Identify the fuels used for cooking in daily life""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Things around us and their sources,Identify common things around us and describe where they come from,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Materials things are made of,"Identify objects made of different materials such as wood, metal, glass and plastic","[""Things around us and their sources""]","[""Identify common things around us and describe where they come from""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Sources of materials,"Explain where common materials like wood, metal and glass come from","[""Things around us and their sources""]","[""Identify common things around us and describe where they come from""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Grouping objects by material,Classify objects based on the material they are made of,"[""Materials things are made of""]","[""Identify objects made of different materials such as wood, metal, glass and plastic""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Properties of materials,"Compare properties of different materials such as hardness, flexibility, texture and sound","[""Materials things are made of""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Suitability of materials for objects,Explain why certain materials are unsuitable for making specific objects,"[""Properties of materials""]","[""Compare properties of different materials such as hardness, flexibility, texture and sound""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Transparency of materials,"Distinguish between transparent, translucent and opaque materials","[""Properties of materials""]","[""Compare properties of different materials such as hardness, flexibility, texture and sound""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Effect of coloured transparent materials,Describe how the colour of an object appears different when viewed through coloured transparent materials,"[""Transparency of materials""]","[""Distinguish between transparent, translucent and opaque materials""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Sound produced by materials,Compare the sound produced by different materials when struck,"[""Properties of materials""]","[""Compare properties of different materials such as hardness, flexibility, texture and sound""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Metals and Ores,Identify metals present in everyday objects and describe the ores they come from,"[""Materials things are made of"", ""Sources of materials""]","[""Identify objects made of different materials such as wood, metal, glass and plastic"", ""Explain where common materials like wood, metal and glass come from""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Alloys,Explain that alloys are mixtures of metals and identify examples of alloys in everyday objects,"[""Metals and Ores""]","[""Identify metals present in everyday objects and describe the ores they come from""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,States of Matter,Describe the difference between materials that keep their shape and those that flow,"[""Materials things are made of""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,"Classification of objects into solids, liquids and gases","Classify everyday objects as solids, liquids or gases based on their properties","[""States of Matter""]","[""Describe the difference between materials that keep their shape and those that flow""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Natural and Artificial Things,Distinguish between natural and artificial things,"[""Things around us and their sources""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Natural and Artificial Things,List examples of natural and artificial things,"[""Things around us and their sources""]","[""Distinguish between natural and artificial things""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Biodegradable and Non-biodegradable Materials,Explain the concept of biodegradable and non-biodegradable waste materials,"[""Natural and Artificial Things""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Eco-friendly Practices,Demonstrate eco-friendly practices such as reusing newspaper or cloth for wrapping,"[""Biodegradable and Non-biodegradable Materials""]","[""Explain the concept of biodegradable and non-biodegradable waste materials""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter10_This_World_of_Things,Predicting Material Properties,"Predict the material of an object based on its properties like texture, sound and appearance","[""Properties of materials""]","[""Compare properties of different materials such as hardness, flexibility, texture and sound""]",[],[]
