board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Open and Closed Shapes,Identify whether a shape is open or closed,[],[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Open and Closed Shapes,Distinguish between open shapes and closed shapes using examples,[],"[""Identify whether a shape is open or closed""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Sides of a Polygon,Count the number of sides in a given shape,"[""Open and Closed Shapes""]","[""Identify the sides of a polygon in a figure""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Describing 2D shapes by sides, corners and diagonals"", ""reason"": ""Students must already be able to describe a 2D shape in terms of its sides before they can identify and count the sides of a polygon in this chapter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Identify the number of sides of a given 2D shape"", ""reason"": ""This target skill directly extends the earlier practiced skill of counting the sides of a 2D shape.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Sides of a Polygon,Identify the sides of a polygon in a figure,"[""Open and Closed Shapes""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Describing 2D shapes by sides, corners and diagonals"", ""reason"": ""Students must already be able to describe a 2D shape in terms of its sides before they can identify and count the sides of a polygon in this chapter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Identify the number of sides of a given 2D shape"", ""reason"": ""Locating and counting sides of a polygon requires the earlier-established ability to identify the sides of a 2D shape.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Angles at Corners of Shapes,Identify and compare angles at the corners of shapes,"[""Meaning of an Angle""]","[""Describe an angle as formed by two rays with a common endpoint"", ""Identify the arms and vertex of an angle in a figure""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Derived from skill prerequisite: 'Classify corners as square corners, less than a square corner, or more than a square corner' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Classify corners as square corners, less than a square corner, or more than a square corner"", ""reason"": ""Comparing corner angles of shapes builds on the earlier skill of classifying corners relative to a square corner.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Angles at Corners of Shapes,Identify angles smaller than a right angle in real-life images such as bird beaks,"[""Meaning of an Angle""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Derived from skill prerequisite: 'Classify corners as square corners, less than a square corner, or more than a square corner' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Classify corners as square corners, less than a square corner, or more than a square corner"", ""reason"": ""Recognising an angle as smaller than a right angle depends on the earlier practice of judging corners as less than a square corner.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Comparing Angles (Bigger and Smaller Angles),Identify the biggest and smallest angles in a shape,"[""Types of Angles""]","[""Compare two given angles to determine which is bigger or smaller"", ""Classify a given angle as right, acute, or obtuse""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Comparing angles as bigger or smaller builds on the earlier practice of judging corners as less than, equal to, or more than a square corner.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Compare corners of different shapes using a square corner as reference"", ""reason"": ""Ranking angles from biggest to smallest depends on the earlier-developed skill of comparing corners against a square-corner reference.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Comparing Angles (Bigger and Smaller Angles),Compare angles formed between branches or objects in a picture and identify the largest angle,"[""Types of Angles""]","[""Compare two given angles to determine which is bigger or smaller""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Comparing angles as bigger or smaller builds on the earlier practice of judging corners as less than, equal to, or more than a square corner.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Compare corners of different shapes using a square corner as reference"", ""reason"": ""Judging which of several pictured angles is largest relies on the earlier skill of comparing angles using a reference corner.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Comparing Angles (Bigger and Smaller Angles),Compare two given angles to determine which is bigger or smaller,"[""Types of Angles""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Comparing angles as bigger or smaller builds on the earlier practice of judging corners as less than, equal to, or more than a square corner.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Compare corners of different shapes using a square corner as reference"", ""reason"": ""This skill extends the earlier practice of comparing shape corners using a square corner as a benchmark to compare any two angles.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Equal Angles Within a Shape,Distinguish between angles that are equal and angles that are different within the same shape,"[""Angles at Corners of Shapes""]","[""Identify and compare angles at the corners of shapes""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Equal Angles Within a Shape,Mark angles of the same size using matching colours in a shape,"[""Angles at Corners of Shapes""]","[""Distinguish between angles that are equal and angles that are different within the same shape""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Relationship Between Angles and Shape,Explain how changing angles in a shape changes the overall shape even when the number of sides remains the same,"[""Meaning of an Angle"", ""Types of Angles""]","[""Predict how changing an angle changes the shape of a figure""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Relationship Between Angles and Shape,Predict how changing an angle changes the shape of a figure,"[""Meaning of an Angle"", ""Types of Angles""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Angles Formed by Straight Lines in Letters and Names,"Count right angles, angles less than a right angle, and angles greater than a right angle in written names","[""Types of Angles""]","[""Identify angles formed by straight lines in capital letters""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Acute and obtuse angles"", ""reason"": ""Derived from skill prerequisite: 'Identify acute and obtuse angles in classroom objects and letters' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Angles Formed by Straight Lines in Letters and Names,Identify angles formed by straight lines in capital letters,"[""Types of Angles""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Acute and obtuse angles"", ""reason"": ""Derived from skill prerequisite: 'Identify acute and obtuse angles in classroom objects and letters' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify acute and obtuse angles in classroom objects and letters"", ""reason"": ""This target skill is a direct continuation of the earlier practice of spotting acute and obtuse angles specifically within letters.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Angle of a Slope and Speed of Movement,Predict how the angle of a slope affects the speed at which an object rolls down,"[""Meaning of an Angle""]","[""Explain the relationship between the steepness of a slope and its angle""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Angle of a Slope and Speed of Movement,Explain the relationship between the steepness of a slope and its angle,"[""Meaning of an Angle""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Meaning of an Angle,Identify the arms and vertex of an angle in a figure,[],"[""Describe an angle as formed by two rays with a common endpoint""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Angles - formation when lines meet"", ""reason"": ""Understanding that an angle is formed where two lines meet is the earlier idea that this chapter formalises into arms, vertex, and rays.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify angles formed when two lines meet"", ""reason"": ""Naming the arms and vertex of an angle requires first recognising where and how an angle is formed by two meeting lines, as taught earlier.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Meaning of an Angle,Describe an angle as formed by two rays with a common endpoint,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Angles - formation when lines meet"", ""reason"": ""Understanding that an angle is formed where two lines meet is the earlier idea that this chapter formalises into arms, vertex, and rays.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Describe how an angle is formed at the meeting point of two lines"", ""reason"": ""The formal description of an angle as two rays sharing an endpoint builds on the earlier informal description of an angle forming where two lines meet.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Types of Angles,"Identify right angle, acute angle, and obtuse angle in a figure","[""Meaning of an Angle""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Acute and obtuse angles"", ""reason"": ""The classification of angles into acute, right, and obtuse taught here builds directly on the earlier introduction of these named angle categories.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Right angles"", ""reason"": ""Recognising a right angle as a reference category was introduced earlier and is needed to classify other angles as smaller or larger than it.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Using the square corner as a benchmark to judge angles as smaller or larger is the earlier foundation for formally naming acute, right, and obtuse angles.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Distinguish between acute, right, and obtuse angles"", ""reason"": ""Identifying these three angle types in a figure requires the earlier-learned ability to tell acute, right, and obtuse angles apart.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Types of Angles,"Classify a given angle as right, acute, or obtuse","[""Meaning of an Angle""]","[""Identify right angle, acute angle, and obtuse angle in a figure""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Acute and obtuse angles"", ""reason"": ""The classification of angles into acute, right, and obtuse taught here builds directly on the earlier introduction of these named angle categories.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Right angles"", ""reason"": ""Recognising a right angle as a reference category was introduced earlier and is needed to classify other angles as smaller or larger than it.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Using the square corner as a benchmark to judge angles as smaller or larger is the earlier foundation for formally naming acute, right, and obtuse angles.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Distinguish between acute, right, and obtuse angles"", ""reason"": ""Classifying an angle into one of these categories directly reuses the earlier skill of distinguishing acute, right, and obtuse angles.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Types of Angles,"Classify angles found in surroundings into acute, obtuse, and right angle","[""Meaning of an Angle""]","[""Classify a given angle as right, acute, or obtuse""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Acute and obtuse angles"", ""reason"": ""The classification of angles into acute, right, and obtuse taught here builds directly on the earlier introduction of these named angle categories.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Right angles"", ""reason"": ""Recognising a right angle as a reference category was introduced earlier and is needed to classify other angles as smaller or larger than it.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Using the square corner as a benchmark to judge angles as smaller or larger is the earlier foundation for formally naming acute, right, and obtuse angles.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify acute and obtuse angles in classroom objects and letters"", ""reason"": ""Spotting acute and obtuse angles among everyday objects was practiced earlier and is the basis for classifying surrounding angles here.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify right angles in classroom objects and letters"", ""reason"": ""Recognising right angles in real objects was practiced earlier and underlies classifying surrounding angles into the three types.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Types of Angles,Construct angles of a given type by drawing and tracing,"[""Meaning of an Angle""]","[""Classify a given angle as right, acute, or obtuse""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Acute and obtuse angles"", ""reason"": ""The classification of angles into acute, right, and obtuse taught here builds directly on the earlier introduction of these named angle categories.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Right angles"", ""reason"": ""Recognising a right angle as a reference category was introduced earlier and is needed to classify other angles as smaller or larger than it.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Square corners (right angles) and comparison with less than or more than a square corner"", ""reason"": ""Using the square corner as a benchmark to judge angles as smaller or larger is the earlier foundation for formally naming acute, right, and obtuse angles.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Draw right angles using a right angle checker"", ""reason"": ""Drawing angles of a specified type builds on the earlier-practiced skill of constructing a right angle using a checking tool.""}]"
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Degree Clock and Measuring Angles,Construct a degree clock to estimate angles,"[""Types of Angles""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Degree Clock and Measuring Angles,Estimate the measure of an angle using a degree clock,"[""Types of Angles""]","[""Construct a degree clock to estimate angles""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Degree Clock and Measuring Angles,Measure a given angle using a protractor,"[""Types of Angles""]","[""Construct a degree clock to estimate angles""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Degree Clock and Measuring Angles,Construct an angle of a specified measure using a protractor,"[""Types of Angles""]","[""Measure a given angle using a protractor""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter02_Shapes_And_Angles,Perimeter of a Figure,Identify the boundary of a given figure,"[""Open and Closed Shapes"", ""Sides of a Polygon""]","[""Identify whether a shape is open or closed""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The idea that perimeter is the total boundary length of a shape was already established in this earlier chapter and is directly reused here.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Using a measuring tape/scale to measure objects"", ""reason"": ""Derived from skill prerequisite: 'Measure objects and distances using a scale or measuring tape' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]",[]
