board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area using square grid,Identify the concept of area as the space covered by a shape on a square grid,[],[],"[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Area using Square Grid"", ""reason"": ""The basic idea of measuring area by counting squares on a grid is first introduced in the Shapes and Angles chapter and is directly reused here.""}]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""skill"": ""Describe the concept of area using a square grid"", ""reason"": ""Students first learn to describe area on a grid in Shapes and Angles before this chapter builds on that idea in more depth.""}]",[],[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area using square grid,Calculate the area of a shape by counting unit squares on a grid,[],"[""Identify the concept of area as the space covered by a shape on a square grid""]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Area using Square Grid"", ""reason"": ""The basic idea of measuring area by counting squares on a grid is first introduced in the Shapes and Angles chapter and is directly reused here.""}]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""skill"": ""Calculate the area of an object by tracing it on a square grid"", ""reason"": ""Counting squares to find area by tracing a shape on a grid is the introductory skill developed before this chapter's more systematic grid-counting tasks.""}]",[],[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area using square grid,Determine the area of irregularly traced objects using square grids,[],"[""Calculate the area of a shape by counting unit squares on a grid""]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Area using Square Grid"", ""reason"": ""The basic idea of measuring area by counting squares on a grid is first introduced in the Shapes and Angles chapter and is directly reused here.""}]",[],[],[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Comparing areas of different shapes,Compare areas of different shapes and identify which is larger or smaller,"[""Area using square grid""]","[""Calculate the area of a shape by counting unit squares on a grid""]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Area using Square Grid"", ""reason"": ""Derived from skill prerequisite: 'Compare areas of two traced shapes on a square grid' (in Chapter02_Shapes_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""skill"": ""Compare areas of two traced shapes on a square grid"", ""reason"": ""Comparing traced shapes on a grid in the earlier chapter provides the basic comparison skill needed before comparing a wider variety of shapes here.""}]",[],[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area of rectangles made from unit squares,Identify rectangles formed from rows and columns of unit squares,"[""Area using square grid""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication symbol and notation"", ""reason"": ""Derived from skill prerequisite: 'Arrange objects in arrays and record corresponding multiplication facts' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area of rectangles made from unit squares,Calculate the area of a rectangle made from unit squares by counting rows and columns,"[""Area using square grid""]","[""Identify rectangles formed from rows and columns of unit squares"", ""Calculate the area of a shape by counting unit squares on a grid""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication symbol and notation"", ""reason"": ""Derived from skill prerequisite: 'Arrange objects in arrays and record corresponding multiplication facts' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Arrange objects in arrays and record corresponding multiplication facts"", ""reason"": ""Counting rows and columns to find a rectangle's area relies on the array model of multiplication (rows times columns) learned earlier.""}]"
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area of rectangles made from unit squares,Compare the areas of different rectangles built from unit squares,"[""Area using square grid""]","[""Calculate the area of a rectangle made from unit squares by counting rows and columns""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication symbol and notation"", ""reason"": ""Derived from skill prerequisite: 'Arrange objects in arrays and record corresponding multiplication facts' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Area of rectangles made from unit squares,Represent the area of a rectangle using an equivalent arrangement of unit squares,"[""Area using square grid""]","[""Calculate the area of a rectangle made from unit squares by counting rows and columns""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication symbol and notation"", ""reason"": ""Derived from skill prerequisite: 'Arrange objects in arrays and record corresponding multiplication facts' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Perimeter of a figure,Identify the perimeter as the boundary length of a given figure,"[""Area using square grid""]",[],"[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Perimeter of a Figure"", ""reason"": ""Recognising the boundary of a figure as its perimeter is introduced earlier in Shapes and Angles before it is applied and extended in this chapter.""}]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""skill"": ""Identify the boundary of a given figure"", ""reason"": ""Recognising the boundary of a figure is a prerequisite for understanding that the perimeter is the length of that boundary.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The target chapter assumes students already know perimeter is the boundary length before exploring its relationship with area.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Measuring and comparing perimeters of different shapes"", ""reason"": ""Derived from skill prerequisite: 'Compare perimeters of different shapes to identify the longest, shortest, or equal ones' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Identify and calculate the perimeter of simple shapes using a dot grid or scale"", ""reason"": ""Students must already be able to recognise and compute perimeter on a grid before using it alongside area in this chapter.""}]"
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Perimeter of a figure,Calculate the perimeter of a given figure by measuring its sides,"[""Area using square grid""]","[""Identify the perimeter as the boundary length of a given figure""]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Perimeter of a Figure"", ""reason"": ""Recognising the boundary of a figure as its perimeter is introduced earlier in Shapes and Angles before it is applied and extended in this chapter.""}]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""skill"": ""Calculate the perimeter of a given figure by measuring its sides"", ""reason"": ""This exact measuring-and-summing procedure for finding perimeter is first practised in Shapes and Angles before being extended to more complex figures in this chapter.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The target chapter assumes students already know perimeter is the boundary length before exploring its relationship with area.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Measuring and comparing perimeters of different shapes"", ""reason"": ""Derived from skill prerequisite: 'Compare perimeters of different shapes to identify the longest, shortest, or equal ones' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Identify and calculate the perimeter of simple shapes using a dot grid or scale"", ""reason"": ""The target skill directly reuses the previously taught procedure of measuring sides and summing them to find perimeter.""}]"
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Perimeter of a figure,Compare perimeters of different figures on a grid,"[""Area using square grid""]","[""Calculate the perimeter of a given figure by measuring its sides""]","[{""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Perimeter of a Figure"", ""reason"": ""Recognising the boundary of a figure as its perimeter is introduced earlier in Shapes and Angles before it is applied and extended in this chapter.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The target chapter assumes students already know perimeter is the boundary length before exploring its relationship with area.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Measuring and comparing perimeters of different shapes"", ""reason"": ""Derived from skill prerequisite: 'Compare perimeters of different shapes to identify the longest, shortest, or equal ones' (in Grade 4/Chapter06_Measuring_Length) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Compare perimeters of different shapes to identify the longest, shortest, or equal ones"", ""reason"": ""Comparing perimeters on a grid builds directly on the earlier-taught procedure for ranking shapes by perimeter.""}]"
CBSE,Maths,Grade 5,Chapter03_How_Many_Squares,Relationship between area and perimeter,Determine that objects having equal areas can have different perimeters,"[""Area of rectangles made from unit squares"", ""Perimeter of a figure"", ""Comparing areas of different shapes""]","[""Compare areas of different shapes and identify which is larger or smaller"", ""Compare perimeters of different figures on a grid""]",[],[],[],[]
