board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Light and Shadows - Source of Light,Distinguish between objects that emit light and objects visible only through reflected light,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Shadows vs Reflections,Distinguish between shadows and reflections based on their formation,"[""Light and Shadows - Source of Light""]","[""Distinguish between objects that emit light and objects visible only through reflected light""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Conditions for Shadow Formation,"Conclude the necessary conditions of a light source, opaque object, and screen required for shadow formation","[""Light and Shadows - Source of Light"", ""Shadows vs Reflections""]","[""Distinguish between objects that emit light and objects visible only through reflected light""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Shadows and their formation"", ""reason"": ""A basic understanding of how shadows are formed, established earlier, is needed before deriving the specific conditions (light source, opaque object, screen) required for shadow formation.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Explain how shadows are formed"", ""reason"": ""Concluding the specific conditions for shadow formation requires already knowing the basic mechanism by which shadows are formed.""}]"
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Pinhole Camera,Summarize the characteristics of the image formed by a pinhole camera,"[""Light and Shadows - Source of Light"", ""Conditions for Shadow Formation""]","[""Conclude the necessary conditions of a light source, opaque object, and screen required for shadow formation""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Pinhole Camera,Represent the working of a pinhole camera through a labelled diagram,"[""Light and Shadows - Source of Light"", ""Conditions for Shadow Formation""]","[""Summarize the characteristics of the image formed by a pinhole camera""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Reflection from Plane Mirror,Conclude the nature of the image formed by reflection in a plane mirror,"[""Light and Shadows - Source of Light"", ""Shadows vs Reflections""]","[""Distinguish between shadows and reflections based on their formation""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Shadow Formation in Real-life Situations,"Evaluate the effect of altitude on the size of a shadow, such as comparing an airplane's shadow with a bird's shadow","[""Conditions for Shadow Formation""]","[""Conclude the necessary conditions of a light source, opaque object, and screen required for shadow formation""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Factors affecting the size and direction of shadows"", ""reason"": ""Applying shadow reasoning to real-life situations requires already knowing how factors like light source position and distance change shadow size and direction.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Predict how a shadow changes when the distance of the light source changes"", ""reason"": ""Reasoning about how altitude affects shadow size depends on the prior skill of predicting how shadow size changes with distance from the light source.""}]"
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Electric Circuit - Complete and Incomplete,Distinguish between a complete and an incomplete electric circuit using a labelled diagram,"[""Electric Cell""]","[""Describe the structure of an electric cell"", ""Describe the function of an electric cell""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Conductors and Insulators,Test given items to classify them as electrical conductors or insulators,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter11_Natures_Treasures,Conductors and Insulators,Examine the role of conductors and insulators in everyday use,[],[],[],[],[],[]
