board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Uniqueness as a Life-Sustaining Planet,Explain why Earth is a unique planet capable of sustaining life,"[""Earth's Distance from the Sun"", ""Earth's Size and Atmosphere Retention"", ""Greenhouse Effect"", ""Ozone Layer Protection"", ""Earth's Magnetic Field"", ""Life-Sustaining Resources""]","[""Explain how Earth's distance from the Sun affects its habitability"", ""Explain how Earth's size and gravity help retain its atmosphere"", ""Explain the greenhouse effect and its role in maintaining Earth's temperature"", ""Describe the role of the ozone layer in blocking harmful UV rays"", ""Explain how Earth's magnetic field protects life from cosmic rays and solar wind"", ""Identify air, water, and sunlight as essential resources for sustaining life on Earth""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Crust as a Life-Supporting Layer,Describe the layered structure of the Earth and significance of the crust,"[""Geosphere - Soil, Rocks, and Minerals""]","[""Explain the role of soil, rocks, and minerals in sustaining life""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Planets of the Solar System,"Compare temperature, size, and atmosphere of different planets in the solar system",[],[],"[{""chapter"": ""Chapter11_Keeping_Time_with_the_Skies"", ""concept"": ""Planets of the solar system"", ""reason"": ""Students must already know the identities and basic nature of the solar system's planets before comparing their habitability-related properties in this chapter.""}, {""chapter"": ""Chapter11_Keeping_Time_with_the_Skies"", ""concept"": ""Constituents of the solar system"", ""reason"": ""Knowing what bodies make up the solar system is needed before discussing planets as a specific subset relevant to habitability.""}]","[{""chapter"": ""Chapter11_Keeping_Time_with_the_Skies"", ""skill"": ""Outline the planets of the solar system to correctly identify them"", ""reason"": ""Students must first be able to identify the planets before they can compare their temperature, size, and atmosphere.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""The Solar System"", ""reason"": ""Derived from skill prerequisite: 'Compare planets based on their size, composition and distance from the Sun' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Compare planets based on their size, composition and distance from the Sun"", ""reason"": ""This earlier skill of comparing planets by size, composition and distance is directly extended to include temperature and atmosphere in the target skill.""}]"
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Greenhouse Effect,Explain the greenhouse effect and its role in maintaining Earth's temperature,[],[],"[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Presence of carbon dioxide and dust particles in air"", ""reason"": ""Knowing that carbon dioxide is present in the atmosphere is a fact needed before explaining how it traps heat in the greenhouse effect.""}]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Demonstrate the presence of carbon dioxide and dust particles in air using simple tests"", ""reason"": ""Confirming that carbon dioxide exists in air is the specific fact the greenhouse effect explanation depends on.""}]",[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Habitable Zone (Goldilocks Zone),Define the habitable zone and explain its importance for liquid water,"[""Planets of the Solar System""]","[""Compare temperature, size, and atmosphere of different planets in the solar system""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""Astronomical unit"", ""reason"": ""Defining the habitable zone requires understanding how distances from a star are measured, a concept first introduced through the astronomical unit.""}]",[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Distance from the Sun,Explain how Earth's distance from the Sun affects its habitability,"[""Planets of the Solar System""]","[""Compare temperature, size, and atmosphere of different planets in the solar system""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""The Solar System"", ""reason"": ""Derived from skill prerequisite: 'Sequence the planets of the solar system based on their distance from the Sun' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Sequence the planets of the solar system based on their distance from the Sun"", ""reason"": ""Knowing Earth's relative position among the planets by distance is required before reasoning about how that distance affects habitability.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Explain why Venus is hotter than Mercury despite being farther from the Sun"", ""reason"": ""This establishes that distance alone does not determine temperature, a nuance needed to correctly explain Earth's habitability in relation to its distance from the Sun.""}]"
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Size and Atmosphere Retention,Explain how Earth's size and gravity help retain its atmosphere,"[""Planets of the Solar System""]","[""Compare temperature, size, and atmosphere of different planets in the solar system""]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Gravitational force"", ""reason"": ""Understanding gravity as a force is necessary to explain how Earth's size-dependent gravitational pull retains its atmosphere.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Explain the cause and direction of gravitational force"", ""reason"": ""Explaining atmosphere retention requires already understanding what gravitational force is and how it acts.""}]",[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Ozone Layer Protection,Describe the role of the ozone layer in blocking harmful UV rays,[],[],"[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Molecules of elements"", ""reason"": ""Understanding ozone as a molecule formed of oxygen atoms is foundational to explaining how the ozone layer functions to block UV rays.""}]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Distinguish molecules of elements from molecules of compounds using examples such as oxygen and ozone"", ""reason"": ""Understanding ozone as a molecule of oxygen atoms, taught here, is required before explaining the ozone layer's protective function.""}]",[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Magnetic Field,Explain how Earth's magnetic field protects life from cosmic rays and solar wind,"[""Cosmic Rays and Solar Wind"", ""Ozone Layer Protection""]","[""Describe the effects of cosmic rays and solar wind on unprotected planetary surfaces""]","[{""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Earth's magnetic field"", ""reason"": ""The basic fact that Earth behaves like a magnet, established in the electricity chapter, is needed before explaining its protective role for life.""}]","[{""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Explain how the earth behaves like a magnet with its own magnetic field"", ""reason"": ""Students need to already know Earth has a magnetic field before explaining how that field shields life from cosmic rays and solar wind.""}]",[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Magnetic Field,Predict the effects of losing Earth's magnetic field or atmosphere on life,"[""Cosmic Rays and Solar Wind"", ""Ozone Layer Protection""]","[""Describe the effects of cosmic rays and solar wind on unprotected planetary surfaces"", ""Describe the role of the ozone layer in blocking harmful UV rays""]","[{""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Earth's magnetic field"", ""reason"": ""The basic fact that Earth behaves like a magnet, established in the electricity chapter, is needed before explaining its protective role for life.""}]",[],[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Cosmic Rays and Solar Wind,Describe the effects of cosmic rays and solar wind on unprotected planetary surfaces,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Life-Sustaining Resources,"Identify air, water, and sunlight as essential resources for sustaining life on Earth",[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Earth's Systems - Hydrosphere,"Describe the interactions between atmosphere, hydrosphere, geosphere, and biosphere","[""Life-Sustaining Resources""]","[""Identify air, water, and sunlight as essential resources for sustaining life on Earth""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Water cycle"", ""reason"": ""Understanding how water circulates through evaporation, condensation and precipitation is needed to describe the hydrosphere as one of Earth's systems.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Oxygen Cycle"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the oxygen cycle using a labelled figure' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Illustrate the oxygen cycle using a labelled figure"", ""reason"": ""The oxygen cycle is a concrete example of atmosphere-biosphere interaction that underlies understanding of the broader systems interaction.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe the stages and circulation of the water cycle"", ""reason"": ""The water cycle is a concrete example of hydrosphere-atmosphere interaction needed to understand how Earth's systems are interconnected.""}]"
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,"Geosphere - Soil, Rocks, and Minerals","Explain the role of soil, rocks, and minerals in sustaining life","[""Earth's Crust as a Life-Supporting Layer""]","[""Describe the layered structure of the Earth and significance of the crust""]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Minerals and native minerals"", ""reason"": ""Understanding what minerals are and how they form from elements/compounds underlies describing the geosphere's role in soil, rocks, and minerals.""}]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Explain the role of elements and compounds in the formation of minerals"", ""reason"": ""Understanding how minerals form from elements and compounds is needed before explaining their role in sustaining life through soil and rocks.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Soil Formation and Composition"", ""reason"": ""Knowing how soil forms and what it is made of is foundational before classifying it as part of the geosphere.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Rocks and Minerals"", ""reason"": ""Basic knowledge of what rocks and minerals are is needed before describing them as components of the geosphere.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Explain how soil is formed and its role in supporting life"", ""reason"": ""Understanding how soil forms and supports life is a direct foundation for explaining its broader role, along with rocks and minerals, in sustaining life on Earth.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Identify uses of rocks and minerals in daily life"", ""reason"": ""Basic familiarity with what rocks and minerals are and how they are used is needed before explaining their role in sustaining life.""}]"
CBSE,Science,Grade 8,Chapter13_Human_Efforts_and_Challenges,Geodiversity,Define geodiversity and give examples,[],[],[],[],[],[]
