board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)","Identify basic 2D shapes such as triangle, square, rectangle and circle","[""Curved lines and straight lines""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Making 2D shapes through paper folding in Grade 3 depends on the prior experience of folding paper to produce new shapes.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between the basic 2D shapes based on their appearance' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Distinguish between the basic 2D shapes based on their appearance"", ""reason"": ""Grade 3 assumes the student can already tell apart triangle, square, rectangle and circle by appearance, as taught in Grade 2.""}]"
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)",Construct 2D shapes by paper folding and paper cutting,"[""Curved lines and straight lines""]","[""Identify basic 2D shapes such as triangle, square, rectangle and circle""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Making 2D shapes through paper folding in Grade 3 depends on the prior experience of folding paper to produce new shapes.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between the basic 2D shapes based on their appearance' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Construct a new shape by folding paper along given lines"", ""reason"": ""Constructing 2D shapes by folding paper in Grade 3 directly extends the Grade 2 skill of folding paper along lines to make a new shape.""}]"
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)",Construct 2D shapes on a dot grid using straight lines,"[""Curved lines and straight lines""]","[""Identify basic 2D shapes such as triangle, square, rectangle and circle"", ""Identify curved lines and straight lines in shapes and pictures""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Making 2D shapes through paper folding in Grade 3 depends on the prior experience of folding paper to produce new shapes.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between the basic 2D shapes based on their appearance' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)",Distinguish between different 2D shapes based on their outline,"[""Curved lines and straight lines""]","[""Identify basic 2D shapes such as triangle, square, rectangle and circle""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Making 2D shapes through paper folding in Grade 3 depends on the prior experience of folding paper to produce new shapes.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between the basic 2D shapes based on their appearance' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)",Draw shapes in different sizes and orientations in a notebook,"[""Curved lines and straight lines""]","[""Identify basic 2D shapes such as triangle, square, rectangle and circle""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Making 2D shapes through paper folding in Grade 3 depends on the prior experience of folding paper to produce new shapes.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between the basic 2D shapes based on their appearance' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,Curved lines and straight lines,Identify curved lines and straight lines in shapes and pictures,"[""Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Differentiating between straight lines and curved lines"", ""reason"": ""Grade 3 relies on the student already being able to tell straight from curved lines before analyzing shapes in terms of these lines.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Recognising shapes with straight and curved lines"", ""reason"": ""Derived from skill prerequisite: 'Identify whether a given 2D shape is made of only straight lines, only curved lines, or a combination of both' (in Grade 2/Chapter5_Playing_with_Lines) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""skill"": ""Distinguish between a straight line and a curved line when shown examples of each"", ""reason"": ""Spotting curved and straight lines in pictures requires the prior ability to tell the two line types apart from examples.""}]"
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,Curved lines and straight lines,Distinguish between curved lines and straight lines in shapes and patterns,"[""Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)""]","[""Identify curved lines and straight lines in shapes and pictures""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Differentiating between straight lines and curved lines"", ""reason"": ""Grade 3 relies on the student already being able to tell straight from curved lines before analyzing shapes in terms of these lines.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Recognising shapes with straight and curved lines"", ""reason"": ""Derived from skill prerequisite: 'Identify whether a given 2D shape is made of only straight lines, only curved lines, or a combination of both' (in Grade 2/Chapter5_Playing_with_Lines) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""skill"": ""Distinguish between a straight line and a curved line when shown examples of each"", ""reason"": ""Distinguishing curved from straight lines in patterns builds directly on the earlier basic skill of differentiating the two line types.""}]"
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,Curved lines and straight lines,Describe shapes in terms of the curved or straight lines that form them,"[""Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)""]","[""Distinguish between curved lines and straight lines in shapes and patterns""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Differentiating between straight lines and curved lines"", ""reason"": ""Grade 3 relies on the student already being able to tell straight from curved lines before analyzing shapes in terms of these lines.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Recognising shapes with straight and curved lines"", ""reason"": ""Derived from skill prerequisite: 'Identify whether a given 2D shape is made of only straight lines, only curved lines, or a combination of both' (in Grade 2/Chapter5_Playing_with_Lines) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""skill"": ""Identify whether a given 2D shape is made of only straight lines, only curved lines, or a combination of both"", ""reason"": ""Describing a shape by its constituent lines requires the prior skill of determining whether a shape is made of straight lines, curved lines, or both.""}]"
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Describing 2D shapes by sides, corners and diagonals",Identify the number of sides of a given 2D shape,"[""Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)""]","[""Identify basic 2D shapes such as triangle, square, rectangle and circle""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Properties of shapes: corners, edges, and sides"", ""reason"": ""Describing a shape by its sides and corners in Grade 3 builds directly on the Grade 2 notion that shapes can be characterized by their corners, edges and sides.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Count the number of corners and edges of 2D shapes"", ""reason"": ""Counting the sides of a 2D shape in Grade 3 extends the Grade 2 practice of counting the edges/corners of 2D shapes.""}]"
CBSE,Maths,Grade 3,Chapter5_Fun_with_Shapes,"Describing 2D shapes by sides, corners and diagonals",Identify the number of corners of a given 2D shape,"[""Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)""]","[""Identify basic 2D shapes such as triangle, square, rectangle and circle""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Properties of shapes: corners, edges, and sides"", ""reason"": ""Describing a shape by its sides and corners in Grade 3 builds directly on the Grade 2 notion that shapes can be characterized by their corners, edges and sides.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Count the number of corners and edges of 2D shapes"", ""reason"": ""Counting corners of a 2D shape in Grade 3 builds directly on the earlier practiced skill of counting corners and edges.""}]"
