board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Earth's rotation,Explain how Earth's rotation on its axis causes day and night,"[""Axis of rotation""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Earth's rotation,Calculate the time period of Earth's rotation,"[""Axis of rotation""]","[""Explain how Earth's rotation on its axis causes day and night""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Earth's rotation,Identify the direction of Earth's rotation as viewed from the North Pole,"[""Axis of rotation""]","[""Explain how Earth's rotation on its axis causes day and night""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Axis of rotation,Describe the imaginary axis passing through the North and South poles about which Earth rotates,[],[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Earth's revolution and orbit,Explain how Earth's revolution around the Sun causes changes in seasons,"[""Earth's rotation"", ""Tilt of the Earth's axis""]","[""Describe the elliptical path of the Earth's orbit around the Sun"", ""Describe the tilt of Earth's axis in relation to its orbital plane""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Earth's revolution and orbit,Recall the time period of Earth's revolution around the Sun,"[""Earth's rotation"", ""Tilt of the Earth's axis""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Earth's revolution and orbit,Describe the elliptical path of the Earth's orbit around the Sun,"[""Earth's rotation"", ""Tilt of the Earth's axis""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Tilt of the Earth's axis,Describe the tilt of Earth's axis in relation to its orbital plane,"[""Axis of rotation""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Tilt of the Earth's axis,Relate the tilt of Earth's axis to the occurrence of seasons,"[""Axis of rotation""]","[""Describe the tilt of Earth's axis in relation to its orbital plane""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Tilt of the Earth's axis,Identify the direction and angle of tilt of the Earth's axis,"[""Axis of rotation""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Equinox and Solstice,Distinguish between equinox and solstice based on day-night duration,"[""Earth's revolution and orbit"", ""Tilt of the Earth's axis""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Equinox and Solstice,Identify the dates and significance of solstices and equinoxes,"[""Earth's revolution and orbit"", ""Tilt of the Earth's axis""]","[""Distinguish between equinox and solstice based on day-night duration""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Moon's rotation and revolution,Explain why the same side of the Moon always faces the Earth,"[""Earth's rotation""]","[""Compare the time periods of the Moon's rotation and revolution""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Moon's rotation and revolution,Compare the time periods of the Moon's rotation and revolution,"[""Earth's rotation""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Moon's rotation and revolution,Recall the time period taken by the Moon to revolve around the Earth,"[""Earth's rotation""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Phases of the Moon,Draw a labelled diagram of the different phases of the Moon,"[""Moon's rotation and revolution""]","[""Explain the cause of the changing phases of the Moon""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Luminous and Non-Luminous Objects"", ""reason"": ""Understanding that the Moon does not produce its own light but only reflects sunlight is necessary to explain why only the illuminated part of the Moon is visible as phases.""}]",[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Phases of the Moon,Explain the cause of the changing phases of the Moon,"[""Moon's rotation and revolution""]","[""Compare the time periods of the Moon's rotation and revolution""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Luminous and Non-Luminous Objects"", ""reason"": ""Understanding that the Moon does not produce its own light but only reflects sunlight is necessary to explain why only the illuminated part of the Moon is visible as phases.""}]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Explain why the Moon is a non-luminous object"", ""reason"": ""Explaining lunar phases requires first knowing that the Moon does not emit its own light but only reflects the Sun's light, which varies in visibility as the Moon orbits.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Solar eclipse,"Explain the formation of a solar eclipse in terms of the relative positions of the Sun, Moon and Earth","[""Moon's rotation and revolution""]","[""Explain why the same side of the Moon always faces the Earth""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""A solar eclipse is essentially the Moon casting a shadow on the Earth, so understanding how shadows form when an opaque object blocks light is needed before understanding the eclipse mechanism.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Explaining why the Moon can block sunlight to create an eclipse relies on knowing that light rays travel in straight lines and can be obstructed.""}]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Explain how shadows are formed when light is blocked by an object"", ""reason"": ""Explaining a solar eclipse requires understanding the general principle that an opaque object blocking a light source casts a shadow, which is exactly what the Moon does to sunlight.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Demonstrate that light travels in a straight line using activities"", ""reason"": ""The alignment reasoning for a solar eclipse depends on the straight-line propagation of light rays from the Sun.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Solar eclipse,"Draw a labelled diagram showing the positions of the Sun, Moon and Earth during a solar eclipse","[""Moon's rotation and revolution""]","[""Explain the formation of a solar eclipse in terms of the relative positions of the Sun, Moon and Earth""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""A solar eclipse is essentially the Moon casting a shadow on the Earth, so understanding how shadows form when an opaque object blocks light is needed before understanding the eclipse mechanism.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Explaining why the Moon can block sunlight to create an eclipse relies on knowing that light rays travel in straight lines and can be obstructed.""}]",[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Solar eclipse,Distinguish between a total and a partial solar eclipse,"[""Moon's rotation and revolution""]","[""Explain the formation of a solar eclipse in terms of the relative positions of the Sun, Moon and Earth""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""A solar eclipse is essentially the Moon casting a shadow on the Earth, so understanding how shadows form when an opaque object blocks light is needed before understanding the eclipse mechanism.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Explaining why the Moon can block sunlight to create an eclipse relies on knowing that light rays travel in straight lines and can be obstructed.""}]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Describe the factors affecting the size and sharpness of a shadow"", ""reason"": ""Distinguishing total from partial eclipses depends on the concept of umbra and penumbra regions of a shadow, which is built from understanding what affects a shadow's size and sharpness.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Lunar eclipse,"Explain the formation of a lunar eclipse in terms of the relative positions of the Sun, Earth and Moon","[""Moon's rotation and revolution""]","[""Explain why the same side of the Moon always faces the Earth""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""A lunar eclipse occurs when the Moon passes into the Earth's shadow, so understanding shadow formation is needed to grasp the mechanism.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Understanding why the Earth's shadow falls on the Moon in a straight-line geometry of Sun-Earth-Moon requires knowing light travels in straight lines.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Luminous and Non-Luminous Objects"", ""reason"": ""Derived from skill prerequisite: 'Explain why the Moon is a non-luminous object' (in Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Explain how shadows are formed when light is blocked by an object"", ""reason"": ""A lunar eclipse is explained by the Earth's shadow falling on the Moon, which requires prior understanding of how shadows form when light is blocked.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Explain why the Moon is a non-luminous object"", ""reason"": ""Understanding that the Moon only reflects sunlight (rather than producing its own light) is needed to explain why it darkens when it enters the Earth's shadow.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Lunar eclipse,"Draw a labelled diagram showing the positions of the Sun, Earth and Moon during a lunar eclipse","[""Moon's rotation and revolution""]","[""Explain the formation of a lunar eclipse in terms of the relative positions of the Sun, Earth and Moon""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""A lunar eclipse occurs when the Moon passes into the Earth's shadow, so understanding shadow formation is needed to grasp the mechanism.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Understanding why the Earth's shadow falls on the Moon in a straight-line geometry of Sun-Earth-Moon requires knowing light travels in straight lines.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Luminous and Non-Luminous Objects"", ""reason"": ""Derived from skill prerequisite: 'Explain why the Moon is a non-luminous object' (in Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Lunar eclipse,Distinguish between a total and a partial lunar eclipse,"[""Moon's rotation and revolution""]","[""Explain the formation of a lunar eclipse in terms of the relative positions of the Sun, Earth and Moon""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""A lunar eclipse occurs when the Moon passes into the Earth's shadow, so understanding shadow formation is needed to grasp the mechanism.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Understanding why the Earth's shadow falls on the Moon in a straight-line geometry of Sun-Earth-Moon requires knowing light travels in straight lines.""}, {""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Luminous and Non-Luminous Objects"", ""reason"": ""Derived from skill prerequisite: 'Explain why the Moon is a non-luminous object' (in Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Describe the factors affecting the size and sharpness of a shadow"", ""reason"": ""Distinguishing total from partial lunar eclipses relies on the umbra/penumbra shadow concept, which depends on understanding factors affecting shadow size and sharpness.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Eclipses,Differentiate between a solar eclipse and a lunar eclipse based on the positions of celestial bodies,"[""Solar eclipse"", ""Lunar eclipse""]","[""Explain the formation of a solar eclipse in terms of the relative positions of the Sun, Moon and Earth"", ""Explain the formation of a lunar eclipse in terms of the relative positions of the Sun, Earth and Moon""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""Both types of eclipses are fundamentally shadow phenomena, so the general concept of shadow formation underlies the broader idea of eclipses.""}]",[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Eclipses,Compare the visibility area of solar and lunar eclipses,"[""Solar eclipse"", ""Lunar eclipse""]","[""Differentiate between a solar eclipse and a lunar eclipse based on the positions of celestial bodies""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Shadow Formation"", ""reason"": ""Both types of eclipses are fundamentally shadow phenomena, so the general concept of shadow formation underlies the broader idea of eclipses.""}]",[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Artificial satellites,Recall examples and uses of artificial satellites launched by humans,"[""Moon's rotation and revolution""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Artificial satellites,Explain how artificial satellites differ from natural satellites,"[""Moon's rotation and revolution""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Space exploration,Discuss the significance of space missions in expanding knowledge of the universe,[],[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Day and night cycle,Demonstrate the day-night cycle using a globe and torch,"[""Earth's rotation""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Apparent motion of the Sun,Explain why the Sun appears to rise in the East and set in the West,"[""Earth's rotation""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Apparent movement of the Sun across the sky"", ""reason"": ""Students must already recognise that the Sun appears to travel across the sky each day before they can be taught the Earth-rotation explanation for this apparent motion.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Describe the apparent journey of the Sun across the sky"", ""reason"": ""A student must first be able to describe the Sun's observed east-to-west daily path before learning the rotation-based explanation for why it appears that way.""}]"
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Apparent motion of stars and the Pole Star,Explain why stars appear to move around the Pole Star,"[""Earth's rotation"", ""Apparent motion of the Sun""]","[""Explain why the Sun appears to rise in the East and set in the West""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""Pole Star and its significance"", ""reason"": ""Understanding that the Pole Star holds a fixed position because it lies near Earth's rotational axis is needed before explaining why other stars appear to circle around it.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Explain why the Pole Star appears stationary in the North direction"", ""reason"": ""Knowing why the Pole Star stays fixed (aligned with Earth's axis) is the specific basis needed to explain why other stars appear to trace circles around it.""}]"
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Foucault pendulum as evidence of Earth's rotation,Describe the significance of the Foucault pendulum in proving Earth's rotation,"[""Earth's rotation""]","[""Explain how Earth's rotation on its axis causes day and night""]","[{""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Oscillatory motion"", ""reason"": ""The Foucault pendulum is a swinging pendulum, so understanding what oscillatory (to-and-fro) motion is is needed before understanding how its swing plane reveals Earth's rotation.""}]","[{""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Identify the to-and-fro motion of a simple pendulum as oscillatory motion"", ""reason"": ""Understanding the Foucault pendulum experiment requires first knowing what a pendulum is and that it exhibits oscillatory to-and-fro motion.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Ancient Indian astronomy (Aryabhata's observations),Describe Aryabhata's contribution to understanding Earth's rotation,"[""Earth's rotation""]","[""Explain how Earth's rotation on its axis causes day and night""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Rotation versus revolution,Distinguish between rotation and revolution,"[""Earth's rotation"", ""Earth's revolution and orbit""]","[""Explain how Earth's rotation on its axis causes day and night"", ""Explain how Earth's revolution around the Sun causes changes in seasons""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Changing view of night sky over the year,Explain why different stars are visible in the night sky in different months,"[""Earth's revolution and orbit""]","[""Explain how Earth's revolution around the Sun causes changes in seasons""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Seasons on the Earth,Compare the length of daytime in summer and winter in different hemispheres,"[""Earth's revolution and orbit"", ""Tilt of the Earth's axis""]","[""Relate the tilt of Earth's axis to the occurrence of seasons""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Effect of seasons near the equator,Explain why seasonal effects are minimal near the equator,"[""Seasons on the Earth"", ""Tilt of the Earth's axis""]","[""Relate the tilt of Earth's axis to the occurrence of seasons""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Seasons on the Earth,Predict the effect on seasons if the Earth's axis were not tilted,"[""Earth's revolution and orbit"", ""Tilt of the Earth's axis""]","[""Relate the tilt of Earth's axis to the occurrence of seasons""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Seasons on the Earth,Interpret diagrams showing Earth's position and tilt during different months,"[""Earth's revolution and orbit"", ""Tilt of the Earth's axis""]","[""Describe the tilt of Earth's axis in relation to its orbital plane""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Seasons on the Earth,Analyse the reasons behind common misconceptions about the cause of seasons,"[""Earth's revolution and orbit"", ""Tilt of the Earth's axis""]","[""Explain how Earth's revolution around the Sun causes changes in seasons"", ""Relate the tilt of Earth's axis to the occurrence of seasons""]",[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Apparent size of celestial objects,Explain why the Moon can block the Sun despite being smaller,"[""Solar eclipse""]","[""Explain the formation of a solar eclipse in terms of the relative positions of the Sun, Moon and Earth""]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Light Travels in a Straight Line"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate that light travels in a straight line using activities' (in Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Demonstrate that light travels in a straight line using activities"", ""reason"": ""Explaining the apparent size effect relies on straight-line light-ray geometry, which shows how a smaller nearby object can block a larger distant one.""}]",[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Safe viewing of a solar eclipse,Describe safe methods to view a solar eclipse,"[""Solar eclipse""]",[],[],[],[],[]
CBSE,Science,Grade 7,"Chapter12_Earth,_Moon,_and_the_Sun",Historical and cultural beliefs about eclipses,Describe historical and cultural beliefs associated with eclipses,[],[],[],[],[],[]
