board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Patterns Using Blocks and Geometrical Shapes,Identify the repeating unit in a pattern made of blocks or geometrical shapes,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Students must already recognise repeating units in shape/object patterns before working with block and geometric-shape patterns in the target chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Recognising how blocks form triangular/square growing arrangements is the direct precursor to identifying and extending block patterns in this chapter.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""skill"": ""Identify the repeating unit in a shape or object pattern"", ""reason"": ""This is the same core skill of spotting a repeating unit, practised earlier with simpler shape/object patterns before blocks are introduced.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Patterns Using Blocks and Geometrical Shapes,Describe the rule governing a given block or shape pattern,[],"[{""item"": ""Identify the repeating unit in a pattern made of blocks or geometrical shapes"", ""reason"": ""Stating the rule of a pattern requires first recognizing which unit repeats within it.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Students must already recognise repeating units in shape/object patterns before working with block and geometric-shape patterns in the target chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Recognising how blocks form triangular/square growing arrangements is the direct precursor to identifying and extending block patterns in this chapter.""}]",[]
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Patterns Using Blocks and Geometrical Shapes,Extend a given block or geometrical shape pattern to the next few terms,[],"[{""item"": ""Describe the rule governing a given block or shape pattern"", ""reason"": ""Extending the pattern to further terms requires knowing the rule that governs how the pattern progresses.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Students must already recognise repeating units in shape/object patterns before working with block and geometric-shape patterns in the target chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Recognising how blocks form triangular/square growing arrangements is the direct precursor to identifying and extending block patterns in this chapter.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""skill"": ""Extend a given pattern by drawing the next elements"", ""reason"": ""Extending a pattern by continuing its repeating elements was first practised with simple shape patterns and is directly reused for block patterns.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Patterns Using Blocks and Geometrical Shapes,Construct a new pattern using blocks or geometrical shapes following a given rule,[],"[{""item"": ""Describe the rule governing a given block or shape pattern"", ""reason"": ""Building a new pattern that follows a rule requires the ability to articulate what that rule is.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Students must already recognise repeating units in shape/object patterns before working with block and geometric-shape patterns in the target chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Recognising how blocks form triangular/square growing arrangements is the direct precursor to identifying and extending block patterns in this chapter.""}]",[]
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Number and Letter Patterns,Identify the rule connecting successive terms in a number or letter pattern,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Number patterns"", ""reason"": ""A basic sense of what a number pattern is and how it repeats must be established before analysing more complex number and letter patterns.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule governing an increasing number pattern"", ""reason"": ""Determining how consecutive terms are related in an increasing sequence is the direct earlier-grade basis for finding rules in number/letter patterns.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Number and Letter Patterns,Extend a given number or letter pattern by applying its rule,[],"[{""item"": ""Identify the rule connecting successive terms in a number or letter pattern"", ""reason"": ""Applying the rule to extend the pattern requires first identifying what that rule is.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Number patterns"", ""reason"": ""A basic sense of what a number pattern is and how it repeats must be established before analysing more complex number and letter patterns.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Extend an increasing number pattern by predicting the next terms"", ""reason"": ""Predicting subsequent terms of an increasing sequence is the same predictive skill needed to extend number/letter patterns here.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""skill"": ""Extend a number pattern by writing the next numbers"", ""reason"": ""Writing the next numbers in a simple pattern is the foundational version of extending number patterns by their rule.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Number and Letter Patterns,Determine the missing term in a number or letter pattern,[],"[{""item"": ""Identify the rule connecting successive terms in a number or letter pattern"", ""reason"": ""Finding a missing term requires knowing the rule that connects the surrounding terms.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Number patterns"", ""reason"": ""A basic sense of what a number pattern is and how it repeats must be established before analysing more complex number and letter patterns.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""skill"": ""Fill in missing numbers in a number pattern"", ""reason"": ""Filling gaps in a simple number pattern is the earlier-grade version of finding missing terms in the more varied patterns of this chapter.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Number and Letter Patterns,Construct a new number or letter pattern based on a chosen rule,[],"[{""item"": ""Identify the rule connecting successive terms in a number or letter pattern"", ""reason"": ""Creating a new pattern from a chosen rule requires understanding how rules connect successive terms.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Number patterns"", ""reason"": ""A basic sense of what a number pattern is and how it repeats must be established before analysing more complex number and letter patterns.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule governing an increasing number pattern' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""skill"": ""Create a simple number pattern"", ""reason"": ""Creating a basic number pattern from a chosen rule is the direct precursor to constructing more advanced number/letter patterns here.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Magic Squares and Magic Triangles,Identify the constant sum required in a magic square or magic triangle,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Magic squares using numbers 1 to 9"", ""reason"": ""Constructing and completing 3x3 magic squares with numbers 1-9 is the direct earlier-grade version of the magic square/triangle work in this chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Equal sums on both sides of an arrangement"", ""reason"": ""Understanding that different arrangements of numbers can be made to add to the same total underlies the equal-sum condition required in magic squares/triangles.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Patterns in rows and columns (grid/matrix puzzles)"", ""reason"": ""Derived from skill prerequisite: 'Arrange given numbers in a grid so that each row and column has the same total' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Complete magic square puzzles by arranging numbers 1 to 9 so that rows, columns, and diagonals have equal sums"", ""reason"": ""Working with the equal-sum condition in a 3x3 magic square is the direct groundwork for identifying the target sum in this chapter's magic squares/triangles.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Magic Squares and Magic Triangles,Calculate the missing numbers in a magic square to achieve equal sums,[],"[{""item"": ""Identify the constant sum required in a magic square or magic triangle"", ""reason"": ""Calculating missing numbers requires knowing the target constant sum each row/column/diagonal must reach.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Magic squares using numbers 1 to 9"", ""reason"": ""Constructing and completing 3x3 magic squares with numbers 1-9 is the direct earlier-grade version of the magic square/triangle work in this chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Equal sums on both sides of an arrangement"", ""reason"": ""Understanding that different arrangements of numbers can be made to add to the same total underlies the equal-sum condition required in magic squares/triangles.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Patterns in rows and columns (grid/matrix puzzles)"", ""reason"": ""Derived from skill prerequisite: 'Arrange given numbers in a grid so that each row and column has the same total' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Complete magic square puzzles by arranging numbers 1 to 9 so that rows, columns, and diagonals have equal sums"", ""reason"": ""This chapter's task of filling missing numbers to equalise sums directly extends the magic-square completion skill already practised with numbers 1-9.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Arrange given numbers in a grid so that each row and column has the same total"", ""reason"": ""Arranging numbers in a grid to equalise row and column totals is the earlier-grade precursor to calculating missing numbers in a magic square.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Magic Squares and Magic Triangles,Verify whether a completed magic square or magic triangle satisfies the equal-sum condition,[],"[{""item"": ""Identify the constant sum required in a magic square or magic triangle"", ""reason"": ""Verifying the equal-sum condition requires knowing what constant sum is expected.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Magic squares using numbers 1 to 9"", ""reason"": ""Constructing and completing 3x3 magic squares with numbers 1-9 is the direct earlier-grade version of the magic square/triangle work in this chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Equal sums on both sides of an arrangement"", ""reason"": ""Understanding that different arrangements of numbers can be made to add to the same total underlies the equal-sum condition required in magic squares/triangles.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Patterns in rows and columns (grid/matrix puzzles)"", ""reason"": ""Derived from skill prerequisite: 'Arrange given numbers in a grid so that each row and column has the same total' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Verify that the rows, columns, and diagonals of a completed magic square have equal sums"", ""reason"": ""This is the identical verification procedure already practised on 3x3 magic squares before being applied to magic squares and triangles here.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Magic Squares and Magic Triangles,Construct a magic square or magic triangle using a given set of numbers,[],"[{""item"": ""Calculate the missing numbers in a magic square to achieve equal sums"", ""reason"": ""Constructing a full magic square requires the ability to compute values that satisfy the equal-sum requirement.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Magic squares using numbers 1 to 9"", ""reason"": ""Constructing and completing 3x3 magic squares with numbers 1-9 is the direct earlier-grade version of the magic square/triangle work in this chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Equal sums on both sides of an arrangement"", ""reason"": ""Understanding that different arrangements of numbers can be made to add to the same total underlies the equal-sum condition required in magic squares/triangles.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Patterns in rows and columns (grid/matrix puzzles)"", ""reason"": ""Derived from skill prerequisite: 'Arrange given numbers in a grid so that each row and column has the same total' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Complete magic square puzzles by arranging numbers 1 to 9 so that rows, columns, and diagonals have equal sums"", ""reason"": ""Arranging a given set of numbers to satisfy the equal-sum condition was already practised with numbers 1-9 and underlies constructing magic squares/triangles here.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Various Number Patterns,Identify the pattern present in a sequence of numbers such as multiples,"[{""item"": ""Number and Letter Patterns"", ""reason"": ""Identifying the rule behind multiples or other number sequences requires the prior skill of finding rules connecting successive terms in a general number pattern.""}]",[],"[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiples of numbers"", ""reason"": ""Recognising and extending numeric patterns based on multiples (e.g. multiples of 9) requires already understanding what a multiple of a number is.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""skill"": ""Identify multiples of a given number"", ""reason"": ""Spotting the pattern in a sequence of multiples depends on first being able to identify the multiples of a given number.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Recognising and extending simple increasing number sequences is a foundation for analysing the wider variety of number patterns covered in this chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Derived from skill prerequisite: 'Apply skip counting in twos, threes, fives, sevens, and tens on a number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply skip counting in twos, threes, fives, sevens, and tens on a number chart"", ""reason"": ""Recognising multiples as a skip-counted sequence relies on the skip-counting technique already practised on a number chart.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Various Number Patterns,Extend a given number pattern up to multiples of 9,"[{""item"": ""Number and Letter Patterns"", ""reason"": ""Identifying the rule behind multiples or other number sequences requires the prior skill of finding rules connecting successive terms in a general number pattern.""}]","[{""item"": ""Identify the pattern present in a sequence of numbers such as multiples"", ""reason"": ""Extending the multiples pattern requires first recognizing the underlying pattern in the sequence.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiples of numbers"", ""reason"": ""Recognising and extending numeric patterns based on multiples (e.g. multiples of 9) requires already understanding what a multiple of a number is.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""skill"": ""Identify multiples of a given number"", ""reason"": ""Extending a sequence of multiples of 9 requires already knowing how to generate multiples of a given number.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Recognising and extending simple increasing number sequences is a foundation for analysing the wider variety of number patterns covered in this chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Derived from skill prerequisite: 'Apply skip counting in twos, threes, fives, sevens, and tens on a number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Various Number Patterns,Compare two number patterns to distinguish their underlying rules,"[{""item"": ""Number and Letter Patterns"", ""reason"": ""Identifying the rule behind multiples or other number sequences requires the prior skill of finding rules connecting successive terms in a general number pattern.""}]","[{""item"": ""Identify the pattern present in a sequence of numbers such as multiples"", ""reason"": ""Comparing two patterns requires being able to identify the rule underlying each individual pattern first.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiples of numbers"", ""reason"": ""Recognising and extending numeric patterns based on multiples (e.g. multiples of 9) requires already understanding what a multiple of a number is.""}]",[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Recognising and extending simple increasing number sequences is a foundation for analysing the wider variety of number patterns covered in this chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Derived from skill prerequisite: 'Apply skip counting in twos, threes, fives, sevens, and tens on a number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Various Number Patterns,Apply the identified pattern rule to predict a distant term in the sequence,"[{""item"": ""Number and Letter Patterns"", ""reason"": ""Identifying the rule behind multiples or other number sequences requires the prior skill of finding rules connecting successive terms in a general number pattern.""}]","[{""item"": ""Identify the pattern present in a sequence of numbers such as multiples"", ""reason"": ""Predicting a distant term requires first having identified the rule governing the sequence.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiples of numbers"", ""reason"": ""Recognising and extending numeric patterns based on multiples (e.g. multiples of 9) requires already understanding what a multiple of a number is.""}]",[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Number patterns (increasing sequences)"", ""reason"": ""Recognising and extending simple increasing number sequences is a foundation for analysing the wider variety of number patterns covered in this chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Derived from skill prerequisite: 'Apply skip counting in twos, threes, fives, sevens, and tens on a number chart' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Determine whether a given number will appear in a skip-counting sequence from a stated starting point"", ""reason"": ""Judging whether a far-off number belongs to a skip-counted sequence is the same reasoning needed to predict distant terms using a pattern rule.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Tiling Patterns,Identify the shape used as a repeating unit in a tiling pattern,"[{""item"": ""Patterns Using Blocks and Geometrical Shapes"", ""reason"": ""Recognizing a repeating geometric shape as a tiling unit builds on the earlier skill of identifying repeating shapes in block/shape patterns.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Tiling and Tessellation with No Gaps or Overlaps"", ""reason"": ""The idea that shapes can be fitted together without gaps or overlaps is directly built upon when constructing and verifying tiling patterns in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Tiling a region using a given shape without gaps"", ""reason"": ""Prior experience filling a region with a repeating shape without gaps is a direct precursor to constructing tiling patterns here.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Identify shapes that can tile a region without leaving gaps"", ""reason"": ""Recognising which shapes can serve as tiling units without gaps is a direct precursor to identifying the repeating unit in a tiling pattern.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Tiling Patterns,Extend an incomplete tiling pattern by filling in the missing tiles,"[{""item"": ""Patterns Using Blocks and Geometrical Shapes"", ""reason"": ""Recognizing a repeating geometric shape as a tiling unit builds on the earlier skill of identifying repeating shapes in block/shape patterns.""}]","[{""item"": ""Identify the shape used as a repeating unit in a tiling pattern"", ""reason"": ""Filling in missing tiles requires knowing what shape unit repeats throughout the tiling.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Tiling and Tessellation with No Gaps or Overlaps"", ""reason"": ""The idea that shapes can be fitted together without gaps or overlaps is directly built upon when constructing and verifying tiling patterns in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Tiling a region using a given shape without gaps"", ""reason"": ""Prior experience filling a region with a repeating shape without gaps is a direct precursor to constructing tiling patterns here.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Fill a given shape using rangometry tiles with no gaps and no overlaps"", ""reason"": ""Filling a region with tiles leaving no gaps or overlaps is the same procedure needed to complete an incomplete tiling pattern here.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Tiling Patterns,Verify whether a completed tiling arrangement tessellates without gaps or overlaps,"[{""item"": ""Patterns Using Blocks and Geometrical Shapes"", ""reason"": ""Recognizing a repeating geometric shape as a tiling unit builds on the earlier skill of identifying repeating shapes in block/shape patterns.""}]","[{""item"": ""Identify the shape used as a repeating unit in a tiling pattern"", ""reason"": ""Checking for tessellation without gaps requires knowing what the repeating shape unit should look like.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Tiling and Tessellation with No Gaps or Overlaps"", ""reason"": ""The idea that shapes can be fitted together without gaps or overlaps is directly built upon when constructing and verifying tiling patterns in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Tiling a region using a given shape without gaps"", ""reason"": ""Prior experience filling a region with a repeating shape without gaps is a direct precursor to constructing tiling patterns here.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Explain why certain shapes tile a surface while others do not"", ""reason"": ""Understanding why some shapes tessellate without gaps is required to judge whether a completed tiling arrangement is correctly tessellated.""}]"
CBSE,Maths,Grade 4,Chapter03_Pattern_Around_Us,Tiling Patterns,Construct a tiling pattern using a given shape as the repeating unit,"[{""item"": ""Patterns Using Blocks and Geometrical Shapes"", ""reason"": ""Recognizing a repeating geometric shape as a tiling unit builds on the earlier skill of identifying repeating shapes in block/shape patterns.""}]","[{""item"": ""Identify the shape used as a repeating unit in a tiling pattern"", ""reason"": ""Constructing a tiling pattern requires first recognizing how a repeating shape unit forms a tiling.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Tiling and Tessellation with No Gaps or Overlaps"", ""reason"": ""The idea that shapes can be fitted together without gaps or overlaps is directly built upon when constructing and verifying tiling patterns in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Tiling a region using a given shape without gaps"", ""reason"": ""Prior experience filling a region with a repeating shape without gaps is a direct precursor to constructing tiling patterns here.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""skill"": ""Create custom tiles by joining shapes and use them to make tessellating paths"", ""reason"": ""Building tessellating arrangements from a chosen tile shape was already practised and is directly reused to construct tiling patterns in this chapter.""}]"
