board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field and field lines,Draw magnetic field lines for a bar magnet,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field and field lines,Identify the magnetic field strength at different points around a bar magnet using field line density,[],"[""Draw magnetic field lines for a bar magnet""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Properties of magnetic field lines,List the properties of magnetic field lines,"[""Magnetic field and field lines""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Properties of magnetic field lines,Explain why two magnetic field lines never intersect,"[""Magnetic field and field lines""]","[""List the properties of magnetic field lines""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Properties of magnetic field lines,Explain why a compass needle gets deflected near a bar magnet or current-carrying conductor,"[""Magnetic field and field lines""]","[""List the properties of magnetic field lines""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current through a straight conductor,Represent magnetic field lines for a straight current-carrying conductor,"[""Magnetic field and field lines"", ""Properties of magnetic field lines"", ""Right-hand thumb rule""]","[""Apply the right-hand thumb rule to determine the direction of magnetic field around a straight conductor""]","[{""chapter"": ""Chapter11_Electricity"", ""concept"": ""Electric Current and Charge"", ""reason"": ""Understanding that a magnetic field is produced by moving charge requires already knowing what electric current (flow of charge) is.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Magnetic field around a current carrying conductor"", ""reason"": ""Students must already know that a current-carrying wire produces a magnetic field before they can study how that field's strength depends on current and distance from a straight conductor.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Magnetic Effect of Electric Current"", ""reason"": ""Derived from skill prerequisite: 'Explain how a current-carrying conductor produces a magnetic effect' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Explain how a current-carrying conductor produces a magnetic effect"", ""reason"": ""Before drawing field lines around a straight conductor, a student must already understand that passing a current through a conductor creates a surrounding magnetic field.""}]"
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current through a straight conductor,Explain how the magnetic field due to a current-carrying straight conductor depends on current and distance,"[""Magnetic field and field lines"", ""Properties of magnetic field lines"", ""Right-hand thumb rule""]","[""Apply the right-hand thumb rule to determine the direction of magnetic field around a straight conductor""]","[{""chapter"": ""Chapter11_Electricity"", ""concept"": ""Electric Current and Charge"", ""reason"": ""Understanding that a magnetic field is produced by moving charge requires already knowing what electric current (flow of charge) is.""}]","[{""chapter"": ""Chapter11_Electricity"", ""skill"": ""Define electric current and explain its direction of flow"", ""reason"": ""Explaining how field strength varies with current requires first knowing what electric current is and how it flows.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Magnetic field around a current carrying conductor"", ""reason"": ""Students must already know that a current-carrying wire produces a magnetic field before they can study how that field's strength depends on current and distance from a straight conductor.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Magnetic Effect of Electric Current"", ""reason"": ""Derived from skill prerequisite: 'Explain how a current-carrying conductor produces a magnetic effect' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Right-hand thumb rule,Apply the right-hand thumb rule to determine the direction of magnetic field around a straight conductor,"[""Magnetic field due to a current through a straight conductor"", ""Magnetic field and field lines""]","[""Draw magnetic field lines for a bar magnet""]","[{""chapter"": ""Chapter11_Electricity"", ""concept"": ""Direction of Conventional Current and Electron Flow"", ""reason"": ""The thumb rule is stated in terms of the direction of conventional current, which must be understood before the rule can be applied.""}]","[{""chapter"": ""Chapter11_Electricity"", ""skill"": ""Distinguish between the direction of conventional current and the direction of electron flow in a conductor"", ""reason"": ""Applying the thumb rule requires knowing which direction is defined as conventional current flow in the conductor.""}]",[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current through a circular loop,Draw magnetic field lines for a current-carrying circular loop,"[""Magnetic field and field lines"", ""Magnetic field due to a current through a straight conductor""]","[""Represent magnetic field lines for a straight current-carrying conductor""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Factors affecting strength of an electromagnet"", ""reason"": ""Derived from skill prerequisite: 'Explain how the strength of an electromagnet depends on current and number of turns' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current through a circular loop,Identify the magnetic field strength at different points around a current-carrying circular loop,"[""Magnetic field and field lines"", ""Magnetic field due to a current through a straight conductor""]","[""Draw magnetic field lines for a current-carrying circular loop""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Factors affecting strength of an electromagnet"", ""reason"": ""Derived from skill prerequisite: 'Explain how the strength of an electromagnet depends on current and number of turns' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current through a circular loop,Explain how magnetic field strength varies with the number of turns in a circular coil,"[""Magnetic field and field lines"", ""Magnetic field due to a current through a straight conductor""]","[""Identify the magnetic field strength at different points around a current-carrying circular loop""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Factors affecting strength of an electromagnet"", ""reason"": ""Derived from skill prerequisite: 'Explain how the strength of an electromagnet depends on current and number of turns' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Explain how the strength of an electromagnet depends on current and number of turns"", ""reason"": ""The specific relationship that increasing the number of turns increases magnetic field strength was already established for electromagnets and is directly reused for the circular coil case.""}]"
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current in a solenoid,Outline magnetic field lines for a current-carrying solenoid,"[""Magnetic field due to a current through a circular loop""]","[""Draw magnetic field lines for a current-carrying circular loop""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Magnetic field due to a current in a solenoid,Compare the magnetic field pattern of a solenoid with that of a bar magnet,"[""Magnetic field due to a current through a circular loop""]","[""Outline magnetic field lines for a current-carrying solenoid""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Electromagnet,Explain the construction and working of an electromagnet,"[""Magnetic field due to a current in a solenoid""]","[""Outline magnetic field lines for a current-carrying solenoid""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Electromagnet"", ""reason"": ""The basic idea that a current-carrying coil wrapped around an iron core behaves as a temporary magnet was introduced here and is assumed background for the deeper treatment of electromagnet construction in the target chapter.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Explain the working of an electromagnet"", ""reason"": ""The basic explanation of how a current-carrying coil around an iron core produces magnetism was already taught and underlies the more detailed construction/working explanation required in the target chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Construct a simple electromagnet using available materials"", ""reason"": ""Having physically built a simple electromagnet gives the hands-on understanding of its parts (coil, core, current source) needed to explain its construction in greater detail.""}]"
CBSE,Science,Grade 10,Chapter12_Magnetic_Effects_Of_Electric_Current,Force on a current-carrying conductor in a magnetic field,Explain the factors affecting the force on a current-carrying conductor in a magnetic field,"[""Magnetic field and field lines"", ""Properties of magnetic field lines"", ""Magnetic field due to a current through a straight conductor"", ""Right-hand thumb rule""]","[""Apply the right-hand thumb rule to determine the direction of magnetic field around a straight conductor"", ""Explain why a compass needle gets deflected near a bar magnet or current-carrying conductor""]",[],[],[],[]
