board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,Historical development of geometry across ancient civilisations,Describe the historical contributions of ancient civilisations to the development of geometry,[],[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,Historical development of geometry across ancient civilisations,Explain how geometry originated from practical needs such as land measurement,[],[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,Euclid's Elements and its structure,"Describe the structure and organization of Euclid's Elements into definitions, axioms and postulates","[""Historical development of geometry across ancient civilisations""]",[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,Euclid's Elements and its structure,Explain the significance of Euclid's Elements to the axiomatic approach in geometry,"[""Historical development of geometry across ancient civilisations""]","[""Describe the historical contributions of ancient civilisations to the development of geometry""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,"Euclid's definitions of point, line, surface, and plane","Define geometric terms such as parallel lines, perpendicular lines, line segment, radius, and square","[""Undefined geometric terms (point, line, plane)""]","[""Identify terms that are left undefined in Euclidean geometry and explain why"", ""Explain the difference between a terminated line and a line in Euclid's terminology""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Basic Geometrical Shapes - Point"", ""reason"": ""Students must already have an informal notion of what a point is before they can appreciate how Euclid attempts to define it formally.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""A Line"", ""reason"": ""The informal understanding of a line built in earlier grades is needed before examining Euclid's formal definition of a line.""}]",[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,"Undefined geometric terms (point, line, plane)",Identify terms that are left undefined in Euclidean geometry and explain why,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Basic Geometrical Shapes - Point"", ""reason"": ""Recognising point as an already-familiar basic shape is needed to understand why it is later classified as an undefined term.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""A Line"", ""reason"": ""The prior informal treatment of 'line' is the basis for understanding why it cannot be given a rigorous non-circular definition.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Ray"", ""reason"": ""Derived from skill prerequisite: 'Compare the given figures and identify a ray, line, line segment among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,"Undefined geometric terms (point, line, plane)",Explain the difference between a terminated line and a line in Euclid's terminology,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Basic Geometrical Shapes - Point"", ""reason"": ""Recognising point as an already-familiar basic shape is needed to understand why it is later classified as an undefined term.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""A Line"", ""reason"": ""The prior informal treatment of 'line' is the basis for understanding why it cannot be given a rigorous non-circular definition.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Ray"", ""reason"": ""Derived from skill prerequisite: 'Compare the given figures and identify a ray, line, line segment among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Compare the given figures and identify a ray, line, line segment among them"", ""reason"": ""Distinguishing a bounded line segment from an unbounded line was already practiced here and underlies the Euclid-era distinction between a 'terminated line' and a 'line'.""}]"
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,"Dimensions of geometric figures (solids, surfaces, lines, points)","Classify geometric figures such as solids, surfaces, lines and points based on their dimensions","[""Undefined geometric terms (point, line, plane)""]","[""Explain the difference between a terminated line and a line in Euclid's terminology""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter13_Visualising_Solid_Shapes"", ""concept"": ""Two-dimensional figures"", ""reason"": ""Understanding that figures can be classified by dimension (2D) is a base for grasping the point-line-surface-solid dimensional hierarchy.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter13_Visualising_Solid_Shapes"", ""concept"": ""Three-dimensional shapes"", ""reason"": ""Recognising solids as three-dimensional objects is needed before ranking solids, surfaces, lines and points by dimension.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter13_Visualising_Solid_Shapes"", ""skill"": ""Distinguish three-dimensional shapes from two-dimensional figures based on their faces"", ""reason"": ""The ability to tell 3D solids apart from 2D figures is the direct basis for classifying figures further into surfaces, lines and points by dimension.""}]"
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,"Dimensions of geometric figures (solids, surfaces, lines, points)","Explain the relationship between boundaries of a solid, surfaces, lines and points","[""Undefined geometric terms (point, line, plane)""]","[""Classify geometric figures such as solids, surfaces, lines and points based on their dimensions""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter13_Visualising_Solid_Shapes"", ""concept"": ""Two-dimensional figures"", ""reason"": ""Understanding that figures can be classified by dimension (2D) is a base for grasping the point-line-surface-solid dimensional hierarchy.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter13_Visualising_Solid_Shapes"", ""concept"": ""Three-dimensional shapes"", ""reason"": ""Recognising solids as three-dimensional objects is needed before ranking solids, surfaces, lines and points by dimension.""}]",[]
CBSE,Maths,Grade 9,Chapter5_Introduction_To_Euclids_Geometry,Euclid's axioms (common notions),State Euclid's seven axioms and explain what each means,[],[],[],[],[],[]
