board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Handpicking,Demonstrate handpicking to separate visible impurities from a mixture,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Threshing,Describe the process of threshing used to separate grain from stalks,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Winnowing,Demonstrate the winnowing method to separate lighter husk particles from heavier grains,"[{""item"": ""Threshing"", ""reason"": ""Derived from skill prerequisite: 'Describe the process of threshing used to separate grain from stalks' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Describe the process of threshing used to separate grain from stalks"", ""reason"": ""Winnowing is used after grains have already been separated from stalks, so the learner must understand that earlier step first.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Sieving,Demonstrate the sieving method to separate components of a mixture based on particle size,"[{""item"": ""Handpicking"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate handpicking to separate visible impurities from a mixture' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Demonstrate handpicking to separate visible impurities from a mixture"", ""reason"": ""A student should first distinguish simple physical separation of visible impurities before moving to a method that depends on particle-size differences.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Evaporation,Demonstrate evaporation to recover a dissolved solid from a solution,[],[],"[{""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Evaporation"", ""reason"": ""Using evaporation as a separation technique requires already understanding evaporation as the change of liquid into vapour, taught in the states-of-water chapter.""}, {""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""Derived from skill prerequisite: 'Predict and test whether a material is soluble or insoluble in water' (in Chapter06_Materials_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Explain the process of evaporation with examples from daily life"", ""reason"": ""Recovering a dissolved solid by evaporation requires already knowing how and why the process of evaporation occurs.""}, {""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Predict and test whether a material is soluble or insoluble in water"", ""reason"": ""Recognising that a solid is 'dissolved' in a solution depends on the prior ability to test and identify solubility.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Evaporation of Water"", ""reason"": ""Students must already understand evaporation as the process by which liquid water turns to vapour before they can apply it as a technique to recover a dissolved solid from a solution.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""skill"": ""Describe the process of salt making using evaporation"", ""reason"": ""Salt-making by evaporation is the same underlying technique of recovering a dissolved solid by evaporating the liquid, giving students a concrete prior example to build on.""}]"
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Sedimentation,Describe sedimentation as the settling of insoluble solids in a liquid,[],[],"[{""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""Sedimentation is defined as the settling of insoluble solids, so the learner must already know what makes a substance insoluble in water.""}]","[{""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Predict and test whether a material is soluble or insoluble in water"", ""reason"": ""Describing sedimentation requires knowing what makes a solid insoluble, which is tested in the materials chapter.""}]",[],[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Decantation,Describe decantation as the careful pouring off of a liquid after sedimentation,"[{""item"": ""Sedimentation"", ""reason"": ""Decantation only works after the heavier insoluble particles have settled, so the liquid can be poured off without disturbing the solids.""}]","[{""item"": ""Describe sedimentation as the settling of insoluble solids in a liquid"", ""reason"": ""Decantation can only be described correctly if the learner already knows that the solid must settle before the liquid is poured off.""}]",[],[],[],[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Filtration,Demonstrate filtration to separate an insoluble solid from a liquid,"[{""item"": ""Sedimentation"", ""reason"": ""Understanding that some solids are insoluble in liquids helps explain why filtration is needed to separate them from the liquid.""}, {""item"": ""Decantation"", ""reason"": ""Derived from skill prerequisite: 'Describe decantation as the careful pouring off of a liquid after sedimentation' is a prerequisite of a skill under this concept.""}]",[],"[{""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""Filtration is used to separate an insoluble solid from a liquid, so grasping the concept of insolubility is needed to understand why filtration works.""}]","[{""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Predict and test whether a material is soluble or insoluble in water"", ""reason"": ""Filtration is used specifically on insoluble solids, so the student needs the prior ability to identify insoluble materials.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Journey_of_a_River"", ""concept"": ""Water filtration"", ""reason"": ""Derived from skill prerequisite: 'Design a simple water filter using everyday materials' (in Grade 5/Chapter02_Journey_of_a_River) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Solubility of Substances in Water"", ""reason"": ""Derived from skill prerequisite: 'Classify objects and substances as soluble or insoluble in water through a simple activity' (in Grade 5/Chapter01_Water—The_Essence_of_Life) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""skill"": ""Classify objects and substances as soluble or insoluble in water through a simple activity"", ""reason"": ""Recognising which substances are insoluble is necessary to know filtration is the appropriate method, since dissolved (soluble) substances cannot be removed by filtration.""}]"
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Filtration,Demonstrate a filtration setup using filter paper and a funnel,"[{""item"": ""Sedimentation"", ""reason"": ""Understanding that some solids are insoluble in liquids helps explain why filtration is needed to separate them from the liquid.""}, {""item"": ""Decantation"", ""reason"": ""Derived from skill prerequisite: 'Describe decantation as the careful pouring off of a liquid after sedimentation' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Demonstrate filtration to separate an insoluble solid from a liquid"", ""reason"": ""Setting up filtration makes sense only after understanding the purpose of filtration, which is to retain the solid while the liquid passes through.""}]","[{""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""Filtration is used to separate an insoluble solid from a liquid, so grasping the concept of insolubility is needed to understand why filtration works.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Journey_of_a_River"", ""concept"": ""Water filtration"", ""reason"": ""Derived from skill prerequisite: 'Design a simple water filter using everyday materials' (in Grade 5/Chapter02_Journey_of_a_River) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Solubility of Substances in Water"", ""reason"": ""Derived from skill prerequisite: 'Classify objects and substances as soluble or insoluble in water through a simple activity' (in Grade 5/Chapter01_Water—The_Essence_of_Life) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter09_Methods_Of_Separation_In_Everyday_Life,Filtration,Design a simple water filter using low-cost materials,"[{""item"": ""Sedimentation"", ""reason"": ""Understanding that some solids are insoluble in liquids helps explain why filtration is needed to separate them from the liquid.""}, {""item"": ""Decantation"", ""reason"": ""Derived from skill prerequisite: 'Describe decantation as the careful pouring off of a liquid after sedimentation' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Demonstrate a filtration setup using filter paper and a funnel"", ""reason"": ""Designing a water filter requires understanding the basic arrangement and function of a filtration setup before adapting it with other materials.""}]","[{""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Solubility and insolubility of materials in water"", ""reason"": ""Filtration is used to separate an insoluble solid from a liquid, so grasping the concept of insolubility is needed to understand why filtration works.""}]",[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Journey_of_a_River"", ""concept"": ""Water filtration"", ""reason"": ""Derived from skill prerequisite: 'Design a simple water filter using everyday materials' (in Grade 5/Chapter02_Journey_of_a_River) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Solubility of Substances in Water"", ""reason"": ""Derived from skill prerequisite: 'Classify objects and substances as soluble or insoluble in water through a simple activity' (in Grade 5/Chapter01_Water—The_Essence_of_Life) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Journey_of_a_River"", ""skill"": ""Design a simple water filter using everyday materials"", ""reason"": ""This is the same skill of constructing a makeshift filter from accessible materials that was already practised in Grade 5, forming the direct basis for the Grade 6 activity.""}]"
