board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Herd and Group Behaviour in Animals,Define a herd and give examples of animals that live in herds,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Herd and Group Behaviour in Animals,Describe the important characteristic behaviour of animals such as elephants living in a herd,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Animal-Human Interface,Give examples of animals that are used by humans for riding or carrying loads,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Animal-Human Interface,Explain the feelings of caged animals and describe why they should be treated with sensitivity,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Animal-Human Interface,Demonstrate care for animals by participating in activities such as feeding birds or animals,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Care and Sensitivity Towards Animals,Justify why developing love and sensitivity towards animals is important,"[{""item"": ""Animal-Human Interface"", ""reason"": ""Understanding how humans use and cage animals is what motivates the need to develop sensitivity toward them.""}]","[{""item"": ""Explain the feelings of caged animals and describe why they should be treated with sensitivity"", ""reason"": ""Justifying the importance of sensitivity relies on first understanding how caged animals feel.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Care and Sensitivity Towards Animals,Suggest ways to protect and take care of animals encountered during a nature trail,"[{""item"": ""Animal-Human Interface"", ""reason"": ""Understanding how humans use and cage animals is what motivates the need to develop sensitivity toward them.""}]","[{""item"": ""Justify why developing love and sensitivity towards animals is important"", ""reason"": ""Suggesting protective actions requires first having established why sensitivity toward animals matters.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Nature trail and exploration of forest ecosystems,Plan and prepare for a nature walk by identifying local plants and animals,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Nature trail and exploration of forest ecosystems,Describe what one expects to observe and experience during a nature trail through a forest,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Safety rules to follow in a zoo or forest,Explain the safety rules to be followed in a zoo or forest,"[{""item"": ""Nature trail and exploration of forest ecosystems"", ""reason"": ""Safety rules are framed around the activities and expectations of the nature trail, so students must first understand what the trail involves.""}]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Animals found in the forest (land animals and birds),Identify animals and birds seen in a forest habitat,"[{""item"": ""Nature trail and exploration of forest ecosystems"", ""reason"": ""Identifying forest animals occurs as part of the planned nature walk through the forest.""}]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter03_Nature_Trail,Animals found in the forest (land animals and birds),Classify animals into categories such as land animals and birds,"[{""item"": ""Nature trail and exploration of forest ecosystems"", ""reason"": ""Identifying forest animals occurs as part of the planned nature walk through the forest.""}]","[{""item"": ""Identify animals and birds seen in a forest habitat"", ""reason"": ""Classifying animals into categories requires first being able to identify the animals seen.""}]",[],[],[],[]
