board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter9_Circles,Circles and its Related Terms: A Review,Construct a circle of a given radius and verify that the length of multiple segments drawn from the center to the circumference is equal,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""The Circle"", ""reason"": ""Derived from skill prerequisite: 'Construct a circle when its radius is known' (in Grade 6/Chapter08_Playing_With_Constructions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""skill"": ""Construct a circle when its radius is known"", ""reason"": ""The verification exercise first requires the basic compass technique of drawing a circle of a given radius learned in earlier construction lessons.""}]"
CBSE,Maths,Grade 9,Chapter9_Circles,Circles and its Related Terms: A Review,"Define radius, chord, diameter, segment, arc, interior and exterior of a circle",[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""The Circle"", ""reason"": ""Derived from skill prerequisite: 'Construct a circle when its radius is known' (in Grade 6/Chapter08_Playing_With_Constructions) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter9_Circles,Circles and its Related Terms: A Review,"Label the radius, chord, diameter, segment and arc on a given circle diagram",[],"[{""item"": ""Define radius, chord, diameter, segment, arc, interior and exterior of a circle"", ""reason"": ""A student must know the definitions of these parts before being able to correctly label them on a diagram.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""The Circle"", ""reason"": ""Derived from skill prerequisite: 'Construct a circle when its radius is known' (in Grade 6/Chapter08_Playing_With_Constructions) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter9_Circles,Angle Subtended by a Chord at a Point,Apply theorems regarding angle subtended by a chord in a circle to find the measure of an angle in a given figure,"[{""item"": ""Circles and its Related Terms: A Review"", ""reason"": ""Understanding what a chord is (from the basic circle terminology) is needed before reasoning about angles that a chord subtends at a point.""}]","[{""item"": ""Define the angle subtended by a line segment at a point"", ""reason"": ""Applying theorems about such angles requires first knowing what an angle subtended by a segment at a point means.""}]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter9_Circles,Angle Subtended by a Chord at a Point,Explain the relationship between angles subtended by an equal chord at different points on a circle,"[{""item"": ""Circles and its Related Terms: A Review"", ""reason"": ""Understanding what a chord is (from the basic circle terminology) is needed before reasoning about angles that a chord subtends at a point.""}]","[{""item"": ""Define the angle subtended by a line segment at a point"", ""reason"": ""Explaining relationships between subtended angles requires first understanding the definition of a subtended angle.""}]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter9_Circles,Angle Subtended by a Chord at a Point,Define the angle subtended by a line segment at a point,"[{""item"": ""Circles and its Related Terms: A Review"", ""reason"": ""Understanding what a chord is (from the basic circle terminology) is needed before reasoning about angles that a chord subtends at a point.""}]",[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter9_Circles,Angle subtended by a chord at the centre,Define the angle subtended by a chord at the centre of a circle,"[{""item"": ""Circles and its Related Terms: A Review"", ""reason"": ""Recognizing the chord and centre of a circle, as defined in the review, is required before defining the angle a chord makes at the centre.""}]",[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter9_Circles,Angle subtended by a chord at the centre,Identify and label the angle subtended by a given chord at the centre in a circle diagram,"[{""item"": ""Circles and its Related Terms: A Review"", ""reason"": ""Recognizing the chord and centre of a circle, as defined in the review, is required before defining the angle a chord makes at the centre.""}]","[{""item"": ""Define the angle subtended by a chord at the centre of a circle"", ""reason"": ""One must know what this angle is before being able to identify and label it in a figure.""}]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter9_Circles,Equal chords subtending equal angles at the centre (Theorem 9.1 and its converse Theorem 9.2),Prove that equal chords of a circle subtend equal angles at the centre,"[{""item"": ""Angle subtended by a chord at the centre"", ""reason"": ""The theorem compares angles subtended by chords at the centre, so the notion of such an angle must already be understood.""}]","[{""item"": ""Define the angle subtended by a chord at the centre of a circle"", ""reason"": ""The proof requires a clear understanding of what the angle subtended at the centre by a chord is.""}]","[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""The proof compares the two triangles formed by the chords and radii and concludes they are congruent by SSS, so the student must already know the triangle congruence criteria.""}]","[{""chapter"": ""Chapter8_Triangles"", ""skill"": ""Apply the appropriate congruence criterion to prove two triangles congruent in a given figure"", ""reason"": ""The proof sets up two triangles with equal radii and equal chords and applies SSS congruence to conclude the angles at the centre are equal, requiring the general skill of applying a congruence criterion.""}]",[],[]
CBSE,Maths,Grade 9,Chapter9_Circles,Equal chords subtending equal angles at the centre (Theorem 9.1 and its converse Theorem 9.2),"Prove that if angles subtended by two chords at the centre are equal, then the chords are equal","[{""item"": ""Angle subtended by a chord at the centre"", ""reason"": ""The theorem compares angles subtended by chords at the centre, so the notion of such an angle must already be understood.""}]","[{""item"": ""Prove that equal chords of a circle subtend equal angles at the centre"", ""reason"": ""The converse proof builds logically on the direct theorem already being established and understood.""}]","[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""The proof compares the two triangles formed by the chords and radii and concludes they are congruent by SSS, so the student must already know the triangle congruence criteria.""}]","[{""chapter"": ""Chapter8_Triangles"", ""skill"": ""Apply the appropriate congruence criterion to prove two triangles congruent in a given figure"", ""reason"": ""The converse proof uses SAS congruence on the two triangles formed by the radii and the equal centre angles to conclude the chords are equal.""}]",[],[]
