board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Measuring weight using a balance,Identify the parts and use of a simple balance for weighing objects,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""Students must already know how a pan-balance is used to compare weights before learning the formal procedure of measuring weight with a balance.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Using a Balance to Compare Weights"", ""reason"": ""Derived from skill prerequisite: 'Describe different types of balances used in everyday life' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""The kilogram as a standard unit of weight"", ""reason"": ""Derived from skill prerequisite: 'Measure the weight of familiar objects to the nearest kilogram using a weighing scale' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Describe different types of balances used in everyday life"", ""reason"": ""Prior awareness of different kinds of balances used in daily life is needed before identifying the specific parts and use of a simple balance.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Measuring weight using a balance,Describe the steps to weigh an object using a balance,[],"[{""item"": ""Identify the parts and use of a simple balance for weighing objects"", ""reason"": ""Describing the weighing procedure requires already knowing the parts and purpose of the balance.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""Students must already know how a pan-balance is used to compare weights before learning the formal procedure of measuring weight with a balance.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Using a Balance to Compare Weights"", ""reason"": ""Derived from skill prerequisite: 'Describe different types of balances used in everyday life' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""The kilogram as a standard unit of weight"", ""reason"": ""Derived from skill prerequisite: 'Measure the weight of familiar objects to the nearest kilogram using a weighing scale' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Verify the weight of an object using a pan-balance and standard weight pieces"", ""reason"": ""Describing the weighing procedure builds on having already practised using a pan-balance with standard weight pieces.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Measuring weight using a balance,Interpret a pan balance to determine which side is heavier,[],"[{""item"": ""Identify the parts and use of a simple balance for weighing objects"", ""reason"": ""Interpreting which side is heavier requires knowing how the balance's pans and pointer function.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""Students must already know how a pan-balance is used to compare weights before learning the formal procedure of measuring weight with a balance.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Using a Balance to Compare Weights"", ""reason"": ""Derived from skill prerequisite: 'Describe different types of balances used in everyday life' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""The kilogram as a standard unit of weight"", ""reason"": ""Derived from skill prerequisite: 'Measure the weight of familiar objects to the nearest kilogram using a weighing scale' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Use a pan-balance to determine which of two or more objects is heavier or lighter"", ""reason"": ""Interpreting which side of the balance is heavier directly relies on the earlier practice of using a pan-balance for comparison.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Measuring weight using a balance,Apply standard weights to weigh a given object using a balance,[],"[{""item"": ""Describe the steps to weigh an object using a balance"", ""reason"": ""Applying standard weights correctly depends on already knowing the general procedure for weighing an object.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""Students must already know how a pan-balance is used to compare weights before learning the formal procedure of measuring weight with a balance.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Using a Balance to Compare Weights"", ""reason"": ""Derived from skill prerequisite: 'Describe different types of balances used in everyday life' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""The kilogram as a standard unit of weight"", ""reason"": ""Derived from skill prerequisite: 'Measure the weight of familiar objects to the nearest kilogram using a weighing scale' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Verify the weight of an object using a pan-balance and standard weight pieces"", ""reason"": ""Applying standard weights on a balance to weigh objects directly continues the earlier skill of verifying weight with standard weight pieces.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Measuring weight using a balance,Verify an estimated weight by actually weighing the object on a balance,[],"[{""item"": ""Apply standard weights to weigh a given object using a balance"", ""reason"": ""Verifying an estimate requires the prior ability to actually weigh the object with standard weights.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""Students must already know how a pan-balance is used to compare weights before learning the formal procedure of measuring weight with a balance.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Using a Balance to Compare Weights"", ""reason"": ""Derived from skill prerequisite: 'Describe different types of balances used in everyday life' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""The kilogram as a standard unit of weight"", ""reason"": ""Derived from skill prerequisite: 'Measure the weight of familiar objects to the nearest kilogram using a weighing scale' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Measure the weight of familiar objects to the nearest kilogram using a weighing scale"", ""reason"": ""Verifying an estimate by weighing requires the prior skill of actually measuring weight on a scale.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Using a pan balance to compare weights,Identify the heavier and lighter object by placing two objects on either pan of a balance,"[{""item"": ""Measuring weight using a balance"", ""reason"": ""A student must know how a balance works and how to use it before they can use it to compare the weights of two objects.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""This target concept extends the earlier introduction of the pan-balance as a tool for comparing weights.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring weight using informal units (coins, erasers, matchboxes filled with sand)"", ""reason"": ""Derived from skill prerequisite: 'Order a set of objects from lightest to heaviest based on measurements' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Apply logical reasoning with a pan-balance to identify the heavier ball among similar-looking balls"", ""reason"": ""Identifying heavier/lighter objects on a balance builds on prior reasoning practice with a pan-balance to find a heavier object among a set.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Using a pan balance to compare weights,"Interpret whether a pan balance shows a heavier, lighter, or balanced result","[{""item"": ""Measuring weight using a balance"", ""reason"": ""A student must know how a balance works and how to use it before they can use it to compare the weights of two objects.""}]","[{""item"": ""Identify the heavier and lighter object by placing two objects on either pan of a balance"", ""reason"": ""Interpreting the balance's result builds on the basic act of placing two objects on the pans.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""This target concept extends the earlier introduction of the pan-balance as a tool for comparing weights.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring weight using informal units (coins, erasers, matchboxes filled with sand)"", ""reason"": ""Derived from skill prerequisite: 'Order a set of objects from lightest to heaviest based on measurements' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Use a pan-balance to determine which of two or more objects is heavier or lighter"", ""reason"": ""Interpreting balanced/unbalanced results extends the earlier skill of using a pan-balance to judge heavier or lighter objects.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Using a pan balance to compare weights,Compare the weights of multiple objects by using a pan balance repeatedly,"[{""item"": ""Measuring weight using a balance"", ""reason"": ""A student must know how a balance works and how to use it before they can use it to compare the weights of two objects.""}]","[{""item"": ""Interpret whether a pan balance shows a heavier, lighter, or balanced result"", ""reason"": ""Comparing multiple objects requires repeated correct interpretation of individual balance results.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""This target concept extends the earlier introduction of the pan-balance as a tool for comparing weights.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring weight using informal units (coins, erasers, matchboxes filled with sand)"", ""reason"": ""Derived from skill prerequisite: 'Order a set of objects from lightest to heaviest based on measurements' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Use a pan-balance to determine which of two or more objects is heavier or lighter"", ""reason"": ""Repeated pairwise comparisons with a pan-balance rely on already being able to determine which of two objects is heavier or lighter.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Using a pan balance to compare weights,Determine the order of objects from heaviest to lightest using pan balance results,"[{""item"": ""Measuring weight using a balance"", ""reason"": ""A student must know how a balance works and how to use it before they can use it to compare the weights of two objects.""}]","[{""item"": ""Compare the weights of multiple objects by using a pan balance repeatedly"", ""reason"": ""Ordering objects by weight depends on having already compared multiple objects pairwise using the balance.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""This target concept extends the earlier introduction of the pan-balance as a tool for comparing weights.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring weight using informal units (coins, erasers, matchboxes filled with sand)"", ""reason"": ""Derived from skill prerequisite: 'Order a set of objects from lightest to heaviest based on measurements' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Order a set of objects from lightest to heaviest based on measurements"", ""reason"": ""Ordering objects by weight using balance results builds directly on the earlier skill of ordering objects from lightest to heaviest.""}]"
CBSE,Maths,Grade 4,Chapter08_Weigh_it_Pour_it,Estimating and comparing weight of objects (grams and kilograms),Estimate the weight of an object in grams or kilograms before measuring,"[{""item"": ""Using a pan balance to compare weights"", ""reason"": ""Estimating and judging which object is heavier relies on the prior skill of physically comparing objects on a pan balance.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""The kilogram as a standard unit of weight"", ""reason"": ""Estimating weight in kilograms requires already knowing the kilogram as a fixed standard unit of weight.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Comparing weights of objects using hands"", ""reason"": ""Derived from skill prerequisite: 'Describe which of two objects feels heavier or lighter when held in hands' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Using a pan-balance to compare and measure weights"", ""reason"": ""Derived from skill prerequisite: 'Verify the weight of an object using a pan-balance and standard weight pieces' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Identify everyday objects that weigh approximately 1 kilogram, half a kilogram, or a quarter kilogram"", ""reason"": ""Estimating weight before measuring relies on prior familiarity with how heavy common objects are relative to the kilogram.""}]"
