board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Natural Resources - Classification,Classify natural resources based on their renewability and use,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Renewable and Non-renewable Resources"", ""reason"": ""Classifying resources by renewability at Grade 9 builds directly on the renewable/non-renewable distinction already established in Grade 6.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Classify resources as renewable or non-renewable"", ""reason"": ""The Grade 9 skill directly extends the renewable/non-renewable classification skill already mastered in Grade 6.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Water Cycle,"Draw the water cycle diagram showing movement of water between land, atmosphere, and oceans",[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Water cycle"", ""reason"": ""The Grade 9 treatment of the water cycle as part of Earth systems builds on the basic evaporation-condensation-precipitation cycle taught in Grade 6.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe the stages and circulation of the water cycle"", ""reason"": ""Drawing the water cycle diagram requires already understanding the stages and circulation pattern taught in Grade 6.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Rain Formation,Describe the process of heating and evaporation of water leading to rain formation,"[""Water Cycle""]","[""Draw the water cycle diagram showing movement of water between land, atmosphere, and oceans""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Rain, hail and snow formation"", ""reason"": ""Understanding condensation-driven rain formation from Grade 6 is a direct basis for the Grade 9 explanation of rain formation.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Evaporation"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of evaporation with examples from daily life' (in Grade 6/Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe the formation of rain, hail and snow through condensation"", ""reason"": ""This Grade 9 skill builds directly on the Grade 6 explanation of condensation leading to rain.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Explain the process of evaporation with examples from daily life"", ""reason"": ""Understanding evaporation as a precursor to rain formation depends on the evaporation mechanism taught in Grade 6.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Air Pollution,List causes of air pollution in the atmosphere,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Air Pollution"", ""reason"": ""The basic causes and effects of air pollution introduced in Grade 6 underpin the more detailed Grade 9 treatment.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Outline the causes and effects of air pollution"", ""reason"": ""The Grade 9 skill of listing causes reuses the causal analysis of air pollution already taught in Grade 6.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Air Pollution,Suggest measures to prevent air pollution,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Air Pollution"", ""reason"": ""The basic causes and effects of air pollution introduced in Grade 6 underpin the more detailed Grade 9 treatment.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Suggest ways to reduce air pollution"", ""reason"": ""Grade 6 already develops the skill of proposing measures to reduce air pollution, directly reused at Grade 9.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Soil Formation,Explain the process of soil formation from rocks,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Weathering of rocks"", ""reason"": ""Soil formation from rocks in Grade 9 depends on the weathering process already established in Grade 7.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Soil Formation and Composition"", ""reason"": ""Derived from skill prerequisite: 'Explain how soil is formed and its role in supporting life' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Explain the process of weathering of rocks"", ""reason"": ""Soil formation from rocks depends on understanding the weathering process taught in Grade 7.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Explain how soil is formed and its role in supporting life"", ""reason"": ""Grade 6 already introduces the basic mechanism of soil formation that Grade 9 elaborates on.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Soil Erosion,Identify causes of soil erosion,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Erosion"", ""reason"": ""Understanding soil erosion at Grade 9 requires the concept of erosion as movement of weathered material already taught in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Explain the process of erosion and its effects"", ""reason"": ""Identifying causes of soil erosion at Grade 9 relies on the erosion process and effects already taught in Grade 7.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Soil Erosion,Suggest measures to prevent soil erosion,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Erosion"", ""reason"": ""Understanding soil erosion at Grade 9 requires the concept of erosion as movement of weathered material already taught in Grade 7.""}]",[]
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Ozone Layer,Explain the importance of the ozone layer for life on Earth,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Ozone Layer Protection"", ""reason"": ""Grade 8 already establishes the ozone layer's role in blocking UV radiation, which is the basis for its importance discussed in Grade 9.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""skill"": ""Describe the role of the ozone layer in blocking harmful UV rays"", ""reason"": ""The Grade 9 explanation of ozone layer importance is a direct extension of the UV-blocking role taught in Grade 8.""}]"
CBSE,Science,Grade 9,"Chapter13_Earth_as_a_System:_Energy,_Matter,_and_Life",Ozone Layer Depletion,Identify causes of ozone layer depletion,"[""Ozone Layer""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Ozone Layer Protection"", ""reason"": ""Understanding depletion requires first knowing the protective function of the ozone layer taught in Grade 8.""}]",[]
