board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Three-digit numbers up to 1000,"Identify the hundreds, tens, and ones digits in a given three-digit number",[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Understanding how ones group into tens is the structural basis for extending the place-value system to include hundreds.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)"", ""reason"": ""Derived from skill prerequisite: 'Represent a 2-digit number using concrete or pictorial groups of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number when given the number of tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify the tens digit and ones digit in a given two-digit number"", ""reason"": ""Extends the same digit-identification technique to include an additional place value (hundreds).""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Three-digit numbers up to 1000,Represent a three-digit number using concrete or pictorial place value blocks,[],"[""Identify the hundreds, tens, and ones digits in a given three-digit number""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Understanding how ones group into tens is the structural basis for extending the place-value system to include hundreds.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)"", ""reason"": ""Derived from skill prerequisite: 'Represent a 2-digit number using concrete or pictorial groups of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number when given the number of tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Represent a 2-digit number using concrete or pictorial groups of tens and ones"", ""reason"": ""The technique of representing a number with grouped concrete/pictorial blocks is extended by adding a hundreds block.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Three-digit numbers up to 1000,"Compose a three-digit number from given hundreds, tens, and ones",[],"[""Identify the hundreds, tens, and ones digits in a given three-digit number""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Understanding how ones group into tens is the structural basis for extending the place-value system to include hundreds.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)"", ""reason"": ""Derived from skill prerequisite: 'Represent a 2-digit number using concrete or pictorial groups of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number when given the number of tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Compose a two-digit number when given the number of tens and ones"", ""reason"": ""Composing a number from its place-value parts is the same technique extended to a third place value.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Three-digit numbers up to 1000,Decompose a three-digit number into its place value parts,[],"[""Identify the hundreds, tens, and ones digits in a given three-digit number""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Understanding how ones group into tens is the structural basis for extending the place-value system to include hundreds.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)"", ""reason"": ""Derived from skill prerequisite: 'Represent a 2-digit number using concrete or pictorial groups of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Composing and decomposing two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number when given the number of tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 43 = 4 tens and 3 ones)"", ""reason"": ""The decomposition procedure for two-digit numbers is the direct basis for decomposing a three-digit number into hundreds, tens, and ones.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,"Place value (hundreds, tens, ones)",Compare two three-digit numbers by examining their place value digits,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""A student must already grasp how tens and ones combine to form a number before a third place (hundreds) can be meaningfully added.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Comparison of 2-digit numbers using place value"", ""reason"": ""Derived from skill prerequisite: 'Compare two 2-digit numbers using their place value of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Compare two 2-digit numbers using their place value of tens and ones"", ""reason"": ""The digit-by-digit place-value comparison method is directly extended by one more place to compare three-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,"Place value (hundreds, tens, ones)",Apply the < and > symbols correctly between two numbers,[],"[""Compare two three-digit numbers by examining their place value digits""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""A student must already grasp how tens and ones combine to form a number before a third place (hundreds) can be meaningfully added.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Comparison of 2-digit numbers using place value"", ""reason"": ""Derived from skill prerequisite: 'Compare two 2-digit numbers using their place value of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply the < and > symbols to record the comparison between two 2-digit numbers"", ""reason"": ""The symbol-usage convention learned for two-digit number comparisons is reused unchanged for three-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,"Place value (hundreds, tens, ones)",Determine the greater or smaller number among a given group of numbers,[],"[""Compare two three-digit numbers by examining their place value digits""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""A student must already grasp how tens and ones combine to form a number before a third place (hundreds) can be meaningfully added.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Comparison of 2-digit numbers using place value"", ""reason"": ""Derived from skill prerequisite: 'Compare two 2-digit numbers using their place value of tens and ones' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Comparing and ordering numbers,Arrange a set of three-digit numbers in increasing order,"[""Three-digit numbers up to 1000"", ""Place value (hundreds, tens, ones)""]","[""Compare two three-digit numbers by examining their place value digits""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Comparison of 2-digit numbers using place value"", ""reason"": ""Comparing three-digit numbers digit-by-digit extends the same place-value comparison method used for two-digit numbers.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Ordering numbers in increasing and decreasing order"", ""reason"": ""The technique of arranging numbers by size learned with two-digit numbers is directly extended to sets of three-digit numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Arrange numbers in increasing order"", ""reason"": ""The ordering procedure practiced with two-digit numbers is the direct basis for ordering larger three-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Comparing and ordering numbers,Arrange a set of three-digit numbers in decreasing order,"[""Three-digit numbers up to 1000"", ""Place value (hundreds, tens, ones)""]","[""Compare two three-digit numbers by examining their place value digits""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Comparison of 2-digit numbers using place value"", ""reason"": ""Comparing three-digit numbers digit-by-digit extends the same place-value comparison method used for two-digit numbers.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Ordering numbers in increasing and decreasing order"", ""reason"": ""The technique of arranging numbers by size learned with two-digit numbers is directly extended to sets of three-digit numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Arrange numbers in decreasing order by passing through a number path"", ""reason"": ""The same decreasing-order arrangement technique is extended from two-digit to three-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter9_House_of_Hundreds_II,Comparing and ordering numbers,Explain the reasoning used to order a given set of numbers,"[""Three-digit numbers up to 1000"", ""Place value (hundreds, tens, ones)""]","[""Compare two three-digit numbers by examining their place value digits"", ""Arrange a set of three-digit numbers in increasing order"", ""Arrange a set of three-digit numbers in decreasing order""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Comparison of 2-digit numbers using place value"", ""reason"": ""Comparing three-digit numbers digit-by-digit extends the same place-value comparison method used for two-digit numbers.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Ordering numbers in increasing and decreasing order"", ""reason"": ""The technique of arranging numbers by size learned with two-digit numbers is directly extended to sets of three-digit numbers.""}]",[]
