board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter1_Integers,Whole Numbers and Integers,Differentiate between whole numbers and integers with concrete examples,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Integers as a set (definition)"", ""reason"": ""Distinguishing whole numbers from integers requires already knowing that integers form a set including positive numbers, negative numbers and zero.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Understanding the extension from whole numbers to integers depends on already having a notion of numbers with positive and negative signs.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: temperature above and below zero"", ""reason"": ""Derived from skill prerequisite: 'Interpret temperatures above and below 0°C using positive and negative numbers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: geographical cross sections and sea level"", ""reason"": ""Derived from skill prerequisite: 'Interpret heights above and below sea level using positive and negative numbers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Define the set of integers including positive numbers, negative numbers and zero"", ""reason"": ""Distinguishing whole numbers from integers requires already knowing the formal definition of the set of integers.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Whole Numbers and Integers,Represent numbers with positive and negative signs,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Integers as a set (definition)"", ""reason"": ""Distinguishing whole numbers from integers requires already knowing that integers form a set including positive numbers, negative numbers and zero.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Understanding the extension from whole numbers to integers depends on already having a notion of numbers with positive and negative signs.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: temperature above and below zero"", ""reason"": ""Derived from skill prerequisite: 'Interpret temperatures above and below 0°C using positive and negative numbers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: geographical cross sections and sea level"", ""reason"": ""Derived from skill prerequisite: 'Interpret heights above and below sea level using positive and negative numbers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Represent movement using integers with a '+' or '-' sign"", ""reason"": ""Using sign notation for numbers in Grade 7 directly continues the earlier practice of representing quantities with '+' or '-' signs.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Whole Numbers and Integers,Apply positive and negative integers to various real-life situations,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Integers as a set (definition)"", ""reason"": ""Distinguishing whole numbers from integers requires already knowing that integers form a set including positive numbers, negative numbers and zero.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Understanding the extension from whole numbers to integers depends on already having a notion of numbers with positive and negative signs.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: temperature above and below zero"", ""reason"": ""Derived from skill prerequisite: 'Interpret temperatures above and below 0°C using positive and negative numbers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: geographical cross sections and sea level"", ""reason"": ""Derived from skill prerequisite: 'Interpret heights above and below sea level using positive and negative numbers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Interpret temperatures above and below 0°C using positive and negative numbers"", ""reason"": ""Applying signed numbers to real contexts builds on the earlier specific practice of interpreting temperature readings using positive and negative numbers.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Interpret heights above and below sea level using positive and negative numbers"", ""reason"": ""Applying signed numbers to real contexts builds on the earlier specific practice of interpreting elevation data using positive and negative numbers.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Apply integer addition and subtraction to solve bank credit/debit problems"", ""reason"": ""Solving real-life integer situations extends the earlier experience of using integers to model credits and debits in banking.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Representation of Integers on Number Line,Represent integers on a number line,"[""Whole Numbers and Integers""]","[""Differentiate between whole numbers and integers with concrete examples"", ""Represent numbers with positive and negative signs""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Number line representation of integers"", ""reason"": ""Placing and interpreting integers on a number line in Grade 7 builds directly on the earlier introduction of integers on a number line.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Unmarked number line for addition and subtraction"", ""reason"": ""Derived from skill prerequisite: 'Estimate and place integers on an unmarked number line before solving addition and subtraction problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Adding and subtracting larger integers (mine model)"", ""reason"": ""Derived from skill prerequisite: 'Use an unmarked number line to solve addition and subtraction problems with large integers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""Derived from skill prerequisite: 'Apply Brahmagupta's rules to solve addition and subtraction problems involving integers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Estimate and place integers on an unmarked number line before solving addition and subtraction problems"", ""reason"": ""Placing integers correctly on a number line in Grade 7 depends on the earlier-developed skill of estimating and marking integer positions on a number line.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Representation of Integers on Number Line,Perform operations of integers on a number line,"[""Whole Numbers and Integers""]","[""Represent integers on a number line""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Number line representation of integers"", ""reason"": ""Placing and interpreting integers on a number line in Grade 7 builds directly on the earlier introduction of integers on a number line.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Unmarked number line for addition and subtraction"", ""reason"": ""Derived from skill prerequisite: 'Estimate and place integers on an unmarked number line before solving addition and subtraction problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Adding and subtracting larger integers (mine model)"", ""reason"": ""Derived from skill prerequisite: 'Use an unmarked number line to solve addition and subtraction problems with large integers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""Derived from skill prerequisite: 'Apply Brahmagupta's rules to solve addition and subtraction problems involving integers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Use a number line to add and subtract integers"", ""reason"": ""Carrying out integer addition and subtraction using number line jumps in Grade 7 directly continues this earlier skill.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Use an unmarked number line to solve addition and subtraction problems with large integers"", ""reason"": ""Performing integer operations on a number line for larger values builds on the earlier practice with unmarked number lines for large integers.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Representation of Integers on Number Line,Verify properties of integers using a number line,"[""Whole Numbers and Integers""]","[""Perform operations of integers on a number line""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Number line representation of integers"", ""reason"": ""Placing and interpreting integers on a number line in Grade 7 builds directly on the earlier introduction of integers on a number line.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Unmarked number line for addition and subtraction"", ""reason"": ""Derived from skill prerequisite: 'Estimate and place integers on an unmarked number line before solving addition and subtraction problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Adding and subtracting larger integers (mine model)"", ""reason"": ""Derived from skill prerequisite: 'Use an unmarked number line to solve addition and subtraction problems with large integers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""Derived from skill prerequisite: 'Apply Brahmagupta's rules to solve addition and subtraction problems involving integers' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Apply Brahmagupta's rules to solve addition and subtraction problems involving integers"", ""reason"": ""Verifying properties of integer addition and subtraction relies on already being able to apply the sign-based rules for combining integers.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Properties of Addition and Subtraction of Integers,Apply properties of addition of integers to simplify arithmetic expressions,"[""Representation of Integers on Number Line""]","[""Perform operations of integers on a number line""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""The Grade 7 properties of addition and subtraction of integers formalise and extend the sign-based rules first introduced through Brahmagupta's rules.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Properties of subtraction of integers rely on the notion that subtracting a number is equivalent to adding its additive inverse.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving integers such as years before/after a reference point' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""State Brahmagupta's rules for addition and subtraction of positive numbers, negative numbers, and zero"", ""reason"": ""Simplifying expressions using addition properties of integers builds on already knowing the basic sign-based rules for adding integers.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Apply Brahmagupta's rules to solve addition and subtraction problems involving integers"", ""reason"": ""Applying addition properties to simplify expressions depends on the earlier ability to apply these sign-based addition rules to solve problems.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Properties of Addition and Subtraction of Integers,Apply properties of subtraction of integers to simplify arithmetic expressions,"[""Representation of Integers on Number Line""]","[""Perform operations of integers on a number line""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""The Grade 7 properties of addition and subtraction of integers formalise and extend the sign-based rules first introduced through Brahmagupta's rules.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Properties of subtraction of integers rely on the notion that subtracting a number is equivalent to adding its additive inverse.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving integers such as years before/after a reference point' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Convert a subtraction expression into an equivalent addition expression using inverses"", ""reason"": ""Simplifying subtraction expressions using integer properties depends on the earlier technique of rewriting subtraction as addition of the additive inverse.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Apply Brahmagupta's rules to solve addition and subtraction problems involving integers"", ""reason"": ""Applying subtraction properties to simplify expressions builds on the earlier ability to apply sign-based rules for subtracting integers.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Properties of Addition and Subtraction of Integers,Solve real life problems using addition and subtraction of integers,"[""Representation of Integers on Number Line""]","[""Apply properties of addition of integers to simplify arithmetic expressions"", ""Apply properties of subtraction of integers to simplify arithmetic expressions""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""The Grade 7 properties of addition and subtraction of integers formalise and extend the sign-based rules first introduced through Brahmagupta's rules.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Properties of subtraction of integers rely on the notion that subtracting a number is equivalent to adding its additive inverse.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving integers such as years before/after a reference point' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Solve word problems involving integers such as years before/after a reference point"", ""reason"": ""Solving real-life integer word problems in Grade 7 builds on the earlier practice of solving similar reference-point based integer word problems.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Apply integer addition and subtraction to solve bank credit/debit problems"", ""reason"": ""Solving real-life addition and subtraction problems with integers extends the earlier practice of applying these operations to banking contexts.""}]"
CBSE,Maths,Grade 7,Chapter1_Integers,Properties of Addition and Subtraction of Integers,Identify whether the sum of two integers is always an integer,"[""Representation of Integers on Number Line""]","[""Perform operations of integers on a number line""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Brahmagupta's rules for addition and subtraction of integers"", ""reason"": ""The Grade 7 properties of addition and subtraction of integers formalise and extend the sign-based rules first introduced through Brahmagupta's rules.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Properties of subtraction of integers rely on the notion that subtracting a number is equivalent to adding its additive inverse.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Positive and negative numbers"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving integers such as years before/after a reference point' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Real-life applications: credits and debits in banking"", ""reason"": ""Derived from skill prerequisite: 'Apply integer addition and subtraction to solve bank credit/debit problems' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Predict possible and impossible sums when adding numbers from given sets of integers"", ""reason"": ""Reasoning about closure of integer addition builds on the earlier practice of predicting which sums are possible when adding integers.""}]"
