board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Rectangular Figures,Identify the method used to compute area of a rectangular figure,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of rectangles (sides, corners, equal opposite sides)"", ""reason"": ""Understanding that a rectangle has two pairs of equal opposite sides is needed before a student can identify its length and breadth for area calculation.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Rectangular Figures,Calculate the area of a rectangular figure using square grid counting,[],"[""Identify the method used to compute area of a rectangular figure""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of rectangles (sides, corners, equal opposite sides)"", ""reason"": ""Understanding that a rectangle has two pairs of equal opposite sides is needed before a student can identify its length and breadth for area calculation.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Rectangular Figures,Calculate the area of a rectangular figure using the length x breadth formula,[],"[""Calculate the area of a rectangular figure using square grid counting""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of rectangles (sides, corners, equal opposite sides)"", ""reason"": ""Understanding that a rectangle has two pairs of equal opposite sides is needed before a student can identify its length and breadth for area calculation.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Rectangular Figures,Compare results of different methods used to find the area of the same rectangle,[],"[""Calculate the area of a rectangular figure using square grid counting"", ""Calculate the area of a rectangular figure using the length x breadth formula""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of rectangles (sides, corners, equal opposite sides)"", ""reason"": ""Understanding that a rectangle has two pairs of equal opposite sides is needed before a student can identify its length and breadth for area calculation.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Square,State the formula for area of a square,"[""Area of Rectangular Figures""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of squares (sides, corners, all sides equal)"", ""reason"": ""Knowing that all four sides of a square are equal is what justifies using side × side rather than length × breadth to find its area.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Square,Calculate the area of a square given its side length,"[""Area of Rectangular Figures""]","[""State the formula for area of a square""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of squares (sides, corners, all sides equal)"", ""reason"": ""Knowing that all four sides of a square are equal is what justifies using side × side rather than length × breadth to find its area.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area of Square,Determine the side of a square given its area,"[""Area of Rectangular Figures""]","[""Calculate the area of a square given its side length""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Properties of squares (sides, corners, all sides equal)"", ""reason"": ""Knowing that all four sides of a square are equal is what justifies using side × side rather than length × breadth to find its area.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area and Perimeter of a Rectangle,Calculate the perimeter of a rectangle given its length and breadth,"[""Area of Rectangular Figures""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The idea that perimeter is the total boundary length must already be understood before combining it with area calculations for a rectangle.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Identify and calculate the perimeter of simple shapes using a dot grid or scale"", ""reason"": ""This skill establishes how to add up boundary lengths to find perimeter, which is directly extended to rectangles using length and breadth.""}]"
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area and Perimeter of a Rectangle,Calculate the area of a rectangle given its length and breadth,"[""Area of Rectangular Figures""]","[""Calculate the area of a rectangular figure using the length x breadth formula""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The idea that perimeter is the total boundary length must already be understood before combining it with area calculations for a rectangle.""}]",[]
CBSE,Maths,Grade 5,Chapter11_Area_And_Its_Boundary,Area and Perimeter of a Rectangle,Solve word problems requiring both area and perimeter of a rectangle,"[""Area of Rectangular Figures""]","[""Calculate the perimeter of a rectangle given its length and breadth"", ""Calculate the area of a rectangle given its length and breadth""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Perimeter as the boundary length of a shape"", ""reason"": ""The idea that perimeter is the total boundary length must already be understood before combining it with area calculations for a rectangle.""}]",[]
