board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Physical change,Infer the effects that help identify a physical change,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""Melting and freezing of water are the standard example already taught of a change in which the substance's identity is retained, forming the basis for explaining physical change.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Ice and water as forms of the same substance"", ""reason"": ""Derived from skill prerequisite: 'Define melting, freezing, evaporation and condensation' (in Grade 6/Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Physical change,Identify examples of physical changes from daily life,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""Melting and freezing of water are the standard example already taught of a change in which the substance's identity is retained, forming the basis for explaining physical change.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Ice and water as forms of the same substance"", ""reason"": ""Derived from skill prerequisite: 'Define melting, freezing, evaporation and condensation' (in Grade 6/Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Define melting, freezing, evaporation and condensation"", ""reason"": ""Melting, freezing, evaporation and condensation, already learned as daily-life state changes, are the recurring examples used to identify physical changes.""}]"
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Physical change,Explain why no new substance is formed in a physical change,[],"[""Infer the effects that help identify a physical change""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""Melting and freezing of water are the standard example already taught of a change in which the substance's identity is retained, forming the basis for explaining physical change.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Ice and water as forms of the same substance"", ""reason"": ""Derived from skill prerequisite: 'Define melting, freezing, evaporation and condensation' (in Grade 6/Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Define melting, freezing, evaporation and condensation"", ""reason"": ""These state-change definitions already establish that water remains water throughout, giving students the concrete case needed to reason that no new substance forms in a physical change.""}]"
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Chemical change,Summarize the features that accompany a chemical change,"[""Physical change""]","[""Explain why no new substance is formed in a physical change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Chemical change,Explain why a new substance is formed in a chemical change,"[""Physical change""]","[""Summarize the features that accompany a chemical change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Physical vs chemical change,Evaluate a given set of everyday changes to distinguish between physical and chemical changes,"[""Physical change"", ""Chemical change"", ""Physical and chemical changes occurring together (burning candle)""]","[""Identify examples of physical changes from daily life"", ""Summarize the features that accompany a chemical change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Physical vs chemical change,Interpret observations from experiments to determine the type of change occurring,"[""Physical change"", ""Chemical change"", ""Physical and chemical changes occurring together (burning candle)""]","[""Infer the effects that help identify a physical change"", ""Summarize the features that accompany a chemical change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Physical vs chemical change,"Predict whether a given change is physical, chemical, or both","[""Physical change"", ""Chemical change"", ""Physical and chemical changes occurring together (burning candle)""]","[""Infer the effects that help identify a physical change"", ""Summarize the features that accompany a chemical change"", ""Analyse the changes occurring during the burning of a candle""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Rusting as a chemical change,Justify why rusting of iron is classified as a chemical change,"[""Chemical change""]","[""Explain why a new substance is formed in a chemical change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter05_Changes_Around_Us:_Physical_and_Chemical,Characteristics of physical change,Describe the common characteristic feature shared by physical changes,"[""Physical change""]","[""Explain why no new substance is formed in a physical change""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""The reversibility and lack of new substance formation seen in melting/freezing were already established and are the concrete basis for generalising the characteristic features of physical change.""}]",[]
