board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter09_Symmetry,Symmetry in everyday objects and nature,"Identify symmetrical patterns in leaves, flowers, and natural objects",[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Symmetry in everyday objects and nature,Identify symmetrical features in everyday man-made objects and structures,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Symmetry in everyday objects and nature,Apply folding and rotation techniques to verify symmetry in real-world objects and structures,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Line of symmetry,Identify the line(s) of symmetry in a given figure,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Line of symmetry,Determine whether a given line divides a figure into mirror halves,[],"[""Identify the line(s) of symmetry in a given figure""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Figures with more than one line of symmetry,Fold paper to find all lines of symmetry of a shape,"[""Line of symmetry"", ""Angle of rotational symmetry""]","[""Determine whether a given line divides a figure into mirror halves""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Figures with more than one line of symmetry,Classify shapes based on their number of lines and angles of symmetry,"[""Line of symmetry"", ""Angle of rotational symmetry""]","[""Fold paper to find all lines of symmetry of a shape"", ""Determine the order of rotational symmetry of a figure""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Figures with more than one line of symmetry,Construct figures with a specified number of lines or angles of symmetry,"[""Line of symmetry"", ""Angle of rotational symmetry""]","[""Classify shapes based on their number of lines and angles of symmetry""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Reflection symmetry,Draw the mirror image of a given 2-D shape or object,[],"[""Explain reflection symmetry using labeled points on a figure""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Reflection symmetry,Identify objects that exhibit reflection symmetry,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Reflection symmetry,Explain reflection symmetry using labeled points on a figure,[],"[""Identify objects that exhibit reflection symmetry""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,"Generating symmetric shapes (ink blots, paper folding and cutting, punching game)","Generate symmetric shapes using ink blots, paper folding and cutting","[""Line of symmetry""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,"Generating symmetric shapes (ink blots, paper folding and cutting, punching game)",Predict the shape formed when a folded and cut paper is unfolded,"[""Line of symmetry""]","[""Generate symmetric shapes using ink blots, paper folding and cutting""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,"Generating symmetric shapes (ink blots, paper folding and cutting, punching game)",Identify the fold line used to create a given symmetric punched pattern,"[""Line of symmetry""]","[""Predict the shape formed when a folded and cut paper is unfolded""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,"Generating symmetric shapes (ink blots, paper folding and cutting, punching game)",Draw the remaining part of a figure to complete a given line of symmetry,"[""Line of symmetry""]","[""Determine whether a given line divides a figure into mirror halves""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter09_Symmetry,Rotational symmetry,Explain the meaning of rotational symmetry,[],[],[],[],[],[]
