board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Counting up to 100 by grouping in 10s,Count a group of objects up to 100 by arranging them into groups of ten,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Grouping objects in tens"", ""reason"": ""Extending counting to 100 by tens requires already knowing how to bundle objects into groups of ten.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Group objects into tens to count larger quantities"", ""reason"": ""This is the same tens-grouping counting technique now applied up to 100.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Counting up to 100 by grouping in 10s,Determine the total count from a given number of ten-groups and leftover ones,[],"[""Count a group of objects up to 100 by arranging them into groups of ten""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Grouping objects in tens"", ""reason"": ""Extending counting to 100 by tens requires already knowing how to bundle objects into groups of ten.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Determine the number of tens and ones in a given quantity of objects"", ""reason"": ""Finding the total from tens and leftover ones requires already being able to determine how many tens and ones make up a quantity.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Counting beads and representing numbers,Count beads and write corresponding numbers on number cards,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Number sequence and ordering (1 to 100)"", ""reason"": ""Representing numbers with beads up to 100 depends on already knowing the counting sequence up to 100.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numbers 51 to 99"", ""reason"": ""Derived from skill prerequisite: 'Count objects and write the corresponding number from 21 to 100' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Matching and Grouping Objects 51-99"", ""reason"": ""Derived from skill prerequisite: 'Create a pictorial group of objects corresponding to a given number between 51 and 99' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Count objects and write the corresponding number from 21 to 100"", ""reason"": ""Writing the numeral for a counted set of beads up to 100 is the same skill practiced earlier with other objects.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Counting beads and representing numbers,Represent a given number by arranging the corresponding number of beads,[],"[""Count beads and write corresponding numbers on number cards""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Number sequence and ordering (1 to 100)"", ""reason"": ""Representing numbers with beads up to 100 depends on already knowing the counting sequence up to 100.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Numbers 51 to 99"", ""reason"": ""Derived from skill prerequisite: 'Count objects and write the corresponding number from 21 to 100' (in Grade 1/Chapter 8) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Matching and Grouping Objects 51-99"", ""reason"": ""Derived from skill prerequisite: 'Create a pictorial group of objects corresponding to a given number between 51 and 99' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""skill"": ""Create a pictorial group of objects corresponding to a given number between 51 and 99"", ""reason"": ""Arranging beads to match a given number builds on the earlier skill of constructing an object group for a stated number.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,"Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)",Represent a 2-digit number using concrete or pictorial groups of tens and ones,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""This extends the same tens-and-ones composing/decomposing idea learned for numbers 10-20 to the full 2-digit range.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Represent tens and ones of a number using pictures or concrete objects' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Represent tens and ones of a number using pictures or concrete objects"", ""reason"": ""This is a direct continuation of the earlier tens-and-ones picture/concrete representation skill.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,"Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)",Construct a 2-digit number by combining a given number of tens and ones shown pictorially,[],"[""Represent a 2-digit number using concrete or pictorial groups of tens and ones"", ""Distinguish the tens group and ones group within a pictorial representation of a number""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""This extends the same tens-and-ones composing/decomposing idea learned for numbers 10-20 to the full 2-digit range.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Represent tens and ones of a number using pictures or concrete objects' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Compose a two-digit number from given tens and ones"", ""reason"": ""This target skill is the same tens-and-ones composition procedure practiced earlier.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,"Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)",Distinguish the tens group and ones group within a pictorial representation of a number,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""This extends the same tens-and-ones composing/decomposing idea learned for numbers 10-20 to the full 2-digit range.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Represent tens and ones of a number using pictures or concrete objects' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Represent tens and ones of a number using pictures or concrete objects"", ""reason"": ""Distinguishing tens and ones groups in a picture depends on already being able to represent numbers using tens and ones pictures.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Composing and decomposing 2-digit numbers into 10s and 1s (numerical),Calculate the number of tens and ones in a given 2-digit number,"[""Counting up to 100 by grouping in 10s"", ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)""]","[""Represent a 2-digit number using concrete or pictorial groups of tens and ones""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Numerically decomposing a 2-digit number requires already understanding that its digits stand for a number of tens and ones.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number from given tens and ones' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify the tens digit and ones digit in a two-digit number"", ""reason"": ""Calculating tens and ones counts directly builds on already identifying which digit is tens and which is ones.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Composing and decomposing 2-digit numbers into 10s and 1s (numerical),Determine the 2-digit number formed by a given numerical combination of tens and ones,"[""Counting up to 100 by grouping in 10s"", ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)""]","[""Calculate the number of tens and ones in a given 2-digit number""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Numerically decomposing a 2-digit number requires already understanding that its digits stand for a number of tens and ones.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number from given tens and ones' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Compose a two-digit number from given tens and ones"", ""reason"": ""This is the same composition procedure previously learned, now applied numerically.""}]"
CBSE,Maths,Grade 2,Chapter3_Fun_with_Numbers,Composing and decomposing 2-digit numbers into 10s and 1s (numerical),Apply decomposition into tens and ones to rewrite a 2-digit number in expanded form,"[""Counting up to 100 by grouping in 10s"", ""Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)""]","[""Calculate the number of tens and ones in a given 2-digit number""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Numerically decomposing a 2-digit number requires already understanding that its digits stand for a number of tens and ones.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Compose a two-digit number from given tens and ones' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""Expanded form writing directly reuses the earlier tens-and-ones decomposition procedure.""}]"
