board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,Science as a process of inquiry and discovery,Explain why science is considered an ongoing process of discovery,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Meaning of science"", ""reason"": ""Derived from skill prerequisite: 'Explain what science means as a way of understanding the natural world' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Explain what science means as a way of understanding the natural world"", ""reason"": ""Explaining science as an evolving process requires first understanding what science fundamentally is, as taught in Grade 6.""}]"
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,"Interconnection between different fields of science (physics, chemistry, biology, earth sciences)",Analyse patterns observed in nature to understand underlying scientific principles,"[""Science as a process of inquiry and discovery""]","[""Explain why science is considered an ongoing process of discovery""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,Properties of materials,Classify materials based on their properties,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Classification of materials"", ""reason"": ""Grouping materials by properties in Grade 7 assumes the systematic classification approach and property vocabulary developed in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Investigating material properties"", ""reason"": ""Derived from skill prerequisite: 'Compare properties of different materials through observation and experimentation' (in Grade 6/Chapter06_Materials_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Classify objects based on common properties such as shape, colour, hardness or material"", ""reason"": ""Classifying materials by their properties in Grade 7 directly reuses the classification procedure taught in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Compare properties of different materials through observation and experimentation"", ""reason"": ""The comparison-based observation skill from Grade 6 is needed before materials can be classified by property in Grade 7.""}]"
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,"Electric circuits with batteries, lamps and wires",Identify materials needed to make a lamp glow using batteries and wires,"[""Properties of materials""]","[""Classify materials based on their properties""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Electric Circuit - Complete and Incomplete"", ""reason"": ""Making a lamp glow with batteries and wires requires the Grade 6 concept of a complete versus incomplete circuit.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Electric Cell"", ""reason"": ""Understanding the role of the battery in the circuit depends on the Grade 6 concept of an electric cell as the current source.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Flow of Current in a Circuit"", ""reason"": ""Derived from skill prerequisite: 'Analyze the flow of current in a simple electric circuit consisting of a battery, bulb, and wires' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Analyze the flow of current in a simple electric circuit consisting of a battery, bulb, and wires"", ""reason"": ""Identifying what is needed to light a lamp requires the Grade 6 skill of analysing current flow through a battery-bulb-wire circuit.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Distinguish between a complete and an incomplete electric circuit using a labelled diagram"", ""reason"": ""Knowing why a lamp glows only in a complete circuit depends on the Grade 6 skill of distinguishing complete from incomplete circuits.""}]"
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,Classification of materials into metals and non-metals,Distinguish between metals and non-metals using their observable properties,"[""Properties of materials""]","[""Classify materials based on their properties""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,Reversible and irreversible changes,Identify examples of reversible and irreversible changes in daily life,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,"Heat flow and its effects (melting, evaporation)",Describe how heat causes changes such as melting and evaporation,"[""Reversible and irreversible changes""]","[""Identify examples of reversible and irreversible changes in daily life""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Evaporation"", ""reason"": ""Understanding how heat produces evaporation as an effect requires the specific concept of evaporation taught in the Grade 6 states-of-water chapter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""Recognising melting as a heat-driven change relies on the melting/freezing concept established in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Ice and water as forms of the same substance"", ""reason"": ""Derived from skill prerequisite: 'Define melting, freezing, evaporation and condensation' (in Grade 6/Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Define melting, freezing, evaporation and condensation"", ""reason"": ""Describing heat-driven melting and evaporation requires the precise definitions of these processes established in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe how water changes state on heating or cooling"", ""reason"": ""This target skill directly extends the Grade 6 explanation of state changes caused by heating or cooling.""}]"
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,Water cycle,Explain the role of the Sun in the water cycle,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Water cycle"", ""reason"": ""The Grade 7 overview of the water cycle assumes prior understanding of the stages and circulation of the water cycle taught in detail in Grade 6.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe the stages and circulation of the water cycle"", ""reason"": ""Explaining the Sun's specific role requires already knowing the overall stages and circulation of the water cycle taught in Grade 6.""}]"
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,"Life processes in animals and plants (nutrition, respiration, growth)",Describe basic life processes essential for survival in animals and plants,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Nutrition in living beings"", ""reason"": ""The Grade 7 mention of nutrition as a life process depends on the detailed treatment of nutrition given in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Respiration and breathing"", ""reason"": ""Discussing respiration as a life process assumes the specific respiration concept covered in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Growth as a characteristic of living beings"", ""reason"": ""Treating growth as a basic life process builds on the Grade 6 concept of growth as a defining characteristic of living organisms.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain the importance of nutrition for living organisms"", ""reason"": ""Describing nutrition as a basic life process builds on the detailed explanation of nutrition's importance taught in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain the process of respiration in animals and plants"", ""reason"": ""Describing respiration as a life process assumes the process-level explanation of respiration given in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain growth as a characteristic feature of living organisms"", ""reason"": ""Describing growth as a survival process builds on the Grade 6 explanation of growth as a characteristic of living things.""}]"
CBSE,Science,Grade 7,Chapter01_The_Ever-Evolving_World_of_Science,Measurement of time,Explain how early humans used shadows to measure time,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Sundials and timekeeping using shadows"", ""reason"": ""The idea that early humans measured time using shadows directly builds on the Grade 4 concept of sundials and shadow-based timekeeping.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Explain how a sundial is used to tell time using shadows"", ""reason"": ""Explaining early shadow-based timekeeping directly extends the Grade 4 skill of explaining sundial use for telling time.""}]"
