board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter13_Our_Environment,Biodegradable and Non-biodegradable Waste,Classify given waste products as biodegradable or non-biodegradable,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter13_Our_Environment,Biodegradable and Non-biodegradable Waste,Explain the effect of non-biodegradable waste on the environment,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter13_Our_Environment,Ecosystem Components,Classify components of an ecosystem as biotic or abiotic,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Habitat and its components"", ""reason"": ""Grade 10 requires classifying ecosystem components into biotic and abiotic categories, a distinction already established when studying habitat components in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Interactions between biotic and abiotic components"", ""reason"": ""Understanding how biotic and abiotic factors interact within a habitat is the direct basis for describing ecosystem component interactions in Grade 10.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Identify biotic and abiotic components of a habitat"", ""reason"": ""This skill directly requires the ability to recognize biotic and abiotic components first taught in Grade 8.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Ecosystem Components,Describe the interaction between biotic and abiotic components of an ecosystem,[],"[""Classify components of an ecosystem as biotic or abiotic""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Habitat and its components"", ""reason"": ""Grade 10 requires classifying ecosystem components into biotic and abiotic categories, a distinction already established when studying habitat components in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Interactions between biotic and abiotic components"", ""reason"": ""Understanding how biotic and abiotic factors interact within a habitat is the direct basis for describing ecosystem component interactions in Grade 10.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Explain how biotic and abiotic components interact within a habitat"", ""reason"": ""Describing ecosystem interactions in Grade 10 depends on the Grade 8 skill of explaining biotic-abiotic interactions within a habitat.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Natural and human-made ecosystems,Distinguish between natural and human-made ecosystems,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Comparison of natural and human-made ecosystems"", ""reason"": ""The distinction between natural and human-made ecosystems taught in Grade 8 is directly built upon in Grade 10's classification of ecosystem types.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Compare natural and human-made ecosystems"", ""reason"": ""The comparative distinction between natural and human-made ecosystems taught in Grade 8 is the direct basis for this Grade 10 skill.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Food Chain and Food Web,"Tabulate organisms as producers, consumers, or decomposers based on their feeding relationships","[""Ecosystem Components""]",[],"[{""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Nutrition - Autotrophic vs Heterotrophic"", ""reason"": ""Constructing a food chain requires first understanding that producers make their own food (autotrophic) while consumers depend on other organisms for food (heterotrophic).""}, {""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Saprotrophic Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Describe how saprotrophs obtain nutrition by decomposing dead organic matter' (in Chapter05_Life_Processes) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Life_Processes"", ""skill"": ""Differentiate autotrophic nutrition from heterotrophic nutrition based on their mode of obtaining food"", ""reason"": ""Sorting organisms into producers versus consumers depends on already being able to distinguish autotrophic from heterotrophic modes of nutrition.""}, {""chapter"": ""Chapter05_Life_Processes"", ""skill"": ""Describe how saprotrophs obtain nutrition by decomposing dead organic matter"", ""reason"": ""Identifying an organism as a decomposer in the ecosystem table requires knowing the saprotrophic mode of feeding on dead organic matter.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food chain"", ""reason"": ""Grade 10's treatment of food chains and energy transfer builds on the basic concept of a food chain established in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food web"", ""reason"": ""The concept of interconnected feeding relationships forming a food web, first introduced in Grade 8, underpins Grade 10's food web construction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Producers, consumers and decomposers"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between producers, consumers, and decomposers' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Decomposition and nutrient recycling"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of decomposition and its role in nutrient recycling' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Distinguish between producers, consumers, and decomposers"", ""reason"": ""Categorizing organisms into producers, consumers, and decomposers was already established in Grade 8 and is required before tabulating them in Grade 10.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Food Chain and Food Web,Construct a food chain showing energy transfer between organisms,"[""Ecosystem Components""]","[""Tabulate organisms as producers, consumers, or decomposers based on their feeding relationships""]","[{""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Nutrition - Autotrophic vs Heterotrophic"", ""reason"": ""Constructing a food chain requires first understanding that producers make their own food (autotrophic) while consumers depend on other organisms for food (heterotrophic).""}, {""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Saprotrophic Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Describe how saprotrophs obtain nutrition by decomposing dead organic matter' (in Chapter05_Life_Processes) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food chain"", ""reason"": ""Grade 10's treatment of food chains and energy transfer builds on the basic concept of a food chain established in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food web"", ""reason"": ""The concept of interconnected feeding relationships forming a food web, first introduced in Grade 8, underpins Grade 10's food web construction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Producers, consumers and decomposers"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between producers, consumers, and decomposers' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Decomposition and nutrient recycling"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of decomposition and its role in nutrient recycling' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Construct and interpret a food chain"", ""reason"": ""The ability to construct a food chain, first practiced in Grade 8, is directly extended in Grade 10 to include energy transfer.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Food Chain and Food Web,Construct a food web showing interconnected feeding relationships among organisms,"[""Ecosystem Components""]","[""Construct a food chain showing energy transfer between organisms"", ""Tabulate organisms as producers, consumers, or decomposers based on their feeding relationships""]","[{""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Nutrition - Autotrophic vs Heterotrophic"", ""reason"": ""Constructing a food chain requires first understanding that producers make their own food (autotrophic) while consumers depend on other organisms for food (heterotrophic).""}, {""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Saprotrophic Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Describe how saprotrophs obtain nutrition by decomposing dead organic matter' (in Chapter05_Life_Processes) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food chain"", ""reason"": ""Grade 10's treatment of food chains and energy transfer builds on the basic concept of a food chain established in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food web"", ""reason"": ""The concept of interconnected feeding relationships forming a food web, first introduced in Grade 8, underpins Grade 10's food web construction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Producers, consumers and decomposers"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between producers, consumers, and decomposers' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Decomposition and nutrient recycling"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of decomposition and its role in nutrient recycling' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Interpret a food web and identify interconnections among food chains"", ""reason"": ""Interpreting food webs and their interconnections in Grade 8 is a necessary step before students can construct their own food webs in Grade 10.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Food Chain and Food Web,Explain the role of decomposers in an ecosystem,"[""Ecosystem Components""]","[""Tabulate organisms as producers, consumers, or decomposers based on their feeding relationships""]","[{""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Nutrition - Autotrophic vs Heterotrophic"", ""reason"": ""Constructing a food chain requires first understanding that producers make their own food (autotrophic) while consumers depend on other organisms for food (heterotrophic).""}, {""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Saprotrophic Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Describe how saprotrophs obtain nutrition by decomposing dead organic matter' (in Chapter05_Life_Processes) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Life_Processes"", ""skill"": ""Describe how saprotrophs obtain nutrition by decomposing dead organic matter"", ""reason"": ""Explaining the ecosystem role of decomposers relies on already knowing the mechanism by which saprotrophs break down dead organic matter.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food chain"", ""reason"": ""Grade 10's treatment of food chains and energy transfer builds on the basic concept of a food chain established in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food web"", ""reason"": ""The concept of interconnected feeding relationships forming a food web, first introduced in Grade 8, underpins Grade 10's food web construction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Producers, consumers and decomposers"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between producers, consumers, and decomposers' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Decomposition and nutrient recycling"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of decomposition and its role in nutrient recycling' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Explain the process of decomposition and its role in nutrient recycling"", ""reason"": ""Understanding decomposition and nutrient recycling from Grade 8 is required to explain the specific role of decomposers in Grade 10.""}]"
CBSE,Science,Grade 10,Chapter13_Our_Environment,Food Chain and Food Web,Explain how a food web differs from a food chain,"[""Ecosystem Components""]","[""Construct a food chain showing energy transfer between organisms"", ""Construct a food web showing interconnected feeding relationships among organisms""]","[{""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Nutrition - Autotrophic vs Heterotrophic"", ""reason"": ""Constructing a food chain requires first understanding that producers make their own food (autotrophic) while consumers depend on other organisms for food (heterotrophic).""}, {""chapter"": ""Chapter05_Life_Processes"", ""concept"": ""Saprotrophic Nutrition"", ""reason"": ""Derived from skill prerequisite: 'Describe how saprotrophs obtain nutrition by decomposing dead organic matter' (in Chapter05_Life_Processes) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food chain"", ""reason"": ""Grade 10's treatment of food chains and energy transfer builds on the basic concept of a food chain established in Grade 8.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Food web"", ""reason"": ""The concept of interconnected feeding relationships forming a food web, first introduced in Grade 8, underpins Grade 10's food web construction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Producers, consumers and decomposers"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between producers, consumers, and decomposers' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""concept"": ""Decomposition and nutrient recycling"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of decomposition and its role in nutrient recycling' (in Grade 8/Chapter12_How_Nature_Works_in_Harmony) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter12_How_Nature_Works_in_Harmony"", ""skill"": ""Interpret a food web and identify interconnections among food chains"", ""reason"": ""Comparing food webs and food chains in Grade 10 requires the prior Grade 8 skill of interpreting food webs and their interconnections.""}]"
