board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Scale in Maps,Identify the scale mentioned on a given map,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Converting map distances into real-world distances using a scale requires knowing how metres and centimetres relate to one another.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Scale in Maps,Explain the purpose of using a scale on a map,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Converting map distances into real-world distances using a scale requires knowing how metres and centimetres relate to one another.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Scale in Maps,Calculate actual distances between two points using the given scale,[],"[""Identify the scale mentioned on a given map""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Converting map distances into real-world distances using a scale requires knowing how metres and centimetres relate to one another.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Convert measurements from metres to centimetres and vice versa"", ""reason"": ""Applying a map scale to find actual distance requires the earlier skill of converting between metres and centimetres.""}]"
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Scale in Maps,Apply a given scale to convert map distances into real-world distances,[],"[""Identify the scale mentioned on a given map"", ""Calculate actual distances between two points using the given scale""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Converting map distances into real-world distances using a scale requires knowing how metres and centimetres relate to one another.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""skill"": ""Convert measurements from metres to centimetres and vice versa"", ""reason"": ""Converting a map distance into a real-world distance using a scale factor depends on being able to convert between metric length units.""}]"
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Scale in Maps,Determine the new scale when a map is enlarged or reduced,[],"[""Apply a given scale to convert map distances into real-world distances""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Relationship between metre and centimetre (1 m = 100 cm)"", ""reason"": ""Converting map distances into real-world distances using a scale requires knowing how metres and centimetres relate to one another.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Reading and Interpreting Maps,Identify various features and landmarks shown on a given map,"[""Scale in Maps""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Map Reading and Spatial Orientation"", ""reason"": ""Interpreting features and layout on a map builds directly on the earlier introduction to reading maps and orienting oneself spatially.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter02_Hide_and_Seek"", ""concept"": ""Sight maps and locating places on a map"", ""reason"": ""Locating places and landmarks on a map depends on the prior skill of interpreting a sight map to find locations.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Reading and Interpreting Maps,Describe the layout of a place based on the map provided,"[""Scale in Maps""]","[""Identify various features and landmarks shown on a given map"", ""Interpret symbols and markings used in a map""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Map Reading and Spatial Orientation"", ""reason"": ""Interpreting features and layout on a map builds directly on the earlier introduction to reading maps and orienting oneself spatially.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter02_Hide_and_Seek"", ""concept"": ""Sight maps and locating places on a map"", ""reason"": ""Locating places and landmarks on a map depends on the prior skill of interpreting a sight map to find locations.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Reading and Interpreting Maps,Interpret symbols and markings used in a map,"[""Scale in Maps""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Map Reading and Spatial Orientation"", ""reason"": ""Interpreting features and layout on a map builds directly on the earlier introduction to reading maps and orienting oneself spatially.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter02_Hide_and_Seek"", ""concept"": ""Sight maps and locating places on a map"", ""reason"": ""Locating places and landmarks on a map depends on the prior skill of interpreting a sight map to find locations.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Reading and Interpreting Maps,Determine the relative position of one place with respect to another using the map,"[""Scale in Maps""]","[""Interpret symbols and markings used in a map"", ""Identify various features and landmarks shown on a given map""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter14_The_Surajkund_Fair"", ""concept"": ""Map Reading and Spatial Orientation"", ""reason"": ""Interpreting features and layout on a map builds directly on the earlier introduction to reading maps and orienting oneself spatially.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter02_Hide_and_Seek"", ""concept"": ""Sight maps and locating places on a map"", ""reason"": ""Locating places and landmarks on a map depends on the prior skill of interpreting a sight map to find locations.""}]",[]
CBSE,Maths,Grade 5,Chapter08_Mapping_Your_Way,Drawing Pictures with Different Scales,Construct a drawing of a given picture using a specified scale,"[""Scale in Maps""]","[""Apply a given scale to convert map distances into real-world distances""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Identifying and making 2D shapes (paper folding, cutting, dot grid, straight lines)"", ""reason"": ""Derived from skill prerequisite: 'Construct 2D shapes on a dot grid using straight lines' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Construct 2D shapes on a dot grid using straight lines"", ""reason"": ""Drawing a picture to a specified scale on squared/graph paper builds on the earlier skill of constructing shapes on a dot grid using straight lines.""}]"
