board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Effect of Force,Identify the effects of force on the state of motion or shape of an object,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Force causing change in motion"", ""reason"": ""The target concept generalises the idea, already introduced in Grade 8, that a force changes an object's state of motion.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Force causing change in shape"", ""reason"": ""Understanding that force can deform an object was established in Grade 8 and is directly reused when describing effects of force.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Predict the motion of an object when a force is applied versus when no force is applied"", ""reason"": ""This target skill extends the Grade 8 skill of predicting whether force changes an object's motion.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Predict the change in shape of a body that is not free to move when force is applied"", ""reason"": ""Recognising force-induced shape change, practised in Grade 8, is directly reused when identifying effects of force here.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Force as a Vector Quantity,Explain why direction must be specified along with magnitude for force,[],[],"[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Scalars and vectors"", ""reason"": ""Classifying force as a vector quantity requires already understanding the general distinction between scalar and vector quantities.""}]",[],[],[]
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Measuring the Magnitude of a Force,Describe how a spring balance measures the magnitude of a force,"[""SI Unit of Force""]","[""Identify the SI unit of force and state its symbol""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Spring balance and its use"", ""reason"": ""The spring balance as a force-measuring tool was introduced in Grade 8 and is the same instrument used to measure force magnitude here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Measure weight of objects using a spring balance"", ""reason"": ""Using a spring balance to measure weight in Grade 8 is the specific hands-on basis for describing how it measures force magnitude.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Balanced and Unbalanced Forces,Differentiate between balanced and unbalanced forces using real-life examples,"[""Effect of Force""]",[],"[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Uniform and Non-uniform Motion"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between uniform and non-uniform motion using given data' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Distinguish between uniform and non-uniform motion using given data"", ""reason"": ""Balanced forces correspond to unchanged (uniform) motion and unbalanced forces to changing motion, so distinguishing these motion types is needed first.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Combination of forces"", ""reason"": ""Combining multiple forces acting on a body, taught in Grade 8, is the foundation for classifying forces as balanced or unbalanced.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Analyse the motion of an object when forces act in the same and opposite directions"", ""reason"": ""This target skill builds on the Grade 8 skill of analysing motion when forces act together or oppositely.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Balanced and Unbalanced Forces,Predict the change in motion of a body when unbalanced forces act on it,"[""Effect of Force""]","[""Differentiate between balanced and unbalanced forces using real-life examples""]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Uniform and Non-uniform Motion"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between uniform and non-uniform motion using given data' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Distinguish between uniform and non-uniform motion using given data"", ""reason"": ""Predicting how unbalanced force changes motion requires already being able to recognise the difference between uniform and non-uniform motion.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Combination of forces"", ""reason"": ""Combining multiple forces acting on a body, taught in Grade 8, is the foundation for classifying forces as balanced or unbalanced.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Analyse the motion of an object when forces act in the same and opposite directions"", ""reason"": ""Predicting motion change under unbalanced forces requires the Grade 8 skill of analysing motion resulting from combined forces.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Net Force,Examine forces acting on a body to determine the resultant force,"[""Balanced and Unbalanced Forces"", ""Force as a Vector Quantity"", ""Newton's First Law of Motion and Inertia""]",[],"[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Scalars and vectors"", ""reason"": ""Derived from skill prerequisite: 'Classify physical quantities of motion as scalar or vector' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Velocity-Time Graph"", ""reason"": ""Derived from skill prerequisite: 'Interpret a velocity-time graph to determine acceleration' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Slope of position-time and velocity-time graphs"", ""reason"": ""Derived from skill prerequisite: 'Interpret the shape of a position-time graph to identify constant or changing velocity' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Classify physical quantities of motion as scalar or vector"", ""reason"": ""Determining a resultant force from multiple forces requires knowing that forces are vectors that combine by vector rules, a distinction taught when classifying scalar and vector quantities.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Combination of forces"", ""reason"": ""Finding the net force requires the Grade 8 skill of combining two or more forces acting on an object.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Distance-time graph interpretation"", ""reason"": ""Derived from skill prerequisite: 'Interpret the shape of a distance-time graph to describe the type of motion' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Calculate the resultant of two forces acting on an object in the same and opposite directions"", ""reason"": ""This target skill directly extends the Grade 8 procedure for calculating the resultant of two forces.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Net Force,Interpret position-time and velocity-time graphs for objects with zero net force,"[""Balanced and Unbalanced Forces"", ""Force as a Vector Quantity"", ""Newton's First Law of Motion and Inertia""]","[""Examine forces acting on a body to determine the resultant force"", ""Identify examples that illustrate Newton's first law of motion and inertia""]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Scalars and vectors"", ""reason"": ""Derived from skill prerequisite: 'Classify physical quantities of motion as scalar or vector' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Velocity-Time Graph"", ""reason"": ""Derived from skill prerequisite: 'Interpret a velocity-time graph to determine acceleration' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Slope of position-time and velocity-time graphs"", ""reason"": ""Derived from skill prerequisite: 'Interpret the shape of a position-time graph to identify constant or changing velocity' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Interpret a velocity-time graph to determine acceleration"", ""reason"": ""Recognising zero net force from a velocity-time graph requires first being able to read acceleration off such a graph.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Interpret the shape of a position-time graph to identify constant or changing velocity"", ""reason"": ""Identifying zero net force from a position-time graph requires already being able to interpret the graph's shape in terms of constant or changing velocity.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Combination of forces"", ""reason"": ""Finding the net force requires the Grade 8 skill of combining two or more forces acting on an object.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Distance-time graph interpretation"", ""reason"": ""Derived from skill prerequisite: 'Interpret the shape of a distance-time graph to describe the type of motion' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Interpret the shape of a distance-time graph to describe the type of motion"", ""reason"": ""Reading motion type from a distance-time graph, learned in Grade 7, is the foundational graph-interpretation skill extended here to position-time and velocity-time graphs.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Friction,Determine the impact of frictional force on the motion of an object,"[""Effect of Force""]","[""Describe how the force of friction depends on the nature of surfaces in contact""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Friction as contact force"", ""reason"": ""The basic notion that friction arises from contact between surfaces was established in Grade 8 and underlies its treatment as a force here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Friction as opposing force"", ""reason"": ""Recognising friction as opposing relative motion, taught in Grade 8, is assumed when analysing friction's role in motion in this chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Factors affecting friction"", ""reason"": ""Knowledge of what determines the magnitude of friction, from Grade 8, is directly built upon in this chapter's treatment of friction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Friction and surface texture"", ""reason"": ""The Grade 8 idea that surface roughness affects friction is the specific basis for discussing surface dependence of friction here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Explain why it is easier to move an object on a smooth surface compared to a rough surface"", ""reason"": ""The Grade 8 reasoning about friction's effect on ease of motion is the direct basis for analysing its impact on motion in this chapter.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Friction,Describe how the force of friction depends on the nature of surfaces in contact,"[""Effect of Force""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Friction as contact force"", ""reason"": ""The basic notion that friction arises from contact between surfaces was established in Grade 8 and underlies its treatment as a force here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Friction as opposing force"", ""reason"": ""Recognising friction as opposing relative motion, taught in Grade 8, is assumed when analysing friction's role in motion in this chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Factors affecting friction"", ""reason"": ""Knowledge of what determines the magnitude of friction, from Grade 8, is directly built upon in this chapter's treatment of friction.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Friction and surface texture"", ""reason"": ""The Grade 8 idea that surface roughness affects friction is the specific basis for discussing surface dependence of friction here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Identify the factors that cause friction between two bodies moving relative to each other"", ""reason"": ""Identifying the factors causing friction, taught in Grade 8, is the specific basis for describing how surface nature affects friction here.""}]"
CBSE,Science,Grade 9,Chapter06_How_Forces_Affect_Motion,Newton's First Law of Motion and Inertia,Identify examples that illustrate Newton's first law of motion and inertia,"[""Balanced and Unbalanced Forces"", ""Net Force""]",[],"[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Uniform and Non-uniform Motion"", ""reason"": ""The first law describes bodies remaining in uniform motion or at rest unless acted on by force, which requires already knowing what uniform motion means.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Distinguish between uniform and non-uniform motion using given data"", ""reason"": ""Recognising examples of the first law requires already being able to identify whether an object's motion is uniform or changing.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Force causing change in motion"", ""reason"": ""Derived from skill prerequisite: 'Predict the motion of an object when a force is applied versus when no force is applied' (in Grade 8/Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Difference between mass and weight"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between mass and weight' (in Grade 8/Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Predict the motion of an object when a force is applied versus when no force is applied"", ""reason"": ""Recognising that an object's motion state does not change without applied force, from Grade 8, is the direct precursor to understanding inertia.""}]"
