board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Types of Fractions,Define proper fractions and identify examples from a given set of fractions,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Proper Fractions"", ""reason"": ""Grade 7 classification of fraction types assumes the student already knows how a proper fraction is defined by comparing numerator and denominator.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Improper and Mixed Fractions"", ""reason"": ""Classifying fractions as improper or mixed in Grade 7 builds directly on the definitions and conversions already established for these fraction types.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Identify a fraction as proper by comparing numerator and denominator"", ""reason"": ""Grade 7 asks students to identify proper fractions, which requires the numerator-denominator comparison rule already taught in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Types of Fractions,Define improper fractions and identify examples from a given set of fractions,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Proper Fractions"", ""reason"": ""Grade 7 classification of fraction types assumes the student already knows how a proper fraction is defined by comparing numerator and denominator.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Improper and Mixed Fractions"", ""reason"": ""Classifying fractions as improper or mixed in Grade 7 builds directly on the definitions and conversions already established for these fraction types.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Identify an improper fraction by comparing numerator and denominator"", ""reason"": ""Identifying improper fractions in Grade 7 relies on the same numerator-denominator comparison technique introduced in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Types of Fractions,Define mixed fractions and identify examples from a given set of fractions,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Proper Fractions"", ""reason"": ""Grade 7 classification of fraction types assumes the student already knows how a proper fraction is defined by comparing numerator and denominator.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Improper and Mixed Fractions"", ""reason"": ""Classifying fractions as improper or mixed in Grade 7 builds directly on the definitions and conversions already established for these fraction types.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Represent a mixed fraction as a combination of a whole and a part"", ""reason"": ""Recognising mixed fractions in Grade 7 depends on understanding a mixed fraction as a whole-plus-part combination, taught in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Types of Fractions,"Distinguish between proper, improper, and mixed fractions and classify a given fraction into its correct type",[],"[""Define proper fractions and identify examples from a given set of fractions"", ""Define improper fractions and identify examples from a given set of fractions"", ""Define mixed fractions and identify examples from a given set of fractions""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Proper Fractions"", ""reason"": ""Grade 7 classification of fraction types assumes the student already knows how a proper fraction is defined by comparing numerator and denominator.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Improper and Mixed Fractions"", ""reason"": ""Classifying fractions as improper or mixed in Grade 7 builds directly on the definitions and conversions already established for these fraction types.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Identify a fraction as proper by comparing numerator and denominator"", ""reason"": ""Classifying a fraction's type requires the basic proper-fraction identification rule established in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Identify an improper fraction by comparing numerator and denominator"", ""reason"": ""Classifying a fraction's type requires the basic improper-fraction identification rule established in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Equivalent Fractions,Multiply or divide the numerator and denominator by the same non-zero number to generate equivalent fractions,"[""Types of Fractions""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Equivalent Fractions"", ""reason"": ""The Grade 7 treatment of equivalent fractions (used for simplifying multiplication/division results) assumes the concept of equivalence introduced in Grade 6.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Calculate equivalent fractions by multiplying numerator and denominator by the same number"", ""reason"": ""This is the exact equivalent-fraction generation technique already taught in Grade 6 that Grade 7 assumes.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Calculate equivalent fractions by dividing numerator and denominator by the same number"", ""reason"": ""Generating equivalent fractions by division of numerator and denominator was already taught in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Equivalent Fractions,Verify whether two given fractions are equivalent by cross-multiplying or simplifying,"[""Types of Fractions""]","[""Multiply or divide the numerator and denominator by the same non-zero number to generate equivalent fractions""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Equivalent Fractions"", ""reason"": ""The Grade 7 treatment of equivalent fractions (used for simplifying multiplication/division results) assumes the concept of equivalence introduced in Grade 6.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Apply cross multiplication to verify whether two fractions are equivalent"", ""reason"": ""This Grade 7 skill directly reuses the cross-multiplication equivalence check taught in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Comparing Fractions,Convert unlike fractions into like fractions by finding a common denominator,"[""Equivalent Fractions""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Comparing Fractions"", ""reason"": ""Ordering unlike fractions in Grade 7 requires the fraction comparison techniques first introduced in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Like Fractions"", ""reason"": ""Converting fractions to like fractions before comparison depends on recognising like fractions, a concept taught in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Addition and Subtraction of Fractions"", ""reason"": ""Derived from skill prerequisite: 'Convert unlike fractions into equivalent fractions with a common denominator' (in Grade 6/Chapter07_Fractions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Convert unlike fractions into equivalent fractions with a common denominator"", ""reason"": ""This is the identical common-denominator conversion procedure already established in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Comparing Fractions,Compare two or more unlike fractions after converting them to like fractions and order them from least to greatest,"[""Equivalent Fractions""]","[""Convert unlike fractions into like fractions by finding a common denominator""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Comparing Fractions"", ""reason"": ""Ordering unlike fractions in Grade 7 requires the fraction comparison techniques first introduced in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Like Fractions"", ""reason"": ""Converting fractions to like fractions before comparison depends on recognising like fractions, a concept taught in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Addition and Subtraction of Fractions"", ""reason"": ""Derived from skill prerequisite: 'Convert unlike fractions into equivalent fractions with a common denominator' (in Grade 6/Chapter07_Fractions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Determine the ascending or descending order of a group of fractions"", ""reason"": ""Ordering fractions in Grade 7 builds on the fraction-ordering procedure already practiced in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Calculate the LCM of denominators to compare unlike fractions"", ""reason"": ""Comparing unlike fractions requires finding the LCM of denominators, a technique taught in Grade 6.""}]"
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Multiplication of a Fraction by a Whole Number,Interpret multiplication of a fraction by a whole number as repeated addition and represent it on a number line,"[""Types of Fractions""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Improper and Mixed Fractions"", ""reason"": ""Derived from skill prerequisite: 'Convert a mixed fraction into an improper fraction' (in Grade 6/Chapter07_Fractions) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 7,Chapter2_Fractions_And_Decimals,Multiplication of a Fraction by a Whole Number,Convert a mixed fraction to an improper fraction before multiplying with a whole number,"[""Types of Fractions""]","[""Define mixed fractions and identify examples from a given set of fractions"", ""Define improper fractions and identify examples from a given set of fractions""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Improper and Mixed Fractions"", ""reason"": ""Derived from skill prerequisite: 'Convert a mixed fraction into an improper fraction' (in Grade 6/Chapter07_Fractions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Convert a mixed fraction into an improper fraction"", ""reason"": ""This exact conversion procedure is a prerequisite step and was already taught in Grade 6.""}]"
