board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Estimating and measuring volume of liquids (litres and millilitres),Identify appropriate units (litres or millilitres) for measuring liquid volume,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""Students must already know the litre as a standard capacity unit before learning to estimate and measure volume with litres and millilitres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""The estimate-then-measure-then-verify routine for volume directly extends this earlier estimation-verification practice with litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Half litre and quarter litre"", ""reason"": ""Understanding sub-litre quantities (half/quarter litre) is needed before working with finer litre-millilitre measurements.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Identify the 1-litre unit as a standard measure of capacity"", ""reason"": ""Choosing between litres and millilitres requires already knowing the litre as the standard capacity unit.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Estimating and measuring volume of liquids (litres and millilitres),Estimate the volume of a given liquid before measuring it,[],"[{""item"": ""Identify appropriate units (litres or millilitres) for measuring liquid volume"", ""reason"": ""A reasonable estimate requires knowing which unit (litres or millilitres) is appropriate for the liquid being measured.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""Students must already know the litre as a standard capacity unit before learning to estimate and measure volume with litres and millilitres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""The estimate-then-measure-then-verify routine for volume directly extends this earlier estimation-verification practice with litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Half litre and quarter litre"", ""reason"": ""Understanding sub-litre quantities (half/quarter litre) is needed before working with finer litre-millilitre measurements.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Estimate the capacity of an everyday object in litres before measuring"", ""reason"": ""This skill directly extends the earlier practice of estimating capacity in litres before measurement.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Estimating and measuring volume of liquids (litres and millilitres),Measure the volume of a liquid using a measuring vessel and verify the estimate,[],"[{""item"": ""Estimate the volume of a given liquid before measuring it"", ""reason"": ""Verifying an estimate requires having first made an estimate to check against the actual measurement.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""Students must already know the litre as a standard capacity unit before learning to estimate and measure volume with litres and millilitres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""The estimate-then-measure-then-verify routine for volume directly extends this earlier estimation-verification practice with litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Half litre and quarter litre"", ""reason"": ""Understanding sub-litre quantities (half/quarter litre) is needed before working with finer litre-millilitre measurements.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Verify an estimated capacity by measuring with a 1-litre container"", ""reason"": ""Verifying volume estimates with a measuring vessel builds directly on the earlier litre-based verification skill.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Estimating and measuring volume of liquids (litres and millilitres),Calculate the total volume of liquid by combining measurements from smaller containers,[],"[{""item"": ""Measure the volume of a liquid using a measuring vessel and verify the estimate"", ""reason"": ""Combining measurements requires already being able to measure the volume of each individual container.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""Students must already know the litre as a standard capacity unit before learning to estimate and measure volume with litres and millilitres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""The estimate-then-measure-then-verify routine for volume directly extends this earlier estimation-verification practice with litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Half litre and quarter litre"", ""reason"": ""Understanding sub-litre quantities (half/quarter litre) is needed before working with finer litre-millilitre measurements.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Estimate how many times a smaller vessel must be filled to fill a larger vessel"", ""reason"": ""Combining smaller container measurements to find a total volume relies on the earlier skill of relating smaller vessel fills to a larger vessel's capacity.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Comparing volume of different liquids,Compare the volumes of two or more liquids using measured values,"[{""item"": ""Estimating and measuring volume of liquids (litres and millilitres)"", ""reason"": ""Students must be able to measure liquid volumes accurately before they can compare measured values across containers.""}]","[{""item"": ""Measure the volume of a liquid using a measuring vessel and verify the estimate"", ""reason"": ""Comparing volumes needs actual measured values obtained through the measuring skill.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Volume conservation of liquids"", ""reason"": ""Comparing volumes across different containers requires knowing that liquid volume stays the same despite container shape.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""This chapter's comparison of volumes builds directly on the earlier practice of comparing capacities using a litre standard.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Compare the capacities of two or more everyday objects using 1 litre as the standard"", ""reason"": ""Comparing measured liquid volumes is a direct continuation of comparing capacities using a litre standard.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Comparing volume of different liquids,Order different liquid quantities from least to most volume,"[{""item"": ""Estimating and measuring volume of liquids (litres and millilitres)"", ""reason"": ""Students must be able to measure liquid volumes accurately before they can compare measured values across containers.""}]","[{""item"": ""Compare the volumes of two or more liquids using measured values"", ""reason"": ""Ordering multiple quantities requires being able to compare pairs of volumes first.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Volume conservation of liquids"", ""reason"": ""Comparing volumes across different containers requires knowing that liquid volume stays the same despite container shape.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""This chapter's comparison of volumes builds directly on the earlier practice of comparing capacities using a litre standard.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Compare the capacities of two or more everyday objects using 1 litre as the standard"", ""reason"": ""Ordering multiple liquid quantities depends on the pairwise capacity comparison skill learned earlier.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Comparing volume of different liquids,Explain the difference in volume between two containers using measured units,"[{""item"": ""Estimating and measuring volume of liquids (litres and millilitres)"", ""reason"": ""Students must be able to measure liquid volumes accurately before they can compare measured values across containers.""}]","[{""item"": ""Compare the volumes of two or more liquids using measured values"", ""reason"": ""Explaining the difference requires having already compared the two measured volumes.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Volume conservation of liquids"", ""reason"": ""Comparing volumes across different containers requires knowing that liquid volume stays the same despite container shape.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""This chapter's comparison of volumes builds directly on the earlier practice of comparing capacities using a litre standard.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Compare the capacities of two or more everyday objects using 1 litre as the standard"", ""reason"": ""Explaining volume differences numerically depends on the earlier capacity comparison skill.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Solving real-life problems based on volume of liquids,Convert a daily-life volume situation into a mathematical addition or subtraction problem,"[{""item"": ""Estimating and measuring volume of liquids (litres and millilitres)"", ""reason"": ""Word problems require knowing how volumes are measured and combined before they can be translated into calculations.""}, {""item"": ""Comparing volume of different liquids"", ""reason"": ""Many real-life volume problems involve comparing or ordering quantities, which relies on prior comparison skills.""}]","[{""item"": ""Calculate the total volume of liquid by combining measurements from smaller containers"", ""reason"": ""Translating a real situation into an equation relies on understanding how volumes combine numerically.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Addition and subtraction word problems involving capacity (litres)"", ""reason"": ""This target extends the same type of addition/subtraction volume word problems already introduced in litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Equal Sharing"", ""reason"": ""Derived from skill prerequisite: 'Divide a set of objects into equal parts among a given number of groups' (in Grade 3/Chapter8_Fair_Share) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Identify the addition or subtraction operation needed in a real-life capacity problem"", ""reason"": ""This skill is a direct extension of the earlier skill of choosing the correct operation for capacity problems.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Solving real-life problems based on volume of liquids,Solve word problems involving addition of liquid volumes,"[{""item"": ""Estimating and measuring volume of liquids (litres and millilitres)"", ""reason"": ""Word problems require knowing how volumes are measured and combined before they can be translated into calculations.""}, {""item"": ""Comparing volume of different liquids"", ""reason"": ""Many real-life volume problems involve comparing or ordering quantities, which relies on prior comparison skills.""}]","[{""item"": ""Convert a daily-life volume situation into a mathematical addition or subtraction problem"", ""reason"": ""Solving the word problem requires first converting the scenario into a mathematical addition statement.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Addition and subtraction word problems involving capacity (litres)"", ""reason"": ""This target extends the same type of addition/subtraction volume word problems already introduced in litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Equal Sharing"", ""reason"": ""Derived from skill prerequisite: 'Divide a set of objects into equal parts among a given number of groups' (in Grade 3/Chapter8_Fair_Share) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Solve simple daily life problems involving addition and subtraction of capacities in litres"", ""reason"": ""This target skill extends the earlier addition-based capacity word problems to combined volume problems.""}]"
CBSE,Maths,Grade 4,Chapter05_Sharing_and_Measuring,Solving real-life problems based on volume of liquids,Solve word problems involving subtraction of liquid volumes,"[{""item"": ""Estimating and measuring volume of liquids (litres and millilitres)"", ""reason"": ""Word problems require knowing how volumes are measured and combined before they can be translated into calculations.""}, {""item"": ""Comparing volume of different liquids"", ""reason"": ""Many real-life volume problems involve comparing or ordering quantities, which relies on prior comparison skills.""}]","[{""item"": ""Convert a daily-life volume situation into a mathematical addition or subtraction problem"", ""reason"": ""Solving the word problem requires first converting the scenario into a mathematical subtraction statement.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Addition and subtraction word problems involving capacity (litres)"", ""reason"": ""This target extends the same type of addition/subtraction volume word problems already introduced in litres.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Equal Sharing"", ""reason"": ""Derived from skill prerequisite: 'Divide a set of objects into equal parts among a given number of groups' (in Grade 3/Chapter8_Fair_Share) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Solve simple daily life problems involving addition and subtraction of capacities in litres"", ""reason"": ""This target skill extends the earlier subtraction-based capacity word problems to volume problems.""}]"
