board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter1_Number_Systems,"Natural numbers, whole numbers, integers, and rational numbers","Identify whether a given number belongs to natural numbers, whole numbers, integers, rational numbers, irrational numbers, or real numbers",[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""Classifying a number as rational within the real-number hierarchy requires already knowing the p/q definition of a rational number.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""concept"": ""Whole Numbers and Integers"", ""reason"": ""Distinguishing whole numbers from integers is assumed knowledge before extending the classification chain to rationals and reals.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Define rational numbers in the form p/q where q ≠ 0."", ""reason"": ""Recognising a number as rational within the classification requires the earlier p/q definition.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter1_Integers"", ""skill"": ""Differentiate between whole numbers and integers with concrete examples"", ""reason"": ""Correctly slotting a number into whole numbers versus integers depends on this earlier distinction.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Definition and properties of rational numbers,Define rational and irrational numbers using the p/q form,"[""Natural numbers, whole numbers, integers, and rational numbers""]","[""Identify whether a given number belongs to natural numbers, whole numbers, integers, rational numbers, irrational numbers, or real numbers""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""The Grade 9 treatment of rational number properties builds directly on the p/q definition first introduced here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Introduction to Rational Numbers"", ""reason"": ""Prior grounding in rational number properties (closure, identity) is assumed before deepening the definition in the number systems chapter.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Define rational numbers in the form p/q where q ≠ 0."", ""reason"": ""The Grade 9 definition of rational numbers directly reuses this earlier p/q formulation.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""skill"": ""Define a rational number in order to identify whether a given number is rational or not"", ""reason"": ""This earlier skill of testing rationality via p/q form underlies distinguishing rational from irrational numbers.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Definition and properties of rational numbers,Explain why zero is a rational number but not a natural number,"[""Natural numbers, whole numbers, integers, and rational numbers""]","[""Define rational and irrational numbers using the p/q form""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Definition of rational numbers"", ""reason"": ""The Grade 9 treatment of rational number properties builds directly on the p/q definition first introduced here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Introduction to Rational Numbers"", ""reason"": ""Prior grounding in rational number properties (closure, identity) is assumed before deepening the definition in the number systems chapter.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Define rational numbers in the form p/q where q ≠ 0."", ""reason"": ""Showing zero fits the p/q definition (0/1) requires already knowing this definition.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Equivalent rational numbers and co-prime representation,Identify equivalent rational numbers that represent the same p/q value,"[""Definition and properties of rational numbers""]","[""Define rational and irrational numbers using the p/q form""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Equivalent rational numbers"", ""reason"": ""Recognising that different p/q pairs represent the same value was already established in this chapter and is reused here.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Rational numbers in standard form"", ""reason"": ""Standard (lowest, co-prime) form of a rational number was taught here and is directly reused for co-prime representation.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Co-prime numbers"", ""reason"": ""Expressing a rational number with co-prime numerator and denominator requires knowing what makes two numbers co-prime.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Using prime factorisation to check co-primality"", ""reason"": ""Derived from skill prerequisite: 'Determine whether two numbers are co-prime using prime factorisation' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Generate equivalent rational numbers by multiplying or dividing the numerator and denominator by the same non-zero integer."", ""reason"": ""Recognising equivalent p/q representations directly reuses the multiply/divide procedure taught here.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Equivalent rational numbers and co-prime representation,Express a given rational number in its co-prime (lowest) p/q form,"[""Definition and properties of rational numbers""]","[""Identify equivalent rational numbers that represent the same p/q value""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Equivalent rational numbers"", ""reason"": ""Recognising that different p/q pairs represent the same value was already established in this chapter and is reused here.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Rational numbers in standard form"", ""reason"": ""Standard (lowest, co-prime) form of a rational number was taught here and is directly reused for co-prime representation.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Co-prime numbers"", ""reason"": ""Expressing a rational number with co-prime numerator and denominator requires knowing what makes two numbers co-prime.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Using prime factorisation to check co-primality"", ""reason"": ""Derived from skill prerequisite: 'Determine whether two numbers are co-prime using prime factorisation' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""Reduce a rational number to standard form."", ""reason"": ""Reducing to co-prime form is the same procedure as reducing to standard form taught earlier.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Determine whether two numbers are co-prime using prime factorisation"", ""reason"": ""Verifying that the numerator and denominator are co-prime requires this earlier prime-factorisation-based test.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Infinitely many rational numbers between any two rational numbers,Find rational numbers between any two given rational numbers,"[""Equivalent rational numbers and co-prime representation""]","[""Express a given rational number in its co-prime (lowest) p/q form""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Rational numbers between two rational numbers"", ""reason"": ""This concept extends the earlier idea of finding rational numbers between two given rationals to proving there are infinitely many.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Rational Numbers between Two Rational Numbers"", ""reason"": ""The Grade 8 treatment already establishes the density idea that the Grade 9 chapter formalises into a proof.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""skill"": ""List rational numbers between two given rational numbers."", ""reason"": ""This is the identical procedure of finding intermediate rationals already introduced in the earlier chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""skill"": ""Calculate rational numbers lying between any two given rational numbers"", ""reason"": ""The Grade 8 method for computing intermediate rational numbers is directly reused here.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Infinitely many rational numbers between any two rational numbers,Prove that there are infinite rational numbers between any two given rational numbers,"[""Equivalent rational numbers and co-prime representation""]","[""Find rational numbers between any two given rational numbers""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter8_Rational_Numbers"", ""concept"": ""Rational numbers between two rational numbers"", ""reason"": ""This concept extends the earlier idea of finding rational numbers between two given rationals to proving there are infinitely many.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Rational Numbers between Two Rational Numbers"", ""reason"": ""The Grade 8 treatment already establishes the density idea that the Grade 9 chapter formalises into a proof.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter1_Rational_Numbers"", ""skill"": ""Prove that there are infinite rational numbers between two given rational numbers"", ""reason"": ""This exact proof technique was already established in Grade 8 and is the basis for the Grade 9 restatement.""}]"
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Irrational numbers and their definition,Identify irrational numbers from a given set of numbers,"[""Definition and properties of rational numbers"", ""Infinitely many rational numbers between any two rational numbers""]","[""Define rational and irrational numbers using the p/q form""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Irrational numbers and their definition,Find irrational numbers between two given rational numbers,"[""Definition and properties of rational numbers"", ""Infinitely many rational numbers between any two rational numbers""]","[""Find rational numbers between any two given rational numbers"", ""Identify irrational numbers from a given set of numbers""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter1_Number_Systems,Real numbers as the collection of rational and irrational numbers,"Classify a given decimal expansion as terminating, non-terminating recurring, or non-terminating non-recurring","[""Irrational numbers and their definition"", ""Definition and properties of rational numbers"", ""Decimal expansions of rational numbers: terminating and non-terminating recurring""]","[""Determine the decimal expansion of a rational number by performing long division""]",[],[],[],[]
