board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Diversity of food and traditional dishes,Compare traditional home-cooked food with processed or packaged food,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Variety in Food Items"", ""reason"": ""Understanding that many different food items exist across regions is the foundation for exploring traditional dishes and regional diversity in Grade 4.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Food Habits in Different Regions"", ""reason"": ""Recognising that food habits differ by region prepares students to study specific traditional dishes tied to those regions.""}]",[]
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Six tastes (Shad Rasa) in Ayurveda,"Identify food items belonging to sweet, sour, salty, pungent, bitter and astringent tastes","[""Diversity of food and traditional dishes""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Different Tastes of Food"", ""reason"": ""Students must already recognise that foods have different tastes like sweet, sour and bitter before learning the six-taste Ayurvedic classification.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Identify different tastes found in food items such as sweet, sour, spicy and bitter"", ""reason"": ""This skill builds directly on the earlier ability to identify basic taste categories in food, extending it to the full set of six Ayurvedic tastes.""}]"
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Six tastes (Shad Rasa) in Ayurveda,Explain the concept of shad rasa and its importance in Ayurveda,"[""Diversity of food and traditional dishes""]","[""Identify food items belonging to sweet, sour, salty, pungent, bitter and astringent tastes""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Different Tastes of Food"", ""reason"": ""Students must already recognise that foods have different tastes like sweet, sour and bitter before learning the six-taste Ayurvedic classification.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Identify different tastes found in food items such as sweet, sour, spicy and bitter"", ""reason"": ""Recognising and naming basic tastes in food is a prerequisite for understanding the Ayurvedic classification of six tastes.""}]"
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Millets as super food,Explain why a variety of food is necessary for a healthy body,"[""Food groups - energy giving, body building and protective foods""]","[""Classify food items into energy-giving, body-building and protective food groups""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Balanced Diet and Healthy Eating"", ""reason"": ""Derived from skill prerequisite: 'Explain how eating varied and home-cooked food contributes to good health' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Explain how eating varied and home-cooked food contributes to good health"", ""reason"": ""The Grade 3 skill already establishes the link between eating varied food and good health, which this target skill builds upon and elaborates.""}]"
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,"Food groups - energy giving, body building and protective foods","Classify food items into energy-giving, body-building and protective food groups",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Balanced Diet and Healthy Eating"", ""reason"": ""The idea that a diet needs a mix of foods for health, taught in Grade 3, underlies the more specific classification into energy-giving, body-building and protective foods.""}]",[]
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,"Food groups - energy giving, body building and protective foods",Design a food collage classifying food items into food groups,[],"[""Classify food items into energy-giving, body-building and protective food groups""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Balanced Diet and Healthy Eating"", ""reason"": ""The idea that a diet needs a mix of foods for health, taught in Grade 3, underlies the more specific classification into energy-giving, body-building and protective foods.""}]",[]
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Junk food and its harmful effects,Identify junk food items and explain why they should be avoided,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Balanced food plate,Describe the components of a balanced food plate,"[""Food groups - energy giving, body building and protective foods""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Balanced Diet and Healthy Eating"", ""reason"": ""Derived from skill prerequisite: 'Describe the importance of a balanced diet for health' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Describe the importance of a balanced diet for health"", ""reason"": ""Understanding why a balanced diet matters is necessary before describing the specific components that make up a balanced food plate.""}]"
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Regional food thali,List food items from a regional food thali,"[""Diversity of food and traditional dishes""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Food Habits in Different Regions"", ""reason"": ""Knowing that different regions have distinct food habits is needed before identifying the specific dishes that make up a regional thali.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Compare food habits across different regions and countries"", ""reason"": ""Awareness that food habits vary by region is required before students can identify the specific items forming a regional thali.""}]"
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Importance of water for health,Explain the role of water in maintaining good health,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Importance of Drinking Water"", ""reason"": ""The basic idea that drinking water matters for the body, established in Grade 3, is the foundation for explaining water's broader role in health in Grade 4.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Explain why the body needs water, especially in summer"", ""reason"": ""The basic understanding of why the body needs water underlies the more detailed explanation of water's role in overall health.""}]"
CBSE,Environmental Science,Grade 4,Chapter05_Food_for_Health,Methods of cooking food,Identify different methods used to cook various food items,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Methods of Cooking"", ""reason"": ""Students already learned that food can be prepared using different cooking methods, which is directly extended in the Grade 4 chapter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Identify food items prepared using different methods of cooking"", ""reason"": ""This is a direct extension of the earlier skill of recognising that different foods are prepared using different cooking methods.""}]"
