board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,Thermometers,"Distinguish clinical thermometer from laboratory thermometer based on range, least count, and units of measurement",[],"[""Measure the temperature of a substance using a thermometer""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Types of Thermometers"", ""reason"": ""The target chapter assumes students already know what clinical and laboratory thermometers are before discussing their precautions and roles in heat-related activities.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Concept of Temperature"", ""reason"": ""Understanding what temperature is and how it is defined is needed before using thermometers to study heat transfer.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Digital Clinical Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions for using a digital clinical thermometer such as not biting it or removing it too early' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions to be taken while handling a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Application of Temperature Measurement"", ""reason"": ""Derived from skill prerequisite: 'Select an appropriate thermometer for a given real-life situation' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""skill"": ""Differentiate between a clinical thermometer and a laboratory thermometer based on their range and use"", ""reason"": ""The target skill extends this earlier-taught basic distinction between the two thermometer types to include least count and units.""}]"
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,Thermometers,List precautions to observe while using a clinical thermometer,[],"[""Measure the temperature of a substance using a thermometer""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Types of Thermometers"", ""reason"": ""The target chapter assumes students already know what clinical and laboratory thermometers are before discussing their precautions and roles in heat-related activities.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Concept of Temperature"", ""reason"": ""Understanding what temperature is and how it is defined is needed before using thermometers to study heat transfer.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Digital Clinical Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions for using a digital clinical thermometer such as not biting it or removing it too early' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions to be taken while handling a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Application of Temperature Measurement"", ""reason"": ""Derived from skill prerequisite: 'Select an appropriate thermometer for a given real-life situation' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""skill"": ""List the precautions for using a digital clinical thermometer such as not biting it or removing it too early"", ""reason"": ""The target skill directly builds on the precautions for clinical thermometers already introduced in Grade 6.""}]"
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,Thermometers,List precautions to observe while using a laboratory thermometer,[],"[""Measure the temperature of a substance using a thermometer""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Types of Thermometers"", ""reason"": ""The target chapter assumes students already know what clinical and laboratory thermometers are before discussing their precautions and roles in heat-related activities.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Concept of Temperature"", ""reason"": ""Understanding what temperature is and how it is defined is needed before using thermometers to study heat transfer.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Digital Clinical Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions for using a digital clinical thermometer such as not biting it or removing it too early' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions to be taken while handling a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Application of Temperature Measurement"", ""reason"": ""Derived from skill prerequisite: 'Select an appropriate thermometer for a given real-life situation' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""skill"": ""List the precautions to be taken while handling a laboratory thermometer"", ""reason"": ""The target skill directly extends the precautions for laboratory thermometers already taught in Grade 6.""}]"
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,Thermometers,Explain the role of a kink in a clinical thermometer,[],"[""Measure the temperature of a substance using a thermometer""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Types of Thermometers"", ""reason"": ""The target chapter assumes students already know what clinical and laboratory thermometers are before discussing their precautions and roles in heat-related activities.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Concept of Temperature"", ""reason"": ""Understanding what temperature is and how it is defined is needed before using thermometers to study heat transfer.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Digital Clinical Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions for using a digital clinical thermometer such as not biting it or removing it too early' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions to be taken while handling a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Application of Temperature Measurement"", ""reason"": ""Derived from skill prerequisite: 'Select an appropriate thermometer for a given real-life situation' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,Thermometers,Justify the need for using laboratory thermometers during experiments,[],"[""Measure the temperature of a substance using a thermometer""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Types of Thermometers"", ""reason"": ""The target chapter assumes students already know what clinical and laboratory thermometers are before discussing their precautions and roles in heat-related activities.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Concept of Temperature"", ""reason"": ""Understanding what temperature is and how it is defined is needed before using thermometers to study heat transfer.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Digital Clinical Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions for using a digital clinical thermometer such as not biting it or removing it too early' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions to be taken while handling a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Application of Temperature Measurement"", ""reason"": ""Derived from skill prerequisite: 'Select an appropriate thermometer for a given real-life situation' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""skill"": ""Select an appropriate thermometer for a given real-life situation"", ""reason"": ""Justifying why a laboratory thermometer suits an experiment depends on the earlier-established skill of choosing the appropriate thermometer for a situation.""}]"
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,Thermometers,Measure the temperature of a substance using a thermometer,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Types of Thermometers"", ""reason"": ""The target chapter assumes students already know what clinical and laboratory thermometers are before discussing their precautions and roles in heat-related activities.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Concept of Temperature"", ""reason"": ""Understanding what temperature is and how it is defined is needed before using thermometers to study heat transfer.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Digital Clinical Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions for using a digital clinical thermometer such as not biting it or removing it too early' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Precautions for Using a Laboratory Thermometer"", ""reason"": ""Derived from skill prerequisite: 'List the precautions to be taken while handling a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Application of Temperature Measurement"", ""reason"": ""Derived from skill prerequisite: 'Select an appropriate thermometer for a given real-life situation' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Measuring Temperature of Different Substances"", ""reason"": ""Derived from skill prerequisite: 'Measure the temperature of a given liquid using a laboratory thermometer' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""skill"": ""Measure the temperature of a given liquid using a laboratory thermometer"", ""reason"": ""The target skill directly builds on the earlier-taught procedure for measuring temperature with a laboratory thermometer.""}]"
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,"Modes of heat transfer - Conduction, Convection and Radiation",Devise an activity to demonstrate the rate of thermal conduction,"[""Thermometers"", ""Good and poor conductors of heat (insulators)""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Predicting Outcomes of Temperature Experiments"", ""reason"": ""Derived from skill prerequisite: 'Predict outcomes of temperature-related experiments before observing them' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,"Modes of heat transfer - Conduction, Convection and Radiation",Devise an activity to demonstrate the rate of thermal convection,"[""Thermometers"", ""Good and poor conductors of heat (insulators)""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Predicting Outcomes of Temperature Experiments"", ""reason"": ""Derived from skill prerequisite: 'Predict outcomes of temperature-related experiments before observing them' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,"Modes of heat transfer - Conduction, Convection and Radiation",Devise an activity to demonstrate the rate of thermal radiation,"[""Thermometers"", ""Good and poor conductors of heat (insulators)""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Predicting Outcomes of Temperature Experiments"", ""reason"": ""Derived from skill prerequisite: 'Predict outcomes of temperature-related experiments before observing them' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 7,Chapter07_Heat_Transfer_in_Nature,"Modes of heat transfer - Conduction, Convection and Radiation",Describe conduction based on observations of heating and cooling of objects,"[""Thermometers"", ""Good and poor conductors of heat (insulators)""]","[""Measure the temperature of a substance using a thermometer""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Temperature_And_Its_Measurement"", ""concept"": ""Predicting Outcomes of Temperature Experiments"", ""reason"": ""Derived from skill prerequisite: 'Predict outcomes of temperature-related experiments before observing them' (in Grade 6/Chapter07_Temperature_And_Its_Measurement) is a prerequisite of a skill under this concept.""}]",[]
