board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Addition of Money,Identify the amounts to be added in a money-based word problem,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of adding money amounts to combined rupee-and-paise totals and two-step contexts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Addition of Money,Calculate the total amount by adding sums of money in rupees and paise,[],"[""Identify the amounts to be added in a money-based word problem""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of adding money amounts to combined rupee-and-paise totals and two-step contexts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""State the relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Adding amounts expressed in both rupees and paise requires already knowing the paise-to-rupee conversion to combine the units correctly.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Adding money totals that require carrying between columns depends on the previously learned vertical addition-with-regrouping algorithm.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Addition of Money,Apply regrouping while adding amounts of money when needed,[],"[""Calculate the total amount by adding sums of money in rupees and paise""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of adding money amounts to combined rupee-and-paise totals and two-step contexts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Regrouping while adding money amounts is the same carrying technique already taught for adding two-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Addition of Money,Solve daily life problems involving addition of money at a class party,[],"[""Identify the amounts to be added in a money-based word problem"", ""Calculate the total amount by adding sums of money in rupees and paise"", ""Apply regrouping while adding amounts of money when needed""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of adding money amounts to combined rupee-and-paise totals and two-step contexts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Solve word problems involving addition of money amounts"", ""reason"": ""Solving class-party money addition problems builds directly on the earlier practice of solving addition-of-money word problems.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Subtraction of Money,Identify the amounts to be subtracted in a money-based word problem,"[""Addition of Money""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of subtracting money amounts to combined rupee-and-paise totals and finding change.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving subtraction of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Subtraction of Money,Calculate the difference between two amounts of money in rupees and paise,"[""Addition of Money""]","[""Identify the amounts to be subtracted in a money-based word problem""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of subtracting money amounts to combined rupee-and-paise totals and finding change.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving subtraction of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""State the relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Subtracting amounts given in rupees and paise requires prior knowledge of the paise-to-rupee conversion to align the units.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Finding the difference between money amounts that require borrowing depends on the previously learned vertical subtraction-with-regrouping algorithm.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Subtraction of Money,Apply regrouping while subtracting amounts of money when needed,"[""Addition of Money""]","[""Calculate the difference between two amounts of money in rupees and paise""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of subtracting money amounts to combined rupee-and-paise totals and finding change.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving subtraction of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Regrouping (borrowing) while subtracting money amounts is the same technique already taught for subtracting two-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Subtraction of Money,"Solve daily life problems involving subtraction of money, such as finding change","[""Addition of Money""]","[""Identify the amounts to be subtracted in a money-based word problem"", ""Calculate the difference between two amounts of money in rupees and paise"", ""Apply regrouping while subtracting amounts of money when needed""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The target extends this earlier concept of subtracting money amounts to combined rupee-and-paise totals and finding change.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Relationship between paise and rupees (100 paise = 1 Rupee)"", ""reason"": ""Derived from skill prerequisite: 'State the relationship between paise and rupees (100 paise = 1 Rupee)' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving subtraction of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Solve word problems involving subtraction of money amounts"", ""reason"": ""Solving class-party money subtraction problems builds directly on the earlier practice of solving subtraction-of-money word problems.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Calculate the money left after spending from a given amount using subtraction"", ""reason"": ""Finding change is the same operation as calculating money left after spending, taught earlier.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Two-step problems involving money,Distinguish the two operations needed to solve a two-step money problem,"[""Addition of Money"", ""Subtraction of Money""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Real-Life Problems Involving Both Addition and Subtraction of 2-digit Numbers"", ""reason"": ""Solving a two-step money problem requires the prior ability to work through real-life problems that need both addition and subtraction in sequence.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""Derived from skill prerequisite: 'Calculate the money left after spending from a given amount using subtraction' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""concept"": ""Multi-step word problems involving addition and subtraction"", ""reason"": ""Derived from skill prerequisite: 'Explain the steps used to solve a two-operation word problem involving addition and subtraction' (in Grade 1/Chapter 6) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Determine whether addition, subtraction, or both operations are needed to solve the problem"", ""reason"": ""Deciding which operations a two-step money problem needs relies on the earlier-taught skill of identifying whether addition, subtraction, or both are required.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Two-step problems involving money,Determine the sequence of addition and subtraction steps required to solve the problem,"[""Addition of Money"", ""Subtraction of Money""]","[""Distinguish the two operations needed to solve a two-step money problem""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Real-Life Problems Involving Both Addition and Subtraction of 2-digit Numbers"", ""reason"": ""Solving a two-step money problem requires the prior ability to work through real-life problems that need both addition and subtraction in sequence.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""Derived from skill prerequisite: 'Calculate the money left after spending from a given amount using subtraction' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""concept"": ""Multi-step word problems involving addition and subtraction"", ""reason"": ""Derived from skill prerequisite: 'Explain the steps used to solve a two-operation word problem involving addition and subtraction' (in Grade 1/Chapter 6) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""skill"": ""Explain the steps used to solve a two-operation word problem involving addition and subtraction"", ""reason"": ""Sequencing the addition and subtraction steps of a money problem builds directly on the earlier skill of explaining the step order in two-operation word problems.""}]"
CBSE,Maths,Grade 3,Chapter10_Fun_at_the_Class_Party,Two-step problems involving money,Calculate the final amount by performing both steps of addition and subtraction of money,"[""Addition of Money"", ""Subtraction of Money""]","[""Determine the sequence of addition and subtraction steps required to solve the problem"", ""Calculate the total amount by adding sums of money in rupees and paise"", ""Calculate the difference between two amounts of money in rupees and paise""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Real-Life Problems Involving Both Addition and Subtraction of 2-digit Numbers"", ""reason"": ""Solving a two-step money problem requires the prior ability to work through real-life problems that need both addition and subtraction in sequence.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""Derived from skill prerequisite: 'Calculate the money left after spending from a given amount using subtraction' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""concept"": ""Multi-step word problems involving addition and subtraction"", ""reason"": ""Derived from skill prerequisite: 'Explain the steps used to solve a two-operation word problem involving addition and subtraction' (in Grade 1/Chapter 6) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""skill"": ""Solve multi-step word problems involving both addition and subtraction"", ""reason"": ""Carrying out both steps to reach a final money amount builds directly on the earlier ability to solve multi-step addition-and-subtraction word problems.""}]"
