board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Work Done by a Force,Calculate the work done on an object when a force is applied at different angles to displacement,"[""Conditions for Work""]","[""Define work done by a constant force""]","[{""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""concept"": ""Force as a Vector Quantity"", ""reason"": ""Work depends on the component of force along the displacement (F·d·cosθ), so students must first understand that force has both magnitude and direction.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Distance and Displacement"", ""reason"": ""Work is defined using the displacement produced by the force, not the total distance travelled, so distinguishing the two is needed before defining work.""}]","[{""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""skill"": ""Explain why direction must be specified along with magnitude for force"", ""reason"": ""Calculating work at an angle requires knowing that force has a direction that may not align with displacement, taking only its component along displacement.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Force as push or pull"", ""reason"": ""Defining work as the product of force and displacement requires already understanding force itself as a push or pull acting on an object.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""SI unit of force (newton)"", ""reason"": ""Derived from skill prerequisite: 'Identify the newton as the unit used to express the magnitude of a given force value' (in Grade 8/Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Identify the newton as the unit used to express the magnitude of a given force value"", ""reason"": ""Computing work requires expressing the applied force quantitatively in newtons, a skill established in the earlier forces chapter.""}]"
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Work Done by a Force,"Determine whether work done is positive, negative, or zero for a given situation","[""Conditions for Work""]","[""Define work done by a constant force""]","[{""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""concept"": ""Force as a Vector Quantity"", ""reason"": ""Work depends on the component of force along the displacement (F·d·cosθ), so students must first understand that force has both magnitude and direction.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Distance and Displacement"", ""reason"": ""Work is defined using the displacement produced by the force, not the total distance travelled, so distinguishing the two is needed before defining work.""}]","[{""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""skill"": ""Explain why direction must be specified along with magnitude for force"", ""reason"": ""Judging the sign of work depends on comparing the direction of the applied force with the direction of displacement, which requires treating force as a directional quantity.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Force as push or pull"", ""reason"": ""Defining work as the product of force and displacement requires already understanding force itself as a push or pull acting on an object.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""SI unit of force (newton)"", ""reason"": ""Derived from skill prerequisite: 'Identify the newton as the unit used to express the magnitude of a given force value' (in Grade 8/Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Work Done by a Force,Define work done by a constant force,"[""Conditions for Work""]",[],"[{""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""concept"": ""Force as a Vector Quantity"", ""reason"": ""Work depends on the component of force along the displacement (F·d·cosθ), so students must first understand that force has both magnitude and direction.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Distance and Displacement"", ""reason"": ""Work is defined using the displacement produced by the force, not the total distance travelled, so distinguishing the two is needed before defining work.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Force as push or pull"", ""reason"": ""Defining work as the product of force and displacement requires already understanding force itself as a push or pull acting on an object.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""SI unit of force (newton)"", ""reason"": ""Derived from skill prerequisite: 'Identify the newton as the unit used to express the magnitude of a given force value' (in Grade 8/Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Positive and Negative Work Done,Classify examples of everyday activities as involving positive or negative work,"[""Work Done by a Force""]","[""Determine whether work done is positive, negative, or zero for a given situation""]",[],[],[],[]
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Conditions for Work,Judge whether work is done in a given situation according to the scientific definition of work,"[""Work Done by a Force""]","[""Define work done by a constant force""]",[],[],[],[]
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Force-Displacement Graph and Work Done,Interpret force-displacement graphs to determine work done,"[""Work Done by a Force""]","[""Define work done by a constant force""]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Area under velocity-time graph"", ""reason"": ""Finding work as the area under a force-displacement graph uses the same graph-area technique first learned for finding displacement from a velocity-time graph.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Calculate displacement from the area under a velocity-time graph"", ""reason"": ""Reading work as area under a force-displacement graph uses the same area-under-a-graph procedure first practiced with velocity-time graphs.""}]",[],[]
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Energy and Its Forms,Explain the concept of energy as the capacity to do work,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""What is Energy"", ""reason"": ""The formal classification and analysis of energy forms in Grade 9 builds on the basic notion of what energy is introduced in Grade 5.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Energy Chain"", ""reason"": ""Derived from skill prerequisite: 'Create an energy chain linking source, type and use of energy' (in Grade 5/Chapter07_Energy—How_Things_Work) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Effects of Energy"", ""reason"": ""Derived from skill prerequisite: 'Explain how energy makes things move, light up, produce sound and change temperature' (in Grade 5/Chapter07_Energy—How_Things_Work) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""skill"": ""Explain how energy makes things move, light up, produce sound and change temperature"", ""reason"": ""The formal definition of energy as capacity to do work builds on the earlier understanding that energy causes movement and other effects.""}]"
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Energy and Its Forms,Classify different forms of energy,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""What is Energy"", ""reason"": ""The formal classification and analysis of energy forms in Grade 9 builds on the basic notion of what energy is introduced in Grade 5.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Energy Chain"", ""reason"": ""Derived from skill prerequisite: 'Create an energy chain linking source, type and use of energy' (in Grade 5/Chapter07_Energy—How_Things_Work) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Effects of Energy"", ""reason"": ""Derived from skill prerequisite: 'Explain how energy makes things move, light up, produce sound and change temperature' (in Grade 5/Chapter07_Energy—How_Things_Work) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""skill"": ""Identify different forms of energy such as heat, light, sound and movement"", ""reason"": ""The Grade 9 classification of energy forms directly extends the earlier identification of heat, light, sound and movement as energy forms.""}]"
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Energy and Its Forms,Explain conversion of energy from one form to another,[],"[""Explain the concept of energy as the capacity to do work"", ""Classify different forms of energy""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""What is Energy"", ""reason"": ""The formal classification and analysis of energy forms in Grade 9 builds on the basic notion of what energy is introduced in Grade 5.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Energy Chain"", ""reason"": ""Derived from skill prerequisite: 'Create an energy chain linking source, type and use of energy' (in Grade 5/Chapter07_Energy—How_Things_Work) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""concept"": ""Effects of Energy"", ""reason"": ""Derived from skill prerequisite: 'Explain how energy makes things move, light up, produce sound and change temperature' (in Grade 5/Chapter07_Energy—How_Things_Work) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Energy—How_Things_Work"", ""skill"": ""Create an energy chain linking source, type and use of energy"", ""reason"": ""Explaining energy conversion builds on the earlier skill of tracing how energy moves from source to type to use in an energy chain.""}]"
CBSE,Science,Grade 9,"Chapter07_Work,_Energy,_and_Simple_Machines",Kinetic Energy,Derive the expression for kinetic energy of a moving object,"[""Energy and Its Forms""]","[""Explain the concept of energy as the capacity to do work""]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Speed and Velocity"", ""reason"": ""The kinetic energy formula uses the object's velocity, so the concept of velocity must already be understood.""}, {""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""concept"": ""Equations of Motion"", ""reason"": ""Derived from skill prerequisite: 'Apply kinematic equations to solve problems involving displacement, velocity, acceleration and time' (in Chapter04_Describing_Motion_Around_Us) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""concept"": ""Newton's Second Law of Motion"", ""reason"": ""Derived from skill prerequisite: 'Derive the mathematical expression for Newton's second law of motion' (in Chapter06_How_Forces_Affect_Motion) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Describing_Motion_Around_Us"", ""skill"": ""Apply kinematic equations to solve problems involving displacement, velocity, acceleration and time"", ""reason"": ""The standard derivation of KE = 1/2 mv^2 substitutes the kinematic relation v^2 = u^2 + 2as into the work expression.""}, {""chapter"": ""Chapter06_How_Forces_Affect_Motion"", ""skill"": ""Derive the mathematical expression for Newton's second law of motion"", ""reason"": ""The kinetic energy derivation starts from the force expression F = ma obtained from Newton's second law.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Speed"", ""reason"": ""Kinetic energy depends on an object's velocity, which is quantitatively understood through the speed concept taught earlier.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Speed formula"", ""reason"": ""Derived from skill prerequisite: 'Derive the mathematical formula for calculating speed' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Calculating speed, distance and time"", ""reason"": ""Derived from skill prerequisite: 'Calculate speed, distance or time when the other two quantities are given' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Derive the mathematical formula for calculating speed"", ""reason"": ""Deriving kinetic energy requires the velocity term, which is built from the earlier derivation of the speed formula (distance/time).""}]"
