board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Nature and scope of science,Describe the role of science in understanding daily life phenomena,[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Curiosity and collaborative inquiry in science,"Explain the role of curiosity, collaboration, and questioning in the development of science",[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Observation and Classification,Classify materials or objects based on observed properties,[],[],[],[],[],[]
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Scientific investigation process,Design an activity to test a scientific question,"[""Observation and Classification""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""concept"": ""Nature of scientific investigation"", ""reason"": ""An understanding of what constitutes a systematic scientific investigation, built in Grade 8, is the direct basis for the more detailed investigation process described in this chapter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Design a simple activity to test a scientific question' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""concept"": ""Scientific inquiry and exploration"", ""reason"": ""Derived from skill prerequisite: 'Design simple investigations to seek answers to scientific queries' (in Grade 8/Chapter01_Exploring_the_Investigative_World_of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Design a simple activity to test a scientific question"", ""reason"": ""The basic procedure of devising a simple activity to test a question was introduced in Grade 6 and is the foundation for designing more sophisticated test activities at the secondary stage.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Scientific investigation process,Conduct a planned experiment to verify a scientific principle,"[""Observation and Classification""]","[""Design an activity to test a scientific question""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""concept"": ""Nature of scientific investigation"", ""reason"": ""An understanding of what constitutes a systematic scientific investigation, built in Grade 8, is the direct basis for the more detailed investigation process described in this chapter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Design a simple activity to test a scientific question' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""concept"": ""Scientific inquiry and exploration"", ""reason"": ""Derived from skill prerequisite: 'Design simple investigations to seek answers to scientific queries' (in Grade 8/Chapter01_Exploring_the_Investigative_World_of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""skill"": ""Design simple investigations to seek answers to scientific queries"", ""reason"": ""Designing a simple investigation to answer a scientific query is the groundwork needed before a student can plan and carry out an experiment to verify a specific scientific principle.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Data collection and measurement,Measure physical quantities using an appropriate instrument,"[""Scientific investigation process""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Correct way of measuring length using a scale"", ""reason"": ""Learning the correct procedure for measuring with an instrument such as a scale is the specific technique that underlies systematic data collection and measurement in an investigation.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Metre scale and its subdivisions (cm, mm)"", ""reason"": ""Derived from skill prerequisite: 'Measure the length of an object using a scale correctly' (in Grade 6/Chapter05_Measurement_Of_Length_And_Motion) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Scientific values"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate honesty while reporting observations' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""skill"": ""Measure the length of an object using a scale correctly"", ""reason"": ""Correctly aligning and reading a measuring instrument such as a scale is the basic procedural skill extended here to measuring any physical quantity with an appropriate instrument.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Data collection and measurement,Record experimental data accurately and honestly,"[""Scientific investigation process""]","[""Measure physical quantities using an appropriate instrument""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Correct way of measuring length using a scale"", ""reason"": ""Learning the correct procedure for measuring with an instrument such as a scale is the specific technique that underlies systematic data collection and measurement in an investigation.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Metre scale and its subdivisions (cm, mm)"", ""reason"": ""Derived from skill prerequisite: 'Measure the length of an object using a scale correctly' (in Grade 6/Chapter05_Measurement_Of_Length_And_Motion) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Scientific values"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate honesty while reporting observations' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Demonstrate honesty while reporting observations"", ""reason"": ""The habit of reporting observations honestly, established in Grade 6, is the specific value-based practice required to record experimental data accurately and honestly.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Graphical representation of data,Draw a graph to represent collected experimental data,"[""Data collection and measurement""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Distance-time graph plotting"", ""reason"": ""Plotting a distance-time graph from recorded data gives the technique of choosing axes and plotting points that is generalised here to representing any experimental data graphically.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Distance-time graph interpretation"", ""reason"": ""Derived from skill prerequisite: 'Interpret the shape of a distance-time graph to describe the type of motion' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Plot a distance-time graph from recorded motion data"", ""reason"": ""Plotting data points on a distance-time graph teaches the specific procedure of choosing scales and plotting axes needed to draw any experimental data graph.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Graphical representation of data,Interpret a graph to extract quantitative information,"[""Data collection and measurement""]","[""Draw a graph to represent collected experimental data""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Distance-time graph plotting"", ""reason"": ""Plotting a distance-time graph from recorded data gives the technique of choosing axes and plotting points that is generalised here to representing any experimental data graphically.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""concept"": ""Distance-time graph interpretation"", ""reason"": ""Derived from skill prerequisite: 'Interpret the shape of a distance-time graph to describe the type of motion' (in Grade 7/Chapter08_Measurement_of_Time_and_Motion) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter08_Measurement_of_Time_and_Motion"", ""skill"": ""Interpret the shape of a distance-time graph to describe the type of motion"", ""reason"": ""Reading the shape of a specific graph to draw conclusions is the same interpretive technique required to extract quantitative information from any experimental graph.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Concept mapping and flow charts,Construct a concept map to organize scientific ideas,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Diagram and flowchart representation"", ""reason"": ""Students must already know how to represent a process as a diagram or flowchart before they can build more elaborate concept maps and flow charts for organising scientific ideas.""}]",[]
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Concept mapping and flow charts,Draw a flow chart to depict the steps of a scientific process,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Diagram and flowchart representation"", ""reason"": ""Students must already know how to represent a process as a diagram or flowchart before they can build more elaborate concept maps and flow charts for organising scientific ideas.""}]",[]
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Survey-based scientific inquiry,Conduct a survey to gather information on a scientific issue,"[""Scientific investigation process""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Fuel and Vehicle Survey"", ""reason"": ""Derived from skill prerequisite: 'Conduct a survey to identify types of vehicles and fuels used' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Our_School—A_Happy_Place"", ""concept"": ""Survey and reflection on school environment"", ""reason"": ""Derived from skill prerequisite: 'Conduct a survey and present findings to the class about school facilities' (in Grade 5/Chapter04_Our_School—A_Happy_Place) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Conduct a survey to identify types of vehicles and fuels used"", ""reason"": ""Carrying out a structured survey on vehicles and fuels provides the procedural experience of designing and administering a survey that is reused for scientific-issue surveys.""}]"
CBSE,Science,Grade 9,Chapter01_Exploration:_Entering_the_World_of_Secondary_Science,Survey-based scientific inquiry,Compile survey findings into a written report,"[""Scientific investigation process""]","[""Conduct a survey to gather information on a scientific issue""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Fuel and Vehicle Survey"", ""reason"": ""Derived from skill prerequisite: 'Conduct a survey to identify types of vehicles and fuels used' (in Grade 6/Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Our_School—A_Happy_Place"", ""concept"": ""Survey and reflection on school environment"", ""reason"": ""Derived from skill prerequisite: 'Conduct a survey and present findings to the class about school facilities' (in Grade 5/Chapter04_Our_School—A_Happy_Place) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Our_School—A_Happy_Place"", ""skill"": ""Conduct a survey and present findings to the class about school facilities"", ""reason"": ""Practising how to gather survey data and organise it for presentation is the direct precursor skill needed to compile survey findings into a written report.""}]"
