board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Tally marks and recording data,Record data using tally marks for different categories,[],[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Tally marks and recording data,Read tally marks and write the corresponding number for each category,[],"[""Record data using tally marks for different categories""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Reading and completing data tables,Calculate totals from data tables,"[""Tally marks and recording data"", ""Recording Data in Tabular Form""]","[""Organize collected data into rows and columns of a table""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Reading and completing data tables,Compare values across categories in a table to identify the largest or smallest,"[""Tally marks and recording data"", ""Recording Data in Tabular Form""]","[""Calculate totals from data tables""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Chapati (pie) chart,Fill in a chapati chart using data from a table,"[""Reading and completing data tables""]","[""Calculate totals from data tables""]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Fractions in Practical Contexts (one-half, one-fourth, one-third)"", ""reason"": ""Interpreting the sections of a chapati chart as fractions of the whole requires already knowing basic fractions like half, quarter and third.""}]",[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Half"", ""reason"": ""A chapati chart divides a whole into equal proportional parts such as halves, so students must already understand what a half represents before they can build or read such a chart.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Quarter"", ""reason"": ""Chapati charts are often divided into quarters to show proportions of data, which requires prior understanding of the quarter as a fraction of a whole.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Comparing Halves and Quarters"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between one-half and one-quarter of a whole' (in Grade 3/Chapter8_Fair_Share) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Divide a shape into four equal parts to show quarters"", ""reason"": ""Filling a chapati chart requires dividing a whole shape into equal fractional sections, a technique first practised with quarters.""}]"
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Chapati (pie) chart,Identify fractions represented by sections of a chapati chart,"[""Reading and completing data tables""]","[""Fill in a chapati chart using data from a table""]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Fractions in Practical Contexts (one-half, one-fourth, one-third)"", ""reason"": ""Interpreting the sections of a chapati chart as fractions of the whole requires already knowing basic fractions like half, quarter and third.""}]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""skill"": ""Identify one-half, one-fourth and one-third of a given quantity in a real-life context"", ""reason"": ""A student must already be able to recognise fractions such as half and quarter before they can identify which fraction a chapati chart section represents.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Half"", ""reason"": ""A chapati chart divides a whole into equal proportional parts such as halves, so students must already understand what a half represents before they can build or read such a chart.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Quarter"", ""reason"": ""Chapati charts are often divided into quarters to show proportions of data, which requires prior understanding of the quarter as a fraction of a whole.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Comparing Halves and Quarters"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between one-half and one-quarter of a whole' (in Grade 3/Chapter8_Fair_Share) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Distinguish between one-half and one-quarter of a whole"", ""reason"": ""Naming the fraction shown by a chapati chart section requires already being able to distinguish halves and quarters of a whole.""}]"
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Bar charts and reading temperature data,Read a bar chart to find and compare values across categories,"[""Reading and completing data tables"", ""Recording Data in Tabular Form""]","[""Calculate totals from data tables""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip chart (bar graph)"", ""reason"": ""Reading a bar chart of temperature values requires the earlier-established technique of interpreting a length/height representation of quantity against a scale, first taught through strip charts.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip Chart Interpretation"", ""reason"": ""Derived from skill prerequisite: 'Identify the quantity represented by each strip in the chart' (in Grade 4/Chapter14_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""skill"": ""Identify the quantity represented by each strip in the chart"", ""reason"": ""Reading values from a bar chart depends on the previously learned skill of translating a bar/strip's length into the quantity it represents using a scale.""}]"
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Bar charts and reading temperature data,Identify the highest and lowest values shown in a bar chart,"[""Reading and completing data tables"", ""Recording Data in Tabular Form""]","[""Read a bar chart to find and compare values across categories""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip chart (bar graph)"", ""reason"": ""Reading a bar chart of temperature values requires the earlier-established technique of interpreting a length/height representation of quantity against a scale, first taught through strip charts.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip Chart Interpretation"", ""reason"": ""Derived from skill prerequisite: 'Identify the quantity represented by each strip in the chart' (in Grade 4/Chapter14_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""skill"": ""Compare different strips to find the largest and smallest values"", ""reason"": ""Finding the highest and lowest bars builds directly on the earlier skill of comparing strip lengths to find largest and smallest values.""}]"
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Bar charts and reading temperature data,Compare data across two bar charts representing different time points,"[""Reading and completing data tables"", ""Recording Data in Tabular Form""]","[""Read a bar chart to find and compare values across categories""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip chart (bar graph)"", ""reason"": ""Reading a bar chart of temperature values requires the earlier-established technique of interpreting a length/height representation of quantity against a scale, first taught through strip charts.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip Chart Interpretation"", ""reason"": ""Derived from skill prerequisite: 'Identify the quantity represented by each strip in the chart' (in Grade 4/Chapter14_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter12_Smart_Charts,Bar charts and reading temperature data,Construct a bar chart from collected data,"[""Reading and completing data tables"", ""Recording Data in Tabular Form""]","[""Organize collected data into rows and columns of a table""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip chart (bar graph)"", ""reason"": ""Reading a bar chart of temperature values requires the earlier-established technique of interpreting a length/height representation of quantity against a scale, first taught through strip charts.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""concept"": ""Strip Chart Interpretation"", ""reason"": ""Derived from skill prerequisite: 'Identify the quantity represented by each strip in the chart' (in Grade 4/Chapter14_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter14_Data_Handling"", ""skill"": ""Construct a strip chart from data given in a table"", ""reason"": ""Drawing a bar chart from data uses the same scale-based drawing procedure first practised when constructing strip charts.""}]"
