board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Percentage as another way of comparing quantities,Compare two quantities using percentages,"[{""item"": ""Meaning of percentage"", ""reason"": ""Derived from skill prerequisite: 'Interpret statements involving percentages in real-life contexts' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Interpret statements involving percentages in real-life contexts"", ""reason"": ""Comparing quantities using percentages requires already understanding what a percentage statement means.""}]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Meaning of percentage,Interpret statements involving percentages in real-life contexts,[],[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Percentages when total is not hundred,Calculate the percentage of a quantity when the total is not 100,"[{""item"": ""Meaning of percentage"", ""reason"": ""A student must know what a percentage represents before calculating percentages of totals other than 100.""}]","[{""item"": ""Interpret statements involving percentages in real-life contexts"", ""reason"": ""Computing a percentage when the total isn't 100 requires first understanding what a percentage represents.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Multiplication of Fractions Using 'Of'"", ""reason"": ""Derived from skill prerequisite: 'Calculate a fractional part of a given quantity using the 'of' operation' (in Chapter2_Fractions_And_Decimals) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""skill"": ""Calculate a fractional part of a given quantity using the 'of' operation"", ""reason"": ""Finding what percentage one quantity is of another, or applying a percentage to a quantity, uses the same fraction-of-quantity multiplication procedure taught with the 'of' operation.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Finding Fractional Parts of Quantities"", ""reason"": ""Finding a percentage of a quantity whose total is not 100 is a direct extension of finding a fractional part of a given quantity.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""skill"": ""Calculate the fractional part of a given quantity, such as 2/5th of 100 coins"", ""reason"": ""Finding a percentage of a quantity uses the same multiply-by-a-fraction procedure practiced earlier for fractional parts of quantities.""}]"
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Converting fractional numbers to percentage,Convert a fraction into a percentage by expressing its denominator as 100,"[{""item"": ""Meaning of percentage"", ""reason"": ""Converting a fraction to a percentage requires already knowing what a percentage represents as a part-per-hundred value.""}]","[{""item"": ""Interpret statements involving percentages in real-life contexts"", ""reason"": ""Converting a fraction to a percentage requires understanding what a percentage value means before performing the conversion.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Equivalent Fractions"", ""reason"": ""Expressing a fraction as a percentage requires first converting it to an equivalent fraction with denominator 100.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""skill"": ""Multiply or divide the numerator and denominator by the same non-zero number to generate equivalent fractions"", ""reason"": ""Rewriting a fraction with a denominator of 100 to obtain its percentage requires scaling numerator and denominator by the same factor, i.e. generating an equivalent fraction.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Equivalent Fractions"", ""reason"": ""Converting a fraction to a percentage requires first re-expressing it as an equivalent fraction with denominator 100.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Calculate equivalent fractions by multiplying numerator and denominator by the same number"", ""reason"": ""This target skill is exactly the technique of scaling a fraction to an equivalent fraction with denominator 100.""}]"
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Converting decimals to percentage,Convert a decimal number into a percentage,"[{""item"": ""Meaning of percentage"", ""reason"": ""Converting a decimal to a percentage requires understanding that a percentage expresses a value out of 100.""}]","[{""item"": ""Interpret statements involving percentages in real-life contexts"", ""reason"": ""Converting a decimal to a percentage requires understanding what the resulting percentage figure signifies.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Decimal Representation and Operations"", ""reason"": ""Converting a decimal to a percentage relies on understanding decimal place value and shifting the decimal point when multiplying by 100.""}, {""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Multiplication of Decimal Numbers by 10 100 and 1000"", ""reason"": ""Derived from skill prerequisite: 'Multiply a decimal number by 100 and explain the resulting right shift of the decimal point by two places' (in Chapter2_Fractions_And_Decimals) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""skill"": ""Multiply a decimal number by 100 and explain the resulting right shift of the decimal point by two places"", ""reason"": ""Converting a decimal to a percentage is performed by multiplying by 100, which requires knowing how the decimal point shifts under this multiplication.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter10_Tenths_And_Hundredths"", ""concept"": ""Hundredths as decimal fractions (one-hundredth = 0.01)"", ""reason"": ""Converting a decimal to a percentage depends on understanding that the hundredths place directly corresponds to parts per hundred.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter10_Tenths_And_Hundredths"", ""concept"": ""Reading and writing decimal numbers"", ""reason"": ""Derived from skill prerequisite: 'Read and write decimal numbers up to hundredths' (in Grade 5/Chapter10_Tenths_And_Hundredths) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter10_Tenths_And_Hundredths"", ""skill"": ""Read and write decimal numbers up to hundredths"", ""reason"": ""Recognising decimal place values up to hundredths is needed to correctly shift the decimal point when converting to a percentage.""}]"
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Converting percentages to fractions or decimals,Convert a percentage into a fraction in its simplest form,"[{""item"": ""Meaning of percentage"", ""reason"": ""Reversing a percentage into a fraction or decimal requires first understanding what the percentage value itself means.""}]","[{""item"": ""Interpret statements involving percentages in real-life contexts"", ""reason"": ""Converting a percentage back into a fraction requires first understanding what the percentage represents.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Equivalent Fractions"", ""reason"": ""Reducing a percentage-derived fraction (out of 100) to its simplest form requires the equivalent-fraction technique of dividing numerator and denominator by a common factor.""}, {""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Division of Decimal Numbers by 10 100 and 1000"", ""reason"": ""Derived from skill prerequisite: 'Divide a decimal number by 100 and explain the resulting left shift of the decimal point by two places' (in Chapter2_Fractions_And_Decimals) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""skill"": ""Multiply or divide the numerator and denominator by the same non-zero number to generate equivalent fractions"", ""reason"": ""Reducing the fraction (percentage over 100) to its simplest form requires dividing numerator and denominator by their common factor, the equivalent-fraction technique.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Simplest Form of a Fraction"", ""reason"": ""After writing a percentage as a fraction over 100, the result must be reduced to its simplest form, a skill built in the earlier fractions chapter.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter10_Tenths_And_Hundredths"", ""concept"": ""Reading and writing decimal numbers"", ""reason"": ""Derived from skill prerequisite: 'Read and write decimal numbers up to hundredths' (in Grade 5/Chapter10_Tenths_And_Hundredths) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""skill"": ""Reduce a fraction to its simplest form"", ""reason"": ""After writing the percentage as a fraction over 100, the exact reduction technique from the earlier fractions chapter is required.""}]"
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Converting percentages to fractions or decimals,Convert a percentage into a decimal number,"[{""item"": ""Meaning of percentage"", ""reason"": ""Reversing a percentage into a fraction or decimal requires first understanding what the percentage value itself means.""}]","[{""item"": ""Interpret statements involving percentages in real-life contexts"", ""reason"": ""Converting a percentage into a decimal requires understanding what the percentage value represents numerically.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Equivalent Fractions"", ""reason"": ""Reducing a percentage-derived fraction (out of 100) to its simplest form requires the equivalent-fraction technique of dividing numerator and denominator by a common factor.""}, {""chapter"": ""Chapter2_Fractions_And_Decimals"", ""concept"": ""Division of Decimal Numbers by 10 100 and 1000"", ""reason"": ""Derived from skill prerequisite: 'Divide a decimal number by 100 and explain the resulting left shift of the decimal point by two places' (in Chapter2_Fractions_And_Decimals) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter2_Fractions_And_Decimals"", ""skill"": ""Divide a decimal number by 100 and explain the resulting left shift of the decimal point by two places"", ""reason"": ""Converting a percentage back to a decimal requires dividing by 100, which relies on knowing how the decimal point shifts under this division.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter07_Fractions"", ""concept"": ""Simplest Form of a Fraction"", ""reason"": ""After writing a percentage as a fraction over 100, the result must be reduced to its simplest form, a skill built in the earlier fractions chapter.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter10_Tenths_And_Hundredths"", ""concept"": ""Reading and writing decimal numbers"", ""reason"": ""Derived from skill prerequisite: 'Read and write decimal numbers up to hundredths' (in Grade 5/Chapter10_Tenths_And_Hundredths) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter10_Tenths_And_Hundredths"", ""skill"": ""Read and write decimal numbers up to hundredths"", ""reason"": ""Converting a percentage into a decimal requires fluency in reading and writing decimals to the hundredths place.""}]"
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Parts always add to give a whole,Verify that the percentages of individual parts of a quantity add up to 100%,"[{""item"": ""Meaning of percentage"", ""reason"": ""Verifying that parts sum to 100% requires understanding percentage as a proportion of a whole.""}, {""item"": ""Percentages when total is not hundred"", ""reason"": ""Derived from skill prerequisite: 'Calculate the percentage of a quantity when the total is not 100' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Calculate the percentage of a quantity when the total is not 100"", ""reason"": ""Verifying that parts sum to 100% requires being able to first calculate each part's percentage of the whole.""}]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Calculating the Whole from a Fractional Part"", ""reason"": ""Derived from skill prerequisite: 'Apply reverse reasoning to calculate the total from a known fractional part' (in Grade 5/Chapter04_Parts_Nd_A_Wholes) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Parts always add to give a whole,Determine the missing part when percentages of a whole are given,"[{""item"": ""Meaning of percentage"", ""reason"": ""Verifying that parts sum to 100% requires understanding percentage as a proportion of a whole.""}, {""item"": ""Percentages when total is not hundred"", ""reason"": ""Derived from skill prerequisite: 'Calculate the percentage of a quantity when the total is not 100' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Verify that the percentages of individual parts of a quantity add up to 100%"", ""reason"": ""Finding the missing percentage relies on knowing that all parts must together total 100%.""}]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Calculating the Whole from a Fractional Part"", ""reason"": ""Derived from skill prerequisite: 'Apply reverse reasoning to calculate the total from a known fractional part' (in Grade 5/Chapter04_Parts_Nd_A_Wholes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""skill"": ""Apply reverse reasoning to calculate the total from a known fractional part"", ""reason"": ""Working out a missing part from given percentages uses the same reverse-reasoning technique developed for finding a whole from a known fractional part.""}]"
CBSE,Maths,Grade 7,Chapter7_Comparing_Quantities,Estimation of percentages of shaded areas,Calculate the percentage represented by a shaded part of a figure,"[{""item"": ""Meaning of percentage"", ""reason"": ""Estimating shaded area as a percentage requires understanding what a percentage represents relative to a whole figure.""}, {""item"": ""Percentages when total is not hundred"", ""reason"": ""Derived from skill prerequisite: 'Calculate the percentage of a quantity when the total is not 100' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Calculate the percentage of a quantity when the total is not 100"", ""reason"": ""Determining the shaded percentage of a figure applies the same percentage-of-a-quantity calculation to a geometric context.""}]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Estimating what percentage a shaded region represents builds directly on the earlier skill of reading the fraction shown by shading.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify the fraction represented by a coloured or shaded part of a diagram"", ""reason"": ""Before expressing a shaded region as a percentage, students must be able to identify the fraction it represents.""}]"
