board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Estimating Volume of Solid Objects,Identify the approximate volume of everyday solid objects by observation,[],[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Estimating Volume of Solid Objects,Compare estimated volumes of different solid objects,[],"[""Identify the approximate volume of everyday solid objects by observation""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Estimating Volume of Solid Objects,Explain the reasoning behind an estimated volume guess,[],"[""Identify the approximate volume of everyday solid objects by observation""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Measuring and Comparing Volume of Solids,Measure the volume of solids using non-standard units like cups or containers,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Measure the capacity of a container by counting how many bowls, glasses, or ladles fill it' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Measure the capacity of a container by counting how many bowls, glasses, or ladles fill it"", ""reason"": ""The technique of counting how many non-standard containers fill a space was established here for liquids and is directly reused for measuring solid volume.""}]"
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Measuring and Comparing Volume of Solids,Compare the volumes of two or more solid objects using measurement results,[],"[""Measure the volume of solids using non-standard units like cups or containers""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Measure the capacity of a container by counting how many bowls, glasses, or ladles fill it' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Measuring and Comparing Volume of Solids,Determine which solid has greater or lesser volume through measurement,[],"[""Compare the volumes of two or more solid objects using measurement results""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Measure the capacity of a container by counting how many bowls, glasses, or ladles fill it' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Calculating Volume of Objects in Terms of Other Objects,"Describe volume of one object as a multiple of another, such as a bucket being 20 times a mug","[""Measuring and Comparing Volume of Solids""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Calculating Volume of Objects in Terms of Other Objects,Calculate how many smaller containers fill a larger container,"[""Measuring and Comparing Volume of Solids""]","[""Measure the volume of solids using non-standard units like cups or containers""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Estimate how many times a smaller vessel must be filled to fill a larger vessel"", ""reason"": ""This target skill uses the identical iterative-fill counting procedure that was first practiced with capacity vessels.""}]"
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Calculating Volume of Objects in Terms of Other Objects,Apply multiplication to express relative volumes between objects,"[""Measuring and Comparing Volume of Solids""]","[""Describe volume of one object as a multiple of another, such as a bucket being 20 times a mug""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Measuring capacity using informal units (bowls, glasses, ladles)"", ""reason"": ""Derived from skill prerequisite: 'Estimate how many times a smaller vessel must be filled to fill a larger vessel' (in Grade 3/Chapter11_Filling_and_Lifting) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter14_How_Big_How_Heavy,Calculating Volume Using Standard Unit Containers,Identify standard units marked on containers used to measure volume,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Containers used for measuring capacity (measuring cans, dosing cups, droppers)"", ""reason"": ""Using standard mL-marked containers to measure volume of solids builds on earlier exposure to standard measuring vessels for capacity.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Estimating, measuring and comparing volume of liquids (litres and millilitres)"", ""reason"": ""Derived from skill prerequisite: 'Identify containers and their appropriate capacity units (ml or l)' (in Grade 4/Chapter08_Weigh_it_Pour_it) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""concept"": ""Measuring capacity of liquids using a measuring vessel"", ""reason"": ""Derived from skill prerequisite: 'Calculate the capacity of a container by counting the number of measuring vessels it takes to fill it' (in Grade 4/Chapter08_Weigh_it_Pour_it) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter08_Weigh_it_Pour_it"", ""skill"": ""Identify containers and their appropriate capacity units (ml or l)"", ""reason"": ""Recognising mL/L markings on volume containers depends on the earlier skill of associating containers with their capacity units.""}]"
