board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Angle Sum Property of a Quadrilateral,Apply the angle sum property of a quadrilateral to find the value of an unknown angle,[],[],"[{""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Angle Sum Property of a Triangle"", ""reason"": ""The quadrilateral's angle sum is derived by splitting it into two triangles with a diagonal and adding their angle sums, which requires already knowing that a triangle's angles sum to 180°.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Angle sum property of a triangle"", ""reason"": ""Derived from skill prerequisite: 'State that the sum of the interior angles of a triangle is 180 degrees.' (in Grade 7/Chapter6_The_Triangle_And_Its_Properties) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""State that the sum of the interior angles of a triangle is 180 degrees."", ""reason"": ""The quadrilateral angle sum is derived by splitting the quadrilateral into two triangles with a diagonal and adding their known angle sums, so this triangle fact must already be known.""}]"
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Angle Sum Property of a Quadrilateral,Calculate missing angles in a quadrilateral given the other three angles,[],"[""Apply the angle sum property of a quadrilateral to find the value of an unknown angle""]","[{""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Angle Sum Property of a Triangle"", ""reason"": ""The quadrilateral's angle sum is derived by splitting it into two triangles with a diagonal and adding their angle sums, which requires already knowing that a triangle's angles sum to 180°.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Angle sum property of a triangle"", ""reason"": ""Derived from skill prerequisite: 'State that the sum of the interior angles of a triangle is 180 degrees.' (in Grade 7/Chapter6_The_Triangle_And_Its_Properties) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""State that the sum of the interior angles of a triangle is 180 degrees."", ""reason"": ""Finding a missing quadrilateral angle relies on the 360-degree total that is itself derived from two triangles each summing to 180 degrees.""}]"
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Types of Quadrilaterals,List the defining properties of different types of quadrilaterals,[],[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Types of Quadrilaterals,Classify a given quadrilateral into its specific type based on its properties,[],"[""List the defining properties of different types of quadrilaterals""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Types of Quadrilaterals,Classify real life objects into different types of quadrilaterals,[],"[""List the defining properties of different types of quadrilaterals""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Properties of Parallelogram,"List the properties of a parallelogram related to its sides, angles and diagonals",[],[],"[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""Proving that opposite sides/angles are equal and diagonals bisect each other relies on showing the two triangles formed by a diagonal are congruent using SAS/ASA criteria.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""CPCT (Corresponding Parts of Congruent Triangles)"", ""reason"": ""After proving the two triangles formed by a diagonal are congruent, CPCT is needed to conclude that corresponding sides and angles of the parallelogram are equal.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""ASA Congruence Rule"", ""reason"": ""Derived from skill prerequisite: 'State the ASA congruence rule and the conditions under which it applies' (in Chapter8_Triangles) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Parallel Lines and a Transversal"", ""reason"": ""Derived from skill prerequisite: 'Define the relationship between corresponding, alternate and interior angles formed by a transversal' (in Chapter6_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Properties of Angles Formed by a Transversal Cutting Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'State the property that alternate interior angles are equal when a transversal cuts two parallel lines.' (in Grade 7/Chapter5_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Properties of Parallelogram,Identify whether a given quadrilateral is a parallelogram based on its properties,[],"[""List the properties of a parallelogram related to its sides, angles and diagonals""]","[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""Proving that opposite sides/angles are equal and diagonals bisect each other relies on showing the two triangles formed by a diagonal are congruent using SAS/ASA criteria.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""CPCT (Corresponding Parts of Congruent Triangles)"", ""reason"": ""After proving the two triangles formed by a diagonal are congruent, CPCT is needed to conclude that corresponding sides and angles of the parallelogram are equal.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""ASA Congruence Rule"", ""reason"": ""Derived from skill prerequisite: 'State the ASA congruence rule and the conditions under which it applies' (in Chapter8_Triangles) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Parallel Lines and a Transversal"", ""reason"": ""Derived from skill prerequisite: 'Define the relationship between corresponding, alternate and interior angles formed by a transversal' (in Chapter6_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Properties of Angles Formed by a Transversal Cutting Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'State the property that alternate interior angles are equal when a transversal cuts two parallel lines.' (in Grade 7/Chapter5_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Properties of Parallelogram,Verify the properties of a parallelogram using a given figure,[],"[""List the properties of a parallelogram related to its sides, angles and diagonals""]","[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""Proving that opposite sides/angles are equal and diagonals bisect each other relies on showing the two triangles formed by a diagonal are congruent using SAS/ASA criteria.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""CPCT (Corresponding Parts of Congruent Triangles)"", ""reason"": ""After proving the two triangles formed by a diagonal are congruent, CPCT is needed to conclude that corresponding sides and angles of the parallelogram are equal.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""ASA Congruence Rule"", ""reason"": ""Derived from skill prerequisite: 'State the ASA congruence rule and the conditions under which it applies' (in Chapter8_Triangles) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Parallel Lines and a Transversal"", ""reason"": ""Derived from skill prerequisite: 'Define the relationship between corresponding, alternate and interior angles formed by a transversal' (in Chapter6_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Properties of Angles Formed by a Transversal Cutting Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'State the property that alternate interior angles are equal when a transversal cuts two parallel lines.' (in Grade 7/Chapter5_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Properties of Parallelogram,State and prove that a diagonal of a parallelogram divides it into two congruent triangles,[],"[""List the properties of a parallelogram related to its sides, angles and diagonals""]","[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""Proving that opposite sides/angles are equal and diagonals bisect each other relies on showing the two triangles formed by a diagonal are congruent using SAS/ASA criteria.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""CPCT (Corresponding Parts of Congruent Triangles)"", ""reason"": ""After proving the two triangles formed by a diagonal are congruent, CPCT is needed to conclude that corresponding sides and angles of the parallelogram are equal.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""ASA Congruence Rule"", ""reason"": ""Derived from skill prerequisite: 'State the ASA congruence rule and the conditions under which it applies' (in Chapter8_Triangles) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Parallel Lines and a Transversal"", ""reason"": ""Derived from skill prerequisite: 'Define the relationship between corresponding, alternate and interior angles formed by a transversal' (in Chapter6_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter8_Triangles"", ""skill"": ""State the ASA congruence rule and the conditions under which it applies"", ""reason"": ""The proof shows the two triangles formed by the diagonal are congruent by ASA using alternate angles and the shared diagonal.""}, {""chapter"": ""Chapter6_Lines_And_Angles"", ""skill"": ""Define the relationship between corresponding, alternate and interior angles formed by a transversal"", ""reason"": ""The proof depends on identifying alternate angles formed because the diagonal acts as a transversal to the parallel sides.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Properties of Angles Formed by a Transversal Cutting Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'State the property that alternate interior angles are equal when a transversal cuts two parallel lines.' (in Grade 7/Chapter5_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""skill"": ""State the property that alternate interior angles are equal when a transversal cuts two parallel lines."", ""reason"": ""The standard proof identifies pairs of alternate interior angles formed by the diagonal cutting the parallel sides to establish the ASA congruence of the two triangles.""}]"
CBSE,Maths,Grade 9,Chapter7_Quadrilaterals,Properties of Parallelogram,Prove that opposite sides of a parallelogram are equal,[],"[""State and prove that a diagonal of a parallelogram divides it into two congruent triangles""]","[{""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""Proving that opposite sides/angles are equal and diagonals bisect each other relies on showing the two triangles formed by a diagonal are congruent using SAS/ASA criteria.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""CPCT (Corresponding Parts of Congruent Triangles)"", ""reason"": ""After proving the two triangles formed by a diagonal are congruent, CPCT is needed to conclude that corresponding sides and angles of the parallelogram are equal.""}, {""chapter"": ""Chapter8_Triangles"", ""concept"": ""ASA Congruence Rule"", ""reason"": ""Derived from skill prerequisite: 'State the ASA congruence rule and the conditions under which it applies' (in Chapter8_Triangles) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Parallel Lines and a Transversal"", ""reason"": ""Derived from skill prerequisite: 'Define the relationship between corresponding, alternate and interior angles formed by a transversal' (in Chapter6_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter8_Triangles"", ""skill"": ""State the CPCT principle and explain when it can be applied"", ""reason"": ""Once the two triangles formed by the diagonal are shown congruent, CPCT is needed to conclude the opposite sides are equal.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Properties of Angles Formed by a Transversal Cutting Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'State the property that alternate interior angles are equal when a transversal cuts two parallel lines.' (in Grade 7/Chapter5_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter5_Lines_And_Angles"", ""skill"": ""State the property that alternate interior angles are equal when a transversal cuts two parallel lines."", ""reason"": ""This proof depends on identifying equal alternate angles created by the diagonal transversal to establish triangle congruence that gives equal opposite sides.""}]"
