board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Introduction to numbers beyond counting numbers,Identify positive and negative numbers in real-life contexts,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Positive and negative numbers,Represent movement using integers with a '+' or '-' sign,"[""Introduction to numbers beyond counting numbers"", ""Integers as a set (definition)"", ""Comparing integers using floors and number line"", ""Subtraction as finding missing addend / movement needed""]","[""Identify positive and negative numbers in real-life contexts""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Positive and negative numbers,Explain the meaning of zero as neither positive nor negative,"[""Introduction to numbers beyond counting numbers"", ""Integers as a set (definition)"", ""Comparing integers using floors and number line"", ""Subtraction as finding missing addend / movement needed""]","[""Identify positive and negative numbers in real-life contexts""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Bela's Building of Fun (floor numbering model),Calculate the result of adding two integers using floor/lift model,"[""Positive and negative numbers""]","[""Represent movement using integers with a '+' or '-' sign""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Addition of integers using movement/floors,Calculate the result of combining multiple button presses (movements),"[""Positive and negative numbers"", ""Bela's Building of Fun (floor numbering model)""]","[""Represent movement using integers with a '+' or '-' sign"", ""Calculate the result of adding two integers using floor/lift model""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Combining button presses as addition,Model repeated button presses as addition of integers,"[""Addition of integers using movement/floors""]","[""Calculate the result of combining multiple button presses (movements)""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Additive inverse of a number,Determine the additive inverse of a given integer,"[""Positive and negative numbers""]","[""Explain the meaning of zero as neither positive nor negative""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Comparing integers using floors and number line,Compare two integers using symbols '<' and '>',"[""Positive and negative numbers""]","[""Represent movement using integers with a '+' or '-' sign""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Comparing integers using floors and number line,Arrange integers in increasing or decreasing order,"[""Positive and negative numbers""]","[""Compare two integers using symbols '<' and '>'""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter10_The_Other_Side_Of_Zero,Subtraction as finding missing addend / movement needed,Calculate subtraction of integers as finding the movement needed between two positions,"[""Addition of integers using movement/floors"", ""Additive inverse of a number"", ""Bela's Building of Fun (floor numbering model)""]","[""Calculate the result of adding two integers using floor/lift model"", ""Determine the additive inverse of a given integer""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Relationship between addition and subtraction"", ""reason"": ""Understanding subtraction as an inverse of addition (finding the missing part of a whole) is the conceptual basis for framing integer subtraction as finding the movement/addend needed.""}]",[]
