board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Triangular Numbers,Identify triangular numbers by arranging dots in a triangular pattern,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored triangular block arrangements and how the block count grows before formally identifying triangular numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule connecting the count of blocks in successive triangular or square arrangements"", ""reason"": ""Recognising a dot-based triangular pattern relies on the earlier skill of finding the count rule for successive triangular block arrangements.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Triangular Numbers,Calculate successive triangular numbers using the pattern of addition,[],"[""Identify triangular numbers by arranging dots in a triangular pattern""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored triangular block arrangements and how the block count grows before formally identifying triangular numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule connecting the count of blocks in successive triangular or square arrangements"", ""reason"": ""Calculating the next triangular number by addition depends on already knowing how the block count changes between successive triangular arrangements.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Triangular Numbers,Explain why a given number is a triangular number,[],"[""Identify triangular numbers by arranging dots in a triangular pattern"", ""Calculate successive triangular numbers using the pattern of addition""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored triangular block arrangements and how the block count grows before formally identifying triangular numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule connecting the count of blocks in successive triangular or square arrangements"", ""reason"": ""Justifying that a number is triangular requires the earlier-established understanding of how triangular block counts are generated.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Square Numbers,Identify square numbers by arranging dots in a square array,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored square block arrangements and their growth rule before formally identifying square numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule connecting the count of blocks in successive triangular or square arrangements"", ""reason"": ""Arranging dots into a square array to identify a square number builds on the earlier work with square block arrangements and their counting rule.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Square Numbers,Calculate square numbers by multiplying a number by itself,[],"[""Identify square numbers by arranging dots in a square array""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored square block arrangements and their growth rule before formally identifying square numbers.""}]",[]
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Square Numbers,Determine the pattern of differences between consecutive square numbers,[],"[""Calculate square numbers by multiplying a number by itself""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored square block arrangements and their growth rule before formally identifying square numbers.""}]",[]
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Square Numbers,Explain why a given number is a square number,[],"[""Identify square numbers by arranging dots in a square array"", ""Calculate square numbers by multiplying a number by itself""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Visual patterns with blocks (triangular and square arrangements)"", ""reason"": ""Students must already have explored square block arrangements and their growth rule before formally identifying square numbers.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify the rule connecting the count of blocks in successive triangular or square arrangements"", ""reason"": ""Explaining why a number is square depends on the earlier understanding of how square block arrangement counts are generated.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Fun with Odd Numbers and Square Number Patterns,Identify the pattern in sums of consecutive odd numbers and express the result as a square number,"[""Square Numbers""]","[""Identify square numbers by arranging dots in a square array""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Recognising that sums of consecutive odd numbers form squares requires already being able to identify which numbers are odd.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Identify odd numbers from a given set of numbers"", ""reason"": ""Recognising sums of consecutive odd numbers first requires being able to reliably identify which numbers are odd.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Fun with Odd Numbers and Square Number Patterns,Extend the pattern of sums of odd numbers to predict further terms,"[""Square Numbers""]","[""Identify the pattern in sums of consecutive odd numbers and express the result as a square number""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Recognising that sums of consecutive odd numbers form squares requires already being able to identify which numbers are odd.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Identify odd numbers from a given set of numbers"", ""reason"": ""Extending the sum-of-odd-numbers pattern requires being able to correctly identify the next odd number to add.""}]"
CBSE,Maths,Grade 5,Chapter07_Can_You_See_The_Pattern,Fun with Odd Numbers and Square Number Patterns,Verify the sum of the first n odd numbers by calculating the corresponding square number,"[""Square Numbers""]","[""Identify the pattern in sums of consecutive odd numbers and express the result as a square number"", ""Calculate square numbers by multiplying a number by itself""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Recognising that sums of consecutive odd numbers form squares requires already being able to identify which numbers are odd.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Identify odd numbers from a given set of numbers"", ""reason"": ""Verifying the sum of the first n odd numbers requires correctly identifying and listing consecutive odd numbers.""}]"
