board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets for Cubes and Cuboids,"Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape",[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Nets of 3D shapes"", ""reason"": ""Understanding what a net is and how it relates to a 3D solid is the direct foundation for working specifically with cube and cuboid nets.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify the faces, edges, and corners of a 3D shape' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Derived from skill prerequisite: 'Construct a net by opening up a cardboard box' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify the faces, edges, and corners of a 3D shape"", ""reason"": ""Students must already be able to identify faces, edges, and corners on general 3D shapes before applying this specifically to cubes and cuboids.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets for Cubes and Cuboids,Distinguish valid nets of a cube or cuboid from invalid arrangements of squares/rectangles,[],"[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Nets of 3D shapes"", ""reason"": ""Understanding what a net is and how it relates to a 3D solid is the direct foundation for working specifically with cube and cuboid nets.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify the faces, edges, and corners of a 3D shape' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Derived from skill prerequisite: 'Construct a net by opening up a cardboard box' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify which nets cannot form a closed 3D solid"", ""reason"": ""Recognising that some arrangements fail to close into a solid is the exact precursor judgement needed to distinguish valid from invalid cube/cuboid nets.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets for Cubes and Cuboids,Construct a net for a given cube or cuboid by unfolding its faces,[],"[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Nets of 3D shapes"", ""reason"": ""Understanding what a net is and how it relates to a 3D solid is the direct foundation for working specifically with cube and cuboid nets.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify the faces, edges, and corners of a 3D shape' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Derived from skill prerequisite: 'Construct a net by opening up a cardboard box' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Construct a net by opening up a cardboard box"", ""reason"": ""Physically unfolding a box to obtain its net is the hands-on foundation for conceptually unfolding a cube or cuboid's faces.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets for Cubes and Cuboids,Draw a cube or cuboid by folding a given net in imagination and sketching the resulting solid,[],"[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Nets of 3D shapes"", ""reason"": ""Understanding what a net is and how it relates to a 3D solid is the direct foundation for working specifically with cube and cuboid nets.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify the faces, edges, and corners of a 3D shape' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Derived from skill prerequisite: 'Construct a net by opening up a cardboard box' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Match a given net to its corresponding 3D solid"", ""reason"": ""Being able to associate a net with the solid it forms is required before mentally folding a net and sketching the resulting shape.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets for Cubes and Cuboids,Verify that a folded net correctly forms a closed cube or cuboid by checking matching edges,[],"[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape"", ""Construct a net for a given cube or cuboid by unfolding its faces""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Nets of 3D shapes"", ""reason"": ""Understanding what a net is and how it relates to a 3D solid is the direct foundation for working specifically with cube and cuboid nets.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify the faces, edges, and corners of a 3D shape' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Derived from skill prerequisite: 'Construct a net by opening up a cardboard box' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify which nets cannot form a closed 3D solid"", ""reason"": ""Judging whether a net closes correctly builds directly on the earlier skill of identifying nets that fail to form a closed solid.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets for Cubes and Cuboids,Match a given net to the correct 3D box it will form,[],"[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Nets of 3D shapes"", ""reason"": ""Understanding what a net is and how it relates to a 3D solid is the direct foundation for working specifically with cube and cuboid nets.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""Derived from skill prerequisite: 'Identify the faces, edges, and corners of a 3D shape' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Derived from skill prerequisite: 'Construct a net by opening up a cardboard box' (in Grade 3/Chapter5_Fun_with_Shapes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Match a given net to its corresponding 3D solid"", ""reason"": ""This is the same matching skill from Grade 4 now applied specifically to boxes rather than general solids.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Faces of a Cube,Identify the number and shape of faces of a cube,"[""Nets for Cubes and Cuboids""]","[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape""]","[{""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area of Square"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a square given its side length' (in Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""A student must already know what a 'face' of a 3D shape is before focusing specifically on the faces of a cube.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Count the number of faces, edges, and corners of 3D shapes"", ""reason"": ""Counting faces of general 3D solids is a prerequisite fluency before counting and describing the faces of a cube specifically.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Faces of a Cube,Calculate the area of each face of a cube given its net,"[""Nets for Cubes and Cuboids""]","[""Identify the number and shape of faces of a cube"", ""Construct a net for a given cube or cuboid by unfolding its faces""]","[{""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area of Square"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a square given its side length' (in Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""skill"": ""Calculate the area of a square given its side length"", ""reason"": ""Each face of a cube is a square, so finding its area requires the previously learned procedure for calculating the area of a square from its side length.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""A student must already know what a 'face' of a 3D shape is before focusing specifically on the faces of a cube.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Faces of a Cube,Draw at least one shape that does not fold into a cube,"[""Nets for Cubes and Cuboids""]","[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape"", ""Distinguish valid nets of a cube or cuboid from invalid arrangements of squares/rectangles""]","[{""chapter"": ""Chapter11_Area_And_Its_Boundary"", ""concept"": ""Area of Square"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a square given its side length' (in Chapter11_Area_And_Its_Boundary) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Faces, edges, and corners of 3D shapes"", ""reason"": ""A student must already know what a 'face' of a 3D shape is before focusing specifically on the faces of a cube.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""concept"": ""Matching nets to solids"", ""reason"": ""Derived from skill prerequisite: 'Identify which nets cannot form a closed 3D solid' (in Grade 4/Chapter01_Shapes_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Shapes_Around_Us"", ""skill"": ""Identify which nets cannot form a closed 3D solid"", ""reason"": ""Constructing an invalid example requires already understanding what characteristics make a net fail to close into a solid.""}]"
CBSE,Maths,Grade 5,Chapter09_Boxes_And_Sketches,Nets of an Open Box,Identify which flat shapes (nets) can be folded into an open box,"[""Nets for Cubes and Cuboids""]","[""Identify the faces, edges, and vertices of cubes and cuboids from their 3D shape""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""concept"": ""Nets of 3D objects (opening up cardboard boxes)"", ""reason"": ""Physically unfolding a box into its flat layout is the basic experience needed before reasoning about nets of open (lidless) boxes.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter5_Fun_with_Shapes"", ""skill"": ""Identify the flat shape obtained by opening up a cardboard box"", ""reason"": ""Recognising the flat shape produced when a box is opened is the foundation for judging which flat shapes fold back into an open box.""}]"
