board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Reflection of light and laws of reflection,State the laws of reflection of light,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Image formation by a plane mirror,Describe the properties of images formed by a plane mirror,"[""Reflection of light and laws of reflection""]","[""State the laws of reflection of light""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Spherical mirrors: concave and convex,Distinguish between concave and convex mirrors,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,"Terms related to spherical mirrors (pole, centre of curvature, radius of curvature, principal axis, aperture)","Identify and label the pole, centre of curvature, principal axis, and focal length of a spherical mirror","[""Spherical mirrors: concave and convex""]","[""Distinguish between concave and convex mirrors""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Principal focus and focal length of spherical mirrors,Explain the relationship between focal length and radius of curvature of a spherical mirror,"[""Terms related to spherical mirrors (pole, centre of curvature, radius of curvature, principal axis, aperture)""]","[""Identify and label the pole, centre of curvature, principal axis, and focal length of a spherical mirror""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Behaviour of parallel light beams on spherical mirrors (convergence and divergence)"", ""reason"": ""Defining the principal focus as the point where parallel rays converge or appear to diverge after reflection requires the prior understanding of how spherical mirrors converge/diverge parallel beams.""}]",[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Relationship between radius of curvature and focal length,Calculate the radius of curvature of a spherical mirror from its focal length,"[""Principal focus and focal length of spherical mirrors""]","[""Explain the relationship between focal length and radius of curvature of a spherical mirror""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Image formation by spherical mirrors for different object positions,"Predict the nature, position and size of images formed by concave mirrors for different object positions","[""Spherical mirrors: concave and convex"", ""Principal focus and focal length of spherical mirrors"", ""Relationship between radius of curvature and focal length""]","[""Distinguish between concave and convex mirrors"", ""Explain the relationship between focal length and radius of curvature of a spherical mirror""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Image formation by spherical mirrors for different object positions,"Predict the nature, position and size of images formed by convex mirrors for different object positions","[""Spherical mirrors: concave and convex"", ""Principal focus and focal length of spherical mirrors"", ""Relationship between radius of curvature and focal length""]","[""Distinguish between concave and convex mirrors"", ""Explain the relationship between focal length and radius of curvature of a spherical mirror""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Ray diagrams for image formation by concave and convex mirrors,Draw ray diagrams to locate images formed by concave and convex mirrors,"[""Spherical mirrors: concave and convex"", ""Terms related to spherical mirrors (pole, centre of curvature, radius of curvature, principal axis, aperture)"", ""Principal focus and focal length of spherical mirrors"", ""Image formation by spherical mirrors for different object positions""]","[""Identify and label the pole, centre of curvature, principal axis, and focal length of a spherical mirror"", ""Predict the nature, position and size of images formed by concave mirrors for different object positions"", ""Predict the nature, position and size of images formed by convex mirrors for different object positions""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""concept"": ""Laws of reflection"", ""reason"": ""Derived from skill prerequisite: 'Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection' (in Grade 8/Chapter10_Light:_Mirrors_and_Lenses) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter10_Light:_Mirrors_and_Lenses"", ""skill"": ""Draw a ray diagram identifying the incident ray, reflected ray, and normal to illustrate the law of reflection"", ""reason"": ""Constructing mirror ray diagrams for image formation builds directly on the basic technique of correctly drawing incident and reflected rays with the normal at the point of incidence.""}]"
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Uses of concave mirrors,Explain the uses of concave mirrors in daily life,"[""Spherical mirrors: concave and convex"", ""Image formation by spherical mirrors for different object positions""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Uses of convex mirrors,Explain the uses of convex mirrors in daily life,"[""Spherical mirrors: concave and convex"", ""Image formation by spherical mirrors for different object positions""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,New Cartesian Sign Convention for spherical mirrors,Apply the New Cartesian Sign Convention to solve numerical problems on mirrors,"[""Principal focus and focal length of spherical mirrors""]","[""Explain the relationship between focal length and radius of curvature of a spherical mirror""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter09_Lightreflection_And_Refraction,Mirror formula and magnification,"Calculate image distance, object distance or focal length using the mirror formula","[""New Cartesian Sign Convention for spherical mirrors"", ""Principal focus and focal length of spherical mirrors"", ""Image formation by spherical mirrors for different object positions""]","[""Apply the New Cartesian Sign Convention to solve numerical problems on mirrors""]",[],[],[],[]
