board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,Addition of 3-Digit Numbers with Regrouping,"Identify the place value columns of hundreds, tens and ones in a pictorial or numerical addition setup","[""Place Value: Hundreds, Tens, and Ones (HTO)"", ""Regrouping in Addition and Subtraction""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)"", ""reason"": ""The 3-digit vertical addition with regrouping directly extends the 2-digit carrying procedure already learned without concrete support.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Identify the ones and tens digits that need to be regrouped when adding two 2-digit numbers' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify the tens digit and ones digit in a given two-digit number"", ""reason"": ""Identifying hundreds/tens/ones columns extends the previously learned skill of locating tens and ones digits in a two-digit number.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,Addition of 3-Digit Numbers with Regrouping,"Describe how regrouping occurs when ones or tens exceed 9, using pictorial or numerical representations","[""Place Value: Hundreds, Tens, and Ones (HTO)"", ""Regrouping in Addition and Subtraction""]","[""Identify the place value columns of hundreds, tens and ones in a pictorial or numerical addition setup""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)"", ""reason"": ""The 3-digit vertical addition with regrouping directly extends the 2-digit carrying procedure already learned without concrete support.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Identify the ones and tens digits that need to be regrouped when adding two 2-digit numbers' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify the ones and tens digits that need to be regrouped when adding two 2-digit numbers"", ""reason"": ""Describing regrouping for 3-digit numbers builds on the earlier skill of spotting which digits need to be regrouped in 2-digit addition.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,Addition of 3-Digit Numbers with Regrouping,Apply the carrying rule when the sum of ones or tens exceeds 9,"[""Place Value: Hundreds, Tens, and Ones (HTO)"", ""Regrouping in Addition and Subtraction""]","[""Describe how regrouping occurs when ones or tens exceed 9, using pictorial or numerical representations""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)"", ""reason"": ""The 3-digit vertical addition with regrouping directly extends the 2-digit carrying procedure already learned without concrete support.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Identify the ones and tens digits that need to be regrouped when adding two 2-digit numbers' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Apply regrouping of ones into tens without using concrete objects or pictures"", ""reason"": ""The carrying rule for 3-digit sums is a direct extension of the abstract regrouping procedure already practiced with 2-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,Addition of 3-Digit Numbers with Regrouping,"Calculate the sum of two 3-digit numbers using the vertical algorithm with regrouping, sums not exceeding 999","[""Place Value: Hundreds, Tens, and Ones (HTO)"", ""Regrouping in Addition and Subtraction""]","[""Apply the carrying rule when the sum of ones or tens exceeds 9"", ""Apply place value understanding to set up numbers correctly in addition and subtraction columns""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)"", ""reason"": ""The 3-digit vertical addition with regrouping directly extends the 2-digit carrying procedure already learned without concrete support.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Identify the ones and tens digits that need to be regrouped when adding two 2-digit numbers' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""The vertical addition algorithm with carrying for 3-digit numbers is a direct extension of the same algorithm already mastered for 2-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,Addition of 3-Digit Numbers with Regrouping,Verify the correctness of a computed 3-digit addition sum by re-checking column totals,"[""Place Value: Hundreds, Tens, and Ones (HTO)"", ""Regrouping in Addition and Subtraction""]","[""Calculate the sum of two 3-digit numbers using the vertical algorithm with regrouping, sums not exceeding 999""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Addition of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)"", ""reason"": ""The 3-digit vertical addition with regrouping directly extends the 2-digit carrying procedure already learned without concrete support.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Place value of tens and ones in two-digit numbers"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a given two-digit number' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Identify the ones and tens digits that need to be regrouped when adding two 2-digit numbers' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Verify the calculated sum by re-checking the regrouping steps"", ""reason"": ""The verification technique of re-checking regrouping/column totals was already practiced for 2-digit sums and is applied here to 3-digit sums.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,One-Step Real-Life Addition Word Problems,Identify the numbers and operation required to solve a one-step addition word problem,"[""Addition of 3-Digit Numbers with Regrouping""]","[""Translate a daily life addition situation into a mathematical addition statement""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Derived from skill prerequisite: 'Identify the numbers and operation needed to solve an addition word problem' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Matching Real-Life Problems to Number Statements (Addition and Subtraction, 2-digit Numbers)"", ""reason"": ""Derived from skill prerequisite: 'Construct the correct number statement matching a given real-life problem' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Identify the numbers and operation needed to solve an addition word problem"", ""reason"": ""This is the same analytical skill of extracting numbers and operation from a word problem, previously practiced with 2-digit contexts.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,One-Step Real-Life Addition Word Problems,Translate a daily life addition situation into a mathematical addition statement,"[""Addition of 3-Digit Numbers with Regrouping""]","[""Identify the numbers and operation required to solve a one-step addition word problem""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Derived from skill prerequisite: 'Identify the numbers and operation needed to solve an addition word problem' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Matching Real-Life Problems to Number Statements (Addition and Subtraction, 2-digit Numbers)"", ""reason"": ""Derived from skill prerequisite: 'Construct the correct number statement matching a given real-life problem' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Construct the correct number statement matching a given real-life problem"", ""reason"": ""Converting a real-life situation into a number statement was already practiced and is directly reused for addition situations with 3-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,One-Step Real-Life Addition Word Problems,"Solve one-step real life addition problems involving 3-digit numbers with and without regrouping, sums not exceeding 999","[""Addition of 3-Digit Numbers with Regrouping""]","[""Calculate the sum of two 3-digit numbers using the vertical algorithm with regrouping, sums not exceeding 999"", ""Translate a daily life addition situation into a mathematical addition statement""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Derived from skill prerequisite: 'Identify the numbers and operation needed to solve an addition word problem' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Matching Real-Life Problems to Number Statements (Addition and Subtraction, 2-digit Numbers)"", ""reason"": ""Derived from skill prerequisite: 'Construct the correct number statement matching a given real-life problem' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Solve day-to-day life word problems using addition of two-digit numbers"", ""reason"": ""Solving real-life addition problems with 3-digit numbers extends the same problem-solving process already practiced with 2-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,One-Step Real-Life Addition Word Problems,Verify the reasonableness of the answer obtained for a real life addition problem,"[""Addition of 3-Digit Numbers with Regrouping""]","[""Solve one-step real life addition problems involving 3-digit numbers with and without regrouping, sums not exceeding 999""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Derived from skill prerequisite: 'Identify the numbers and operation needed to solve an addition word problem' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Matching Real-Life Problems to Number Statements (Addition and Subtraction, 2-digit Numbers)"", ""reason"": ""Derived from skill prerequisite: 'Construct the correct number statement matching a given real-life problem' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter12_Give_and_Take,Subtraction of 3-Digit Numbers,Identify the place value columns for subtracting a 3-digit number using place value blocks,"[""Place Value: Hundreds, Tens, and Ones (HTO)"", ""Regrouping in Addition and Subtraction""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Subtraction of 2-digit Numbers with Regrouping (Vertical Algorithm, No Concrete Support)"", ""reason"": ""3-digit subtraction with borrowing builds directly on the 2-digit borrowing procedure already mastered.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction using blocks (tens and ones blocks)"", ""reason"": ""Derived from skill prerequisite: 'Represent two-digit numbers using tens and ones blocks before subtracting' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtraction using a number line"", ""reason"": ""Derived from skill prerequisite: 'Subtract two-digit numbers using a number line by jumping backwards in tens and ones' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Represent two-digit numbers using tens and ones blocks before subtracting"", ""reason"": ""Setting up place value blocks for subtraction of 3-digit numbers extends the same block-representation technique used for 2-digit subtraction.""}]"
