board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter05_Life_Processes,Nutrition - Autotrophic vs Heterotrophic,Differentiate autotrophic nutrition from heterotrophic nutrition based on their mode of obtaining food,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Heterotrophic Nutrition Strategies,List the strategies employed by heterotrophs to obtain food,"[""Nutrition - Autotrophic vs Heterotrophic""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Saprotrophic Nutrition,Describe how saprotrophs obtain nutrition by decomposing dead organic matter,"[""Heterotrophic Nutrition Strategies""]","[""List the strategies employed by heterotrophs to obtain food""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Parasitic Nutrition,Describe how parasites obtain nutrition from a host organism,"[""Heterotrophic Nutrition Strategies""]","[""List the strategies employed by heterotrophs to obtain food""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Holozoic Nutrition,Describe how holozoic organisms ingest and digest solid food,"[""Heterotrophic Nutrition Strategies""]","[""List the strategies employed by heterotrophs to obtain food""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Photosynthesis,Explain the process of absorption of carbon dioxide and water by plants during photosynthesis,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Photosynthesis,Explain the process of conversion of carbon dioxide and water into carbohydrates during photosynthesis,[],"[""Explain the process of absorption of carbon dioxide and water by plants during photosynthesis""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Photosynthesis - Site and Pigment,Identify chlorophyll and chloroplast as the site and pigment responsible for photosynthesis,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Photosynthesis - Raw Material Uptake,"Explain how plants take up raw materials (CO2, water, nitrogen) needed for photosynthesis and nutrition","[""Photosynthesis""]","[""Explain the process of absorption of carbon dioxide and water by plants during photosynthesis""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Digestive System,Illustrate the process involved in the human digestive system,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Digestive System,Design a working model of the human digestive system using eco-friendly resources,[],"[""Illustrate the process involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Digestive System,Describe the role of villi in absorption of digested food,[],"[""Illustrate the process involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Digestive Tract Organs,"Label and describe the functions of buccal cavity, oesophagus, stomach, small intestine and large intestine in digestion","[""Human Digestive System""]","[""Illustrate the process involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Digestive Enzymes,List the enzymes and their functions involved in the human digestive system,"[""Human Digestive System""]","[""Illustrate the process involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Salivary Digestion,Explain the role of saliva and salivary amylase in breakdown of starch in the mouth,"[""Digestive Tract Organs"", ""Digestive Enzymes""]","[""Label and describe the functions of buccal cavity, oesophagus, stomach, small intestine and large intestine in digestion"", ""List the enzymes and their functions involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Gastric Digestion,"Explain the role of gastric juice, pepsin and hydrochloric acid in digestion in the stomach","[""Digestive Tract Organs"", ""Digestive Enzymes""]","[""Label and describe the functions of buccal cavity, oesophagus, stomach, small intestine and large intestine in digestion"", ""List the enzymes and their functions involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Role of Liver and Bile,Explain the role of liver and bile in the digestion and emulsification of fats,"[""Digestive Tract Organs"", ""Digestive Enzymes""]","[""Label and describe the functions of buccal cavity, oesophagus, stomach, small intestine and large intestine in digestion"", ""List the enzymes and their functions involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Role of Pancreas,"Explain the role of pancreatic enzymes in digestion of carbohydrates, proteins and fats","[""Digestive Tract Organs"", ""Digestive Enzymes""]","[""Label and describe the functions of buccal cavity, oesophagus, stomach, small intestine and large intestine in digestion"", ""List the enzymes and their functions involved in the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Breakdown of Glucose,Outline the pathways involved in the breakdown of glucose to obtain energy,"[""Photosynthesis""]","[""Explain the process of conversion of carbon dioxide and water into carbohydrates during photosynthesis""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Aerobic and Anaerobic Respiration,Distinguish between aerobic and anaerobic respiration,"[""Breakdown of Glucose""]","[""Outline the pathways involved in the breakdown of glucose to obtain energy""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Anaerobic Respiration in Yeast,Describe fermentation of glucose into ethanol and carbon dioxide by yeast,"[""Aerobic and Anaerobic Respiration""]","[""Distinguish between aerobic and anaerobic respiration""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Anaerobic Respiration in Muscles,Describe the breakdown of glucose into lactic acid in muscles during oxygen deficiency,"[""Aerobic and Anaerobic Respiration""]","[""Distinguish between aerobic and anaerobic respiration""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,ATP as Energy Currency,Describe the role of ATP in cellular energy transfer,"[""Breakdown of Glucose""]","[""Outline the pathways involved in the breakdown of glucose to obtain energy""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Respiratory System,Illustrate the process involved in the human respiratory system,"[""Diffusion Limitation in Multicellular Organisms""]","[""Explain why diffusion is insufficient for oxygen transport in multicellular organisms""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Respiratory System,Design a working model of the human respiratory system using eco-friendly resources,"[""Diffusion Limitation in Multicellular Organisms""]","[""Illustrate the process involved in the human respiratory system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Respiratory Organs and Pathway,"Trace the pathway of air from nostrils through trachea, bronchi, bronchioles to alveoli","[""Human Respiratory System""]","[""Illustrate the process involved in the human respiratory system""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Diffusion Limitation in Multicellular Organisms,Explain why diffusion is insufficient for oxygen transport in multicellular organisms,"[""Gaseous Exchange in Alveoli""]","[""Explain how alveoli are designed to maximise gas exchange""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Gaseous Exchange in Alveoli,Explain how alveoli are designed to maximise gas exchange,"[""Respiratory Organs and Pathway""]","[""Trace the pathway of air from nostrils through trachea, bronchi, bronchioles to alveoli""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Haemoglobin and Oxygen Transport,Explain the role of haemoglobin in oxygen transport,"[""Gaseous Exchange in Alveoli""]","[""Explain how alveoli are designed to maximise gas exchange""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Circulatory System - Heart,Illustrate the process of transport of oxygenated and de-oxygenated blood by the human heart,"[""Respiratory Organs and Pathway"", ""Haemoglobin and Oxygen Transport""]","[""Trace the pathway of air from nostrils through trachea, bronchi, bronchioles to alveoli"", ""Explain the role of haemoglobin in oxygen transport""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Human Circulatory System - Heart,Design a working model illustrating blood transport by the human heart using eco-friendly resources,"[""Respiratory Organs and Pathway"", ""Haemoglobin and Oxygen Transport""]","[""Illustrate the process of transport of oxygenated and de-oxygenated blood by the human heart""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Heart Chambers and Valves,"Label the chambers, valves and associated blood vessels of the human heart and explain their function in preventing mixing of blood","[""Human Circulatory System - Heart""]","[""Illustrate the process of transport of oxygenated and de-oxygenated blood by the human heart""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Double Circulation in Humans,Explain the significance of double circulation in maintaining separate oxygenated and deoxygenated blood flow in humans,"[""Human Circulatory System - Heart"", ""Heart Chambers and Valves""]","[""Label the chambers, valves and associated blood vessels of the human heart and explain their function in preventing mixing of blood""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter05_Life_Processes,Double Circulation in Fishes,Outline the process of double circulation of blood in fishes,"[""Human Circulatory System - Heart""]","[""Illustrate the process of transport of oxygenated and de-oxygenated blood by the human heart""]",[],[],[],[]
