board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of two or three digit numbers through standard algorithm,Identify the steps of the standard multiplication algorithm,[],[],"[{""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Estimation of Sum, Difference, Product and Quotient"", ""reason"": ""Derived from skill prerequisite: 'Estimate the product or quotient of large numbers through approximation' (in Chapter01_The_Fish_Tale) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before extending the same column-based procedure to multi-digit by multi-digit standard algorithm multiplication.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Word problems involving multiplication and division"", ""reason"": ""Derived from skill prerequisite: 'Solve a variety of daily life problems using multiplication' (in Grade 4/Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of two or three digit numbers through standard algorithm,Calculate the product of two or three digit numbers using the standard algorithm,[],"[""Identify the steps of the standard multiplication algorithm""]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Estimation of Sum, Difference, Product and Quotient"", ""reason"": ""Derived from skill prerequisite: 'Estimate the product or quotient of large numbers through approximation' (in Chapter01_The_Fish_Tale) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before extending the same column-based procedure to multi-digit by multi-digit standard algorithm multiplication.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Word problems involving multiplication and division"", ""reason"": ""Derived from skill prerequisite: 'Solve a variety of daily life problems using multiplication' (in Grade 4/Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""skill"": ""Multiply 2- and 3-digit numbers by 1-digit numbers using decomposition"", ""reason"": ""Multiplying a multi-digit number by a single digit using decomposition is the component skill that the full standard algorithm for multi-digit multipliers builds upon.""}]"
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of two or three digit numbers through standard algorithm,Apply the standard algorithm to multiply numbers arising in daily contexts,[],"[""Calculate the product of two or three digit numbers using the standard algorithm""]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Estimation of Sum, Difference, Product and Quotient"", ""reason"": ""Derived from skill prerequisite: 'Estimate the product or quotient of large numbers through approximation' (in Chapter01_The_Fish_Tale) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before extending the same column-based procedure to multi-digit by multi-digit standard algorithm multiplication.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Word problems involving multiplication and division"", ""reason"": ""Derived from skill prerequisite: 'Solve a variety of daily life problems using multiplication' (in Grade 4/Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""skill"": ""Solve a variety of daily life problems using multiplication"", ""reason"": ""Recognising and applying multiplication to everyday situations in Grade 4 is the base skill needed before applying the more formal standard algorithm to such contexts.""}]"
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of two or three digit numbers through standard algorithm,Verify the product obtained by the standard algorithm using estimation,[],"[""Calculate the product of two or three digit numbers using the standard algorithm""]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""concept"": ""Estimation of Sum, Difference, Product and Quotient"", ""reason"": ""Derived from skill prerequisite: 'Estimate the product or quotient of large numbers through approximation' (in Chapter01_The_Fish_Tale) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter01_The_Fish_Tale"", ""skill"": ""Estimate the product or quotient of large numbers through approximation"", ""reason"": ""Verifying a product by estimation requires already knowing how to approximate and estimate products of large numbers.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before extending the same column-based procedure to multi-digit by multi-digit standard algorithm multiplication.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Word problems involving multiplication and division"", ""reason"": ""Derived from skill prerequisite: 'Solve a variety of daily life problems using multiplication' (in Grade 4/Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of 2-digit and 3-digit numbers using expanded form,Describe the expanded form method of multiplying by splitting a number into tens and ones,"[""Multiplication of two or three digit numbers through standard algorithm""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""concept"": ""Multiplying two-digit numbers using the grid/area method"", ""reason"": ""The grid/area method decomposes each factor into tens and ones and sums partial products, which is the direct precursor technique to the expanded form method taught here.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""skill"": ""Multiply two-digit numbers using the grid/area method"", ""reason"": ""The grid method already splits numbers into tens and ones to multiply, which is the exact technique being described and named here.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""skill"": ""Expand a two-digit number into tens and ones before multiplying"", ""reason"": ""Decomposing a number into tens and ones before multiplying is the precise prior step this method description depends on.""}]"
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of 2-digit and 3-digit numbers using expanded form,Multiply 2-digit and 3-digit numbers by splitting the multiplier into tens and ones,"[""Multiplication of two or three digit numbers through standard algorithm""]","[""Describe the expanded form method of multiplying by splitting a number into tens and ones""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""concept"": ""Multiplying two-digit numbers using the grid/area method"", ""reason"": ""The grid/area method decomposes each factor into tens and ones and sums partial products, which is the direct precursor technique to the expanded form method taught here.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""skill"": ""Expand a two-digit number into tens and ones before multiplying"", ""reason"": ""Splitting a number into tens and ones before multiplying was already practiced in Grade 4 and is directly reused to split the multiplier here.""}]"
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of 2-digit and 3-digit numbers using expanded form,Calculate partial products from expanded form and add them to find the total product,"[""Multiplication of two or three digit numbers through standard algorithm""]","[""Multiply 2-digit and 3-digit numbers by splitting the multiplier into tens and ones""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""concept"": ""Multiplying two-digit numbers using the grid/area method"", ""reason"": ""The grid/area method decomposes each factor into tens and ones and sums partial products, which is the direct precursor technique to the expanded form method taught here.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""skill"": ""Multiply two-digit numbers using the grid/area method"", ""reason"": ""The grid/area method already requires computing and summing partial products from tens and ones, the exact procedure being extended here.""}]"
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Multiplication of 2-digit and 3-digit numbers using expanded form,Compare the expanded form method with the standard algorithm for the same multiplication,"[""Multiplication of two or three digit numbers through standard algorithm""]","[""Calculate partial products from expanded form and add them to find the total product"", ""Calculate the product of two or three digit numbers using the standard algorithm""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter13_The_Transport_Museum"", ""concept"": ""Multiplying two-digit numbers using the grid/area method"", ""reason"": ""The grid/area method decomposes each factor into tens and ones and sums partial products, which is the direct precursor technique to the expanded form method taught here.""}]",[]
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Bela's method of multiplication,Describe Bela's two-step method of multiplying by breaking the multiplier,"[""Multiplication of 2-digit and 3-digit numbers using expanded form"", ""Multiplication of two or three digit numbers through standard algorithm""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter13_Ways_To_Multiply_And_Divide,Bela's method of multiplication,Apply Bela's two-step multiplication method to multiply pairs of numbers,"[""Multiplication of 2-digit and 3-digit numbers using expanded form"", ""Multiplication of two or three digit numbers through standard algorithm""]","[""Describe Bela's two-step method of multiplying by breaking the multiplier""]",[],[],[],[]
