board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Floating and Sinking of Objects,List objects that float and objects that sink in water,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Floating and Sinking of Objects,State reasons why some objects float and others sink in water,[],"[""List objects that float and objects that sink in water""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Buoyancy in Saline Water,Relate the reason for objects floating easily in the Dead Sea,"[""Floating and Sinking of Objects""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Solubility of Substances in Water,Classify objects and substances as soluble or insoluble in water through a simple activity,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Solubility of Substances in Water,Explain that some dissolved substances can be separated from water again,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Evaporation of Water,Explain how drying objects in the sun and heating water reduces its quantity through evaporation,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Evaporation of Water,Describe the process of salt making using evaporation,[],"[""Explain how drying objects in the sun and heating water reduces its quantity through evaporation""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,What is Energy,"Identify different forms of energy such as heat, light, sound and movement",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Effects of Energy,"Explain how energy makes things move, light up, produce sound and change temperature","[""What is Energy""]","[""Identify different forms of energy such as heat, light, sound and movement""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Effects of Energy,"Demonstrate through simple activities how air, sunlight and vibration produce energy effects","[""What is Energy""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Sources of Energy,"Describe the different sources of energy such as food, fuel, electricity, Sun, wind and water","[""What is Energy""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Sources of Energy,Distinguish between clean and polluting sources of energy,"[""What is Energy""]","[""Describe the different sources of energy such as food, fuel, electricity, Sun, wind and water""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Food as a Source of Energy for Living Things,Explain why food is described as the energy source that powers body activities like movement and growth,"[""Sources of Energy""]","[""Describe the different sources of energy such as food, fuel, electricity, Sun, wind and water""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Energy from Fuel,"Explain how fuels like petrol, diesel, wood, coal and cooking gas provide energy","[""Sources of Energy""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Energy from Fuel,"Identify fuels commonly used at home for cooking such as wood, coal and cooking gas","[""Sources of Energy""]","[""Explain how fuels like petrol, diesel, wood, coal and cooking gas provide energy""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Fuels Used at Home for Cooking,"Compare the advantages and disadvantages of using wood, coal and cooking gas as cooking fuels at home","[""Energy from Fuel""]","[""Explain how fuels like petrol, diesel, wood, coal and cooking gas provide energy"", ""Identify fuels commonly used at home for cooking such as wood, coal and cooking gas""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Electricity and its uses,Identify household devices that use electricity,"[""What is Energy"", ""Sources of Energy""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Electricity and its uses,"Classify devices based on the type of energy they use (light, sound, heat, movement, cooling)","[""What is Energy"", ""Sources of Energy""]","[""Identify household devices that use electricity""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Safe Use of Electricity,State safety precautions to be followed while using electricity,"[""Electricity and its uses""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Pollution from Fuels,Describe the harmful substances released and environmental damage caused when fuels like coal are burnt,"[""Energy from Fuel""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,"Generating Energy from the Sun, Wind and Water","Describe how solar panels, windmills and water wheels generate clean electricity","[""Sources of Energy""]","[""Describe the different sources of energy such as food, fuel, electricity, Sun, wind and water""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,Clean Energy,Analyse the advantages of using solar or wind energy over coal,"[""Generating Energy from the Sun, Wind and Water"", ""Pollution from Fuels""]","[""Describe how solar panels, windmills and water wheels generate clean electricity"", ""Describe the harmful substances released and environmental damage caused when fuels like coal are burnt""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter07_Energy—How_Things_Work,"Energy storage (batteries, body energy)","Describe how energy is stored and used later, using examples like batteries and body energy","[""What is Energy""]","[""Identify different forms of energy such as heat, light, sound and movement""]",[],[],[],[]
