board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,"Animals living on, around and under plants","Identify animals, birds and insects that live on or around plants",[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Life in the soil,Identify insects and creatures commonly found in soil,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Composition and characteristics of soil,"Describe the colour, texture, and smell of soil samples",[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Composition and characteristics of soil,Compare soil collected from different locations and times,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Composition and characteristics of soil,Explain how soil is formed from rocks and organic matter,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Effect of rain on soil and emergence of creatures,Describe changes in soil and plant life after rainfall,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Insects and creatures found in soil and on plants,"Observe and record animals, birds and insects near a chosen plant","[""Animals living on, around and under plants""]","[""Identify animals, birds and insects that live on or around plants""]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed' (in Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Insects and creatures found in soil and on plants,"Describe the physical features (shape, size, colour) of observed animals","[""Animals living on, around and under plants""]","[""Observe and record animals, birds and insects near a chosen plant""]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed' (in Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Insects and creatures found in soil and on plants,"Draw a plant and mark locations where animals, birds or insects were observed","[""Animals living on, around and under plants""]","[""Observe and record animals, birds and insects near a chosen plant""]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed' (in Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed"", ""reason"": ""Marking accurate locations of animals on a plant drawing (e.g., on leaves, branches, or roots) requires first knowing the distinct parts of a plant to label.""}]"
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,"How animals, birds and insects use plants for food, shelter and nesting","Explain how animals use different parts of plants for food, shelter and nesting","[""Animals living on, around and under plants""]","[""Identify animals, birds and insects that live on or around plants""]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Understanding which parts of a plant serve as food, shelter or nesting sites for animals requires already knowing what the parts of a plant (roots, stem, leaves, flowers, fruits, seeds) are.""}]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed"", ""reason"": ""Students must be able to name and distinguish the different parts of a plant before they can explain how animals use each specific part for food, shelter or nesting.""}]"
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,"How animals, birds and insects use plants for food, shelter and nesting",Explain reasons why animals choose to stay near certain plants,"[""Animals living on, around and under plants""]","[""Identify animals, birds and insects that live on or around plants""]","[{""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Understanding which parts of a plant serve as food, shelter or nesting sites for animals requires already knowing what the parts of a plant (roots, stem, leaves, flowers, fruits, seeds) are.""}]",[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Sounds of birds and identifying birds by sound,Recognise and mimic sounds made by different birds,"[""Animals living on, around and under plants""]","[""Identify animals, birds and insects that live on or around plants""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Sounds of birds and identifying birds by sound,Identify the time of day when bird sounds are most audible,"[""Animals living on, around and under plants""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter05_Plants_and_Animals_Live_Together,Life cycle of a butterfly (caterpillar to butterfly),Sequence the stages in the life cycle of a butterfly,[],[],[],[]
