board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Animal Ears - External and Internal,"Identify animals by the nature of ears they have, distinguishing external from internal ears",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Animal Ears - External and Internal,Name animals with visible external ears and animals with internal (hidden) ears,[],"[""Identify animals by the nature of ears they have, distinguishing external from internal ears""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Skin and Body Covering,Identify animals by the patterns present on their skin,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Skin and Body Covering,Distinguish animals on the basis of hairs or feathers found on their skin,[],"[""Identify animals by the patterns present on their skin""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Egg-laying vs Live Birth in Animals,Identify and differentiate between animals that lay eggs and animals that give birth to young ones,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Extinction and Care of Animals,Explain why some animals are becoming extinct from our surroundings,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Drawing and Representing Animals,Draw and represent animals using paper or other material,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Comparing Animals by Features,"Compare animals based on their features such as ears, skin, and reproduction to sort them into groups","[""Animal Ears - External and Internal"", ""Skin and Body Covering"", ""Egg-laying vs Live Birth in Animals""]","[""Identify animals by the nature of ears they have, distinguishing external from internal ears"", ""Identify animals by the patterns present on their skin"", ""Identify and differentiate between animals that lay eggs and animals that give birth to young ones""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""concept"": ""Classification of animals by number of legs"", ""reason"": ""Sorting animals into groups by features such as ears and skin builds on the earlier skill of classifying animals using a simple physical feature like leg count.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""skill"": ""Classify animals, birds and insects based on the number of legs"", ""reason"": ""Sorting animals into groups by multiple features requires the earlier-established ability to classify animals using a simple observable feature.""}]"
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Postal services and letter writing,Describe how post offices and postal services work,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter02_Exploring_Our_Neighbourhood,Evolution of communication methods,Explain how communication methods have evolved over time,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Vehicles in Present and Past"", ""reason"": ""Derived from skill prerequisite: 'Describe the change in modes of transport by interviewing elders' (in Grade 3/Chapter11_Making_Things) is a prerequisite of a skill under this concept.""}]",[]
