board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,Introduction to graphs,Identify the purpose and everyday uses of graphs in representing information,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""A Bar Graph"", ""reason"": ""Derived from skill prerequisite: 'Observe a bar graph and identify the information presented' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""concept"": ""Chapati (pie) chart"", ""reason"": ""Derived from skill prerequisite: 'Fill in a chapati chart using data from a table' (in Grade 5/Chapter12_Smart_Charts) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,Introduction to graphs,Distinguish between different types of graphs used to represent data,[],"[""Identify the purpose and everyday uses of graphs in representing information""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""A Bar Graph"", ""reason"": ""Derived from skill prerequisite: 'Observe a bar graph and identify the information presented' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""concept"": ""Chapati (pie) chart"", ""reason"": ""Derived from skill prerequisite: 'Fill in a chapati chart using data from a table' (in Grade 5/Chapter12_Smart_Charts) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""skill"": ""Observe a bar graph and identify the information presented"", ""reason"": ""Recognising a bar graph as one type of representation is needed before a student can distinguish it from other graph types like line graphs.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""skill"": ""Fill in a chapati chart using data from a table"", ""reason"": ""Prior exposure to pie (chapati) charts is needed to distinguish them from bar graphs and line graphs.""}]"
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,Introduction to graphs,Explain why graphs are used instead of raw data for interpretation,[],"[""Identify the purpose and everyday uses of graphs in representing information""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""A Bar Graph"", ""reason"": ""Derived from skill prerequisite: 'Observe a bar graph and identify the information presented' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""concept"": ""Chapati (pie) chart"", ""reason"": ""Derived from skill prerequisite: 'Fill in a chapati chart using data from a table' (in Grade 5/Chapter12_Smart_Charts) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,Visual representation of data,Describe how visual representation of data makes information easier to understand,"[""Introduction to graphs""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""A Bar Graph"", ""reason"": ""Derived from skill prerequisite: 'Observe a bar graph and identify the information presented' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""concept"": ""Chapati (pie) chart"", ""reason"": ""Derived from skill prerequisite: 'Fill in a chapati chart using data from a table' (in Grade 5/Chapter12_Smart_Charts) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""Horizontal and Vertical Bar Graphs"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between horizontal and vertical bar graphs and select the appropriate orientation for given data' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,Visual representation of data,"Compare bar graphs, pie charts, and line graphs as ways of visually representing data","[""Introduction to graphs""]","[""Describe how visual representation of data makes information easier to understand""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""A Bar Graph"", ""reason"": ""Derived from skill prerequisite: 'Observe a bar graph and identify the information presented' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""concept"": ""Chapati (pie) chart"", ""reason"": ""Derived from skill prerequisite: 'Fill in a chapati chart using data from a table' (in Grade 5/Chapter12_Smart_Charts) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""Horizontal and Vertical Bar Graphs"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between horizontal and vertical bar graphs and select the appropriate orientation for given data' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""skill"": ""Observe a bar graph and identify the information presented"", ""reason"": ""Comparing bar graphs with other chart types requires already knowing how to read a bar graph.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""skill"": ""Fill in a chapati chart using data from a table"", ""reason"": ""Comparing pie charts with other representations requires prior familiarity with constructing and reading a pie (chapati) chart.""}]"
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,Visual representation of data,Select an appropriate visual representation for a given data set,"[""Introduction to graphs""]","[""Distinguish between different types of graphs used to represent data"", ""Compare bar graphs, pie charts, and line graphs as ways of visually representing data""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""A Bar Graph"", ""reason"": ""Derived from skill prerequisite: 'Observe a bar graph and identify the information presented' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter12_Smart_Charts"", ""concept"": ""Chapati (pie) chart"", ""reason"": ""Derived from skill prerequisite: 'Fill in a chapati chart using data from a table' (in Grade 5/Chapter12_Smart_Charts) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""concept"": ""Horizontal and Vertical Bar Graphs"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between horizontal and vertical bar graphs and select the appropriate orientation for given data' (in Grade 6/Chapter04_Data_Handling_And_Presentation) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Data_Handling_And_Presentation"", ""skill"": ""Distinguish between horizontal and vertical bar graphs and select the appropriate orientation for given data"", ""reason"": ""Choosing among representation formats for a data set builds on the earlier practised skill of selecting an appropriate graph format/orientation.""}]"
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,A Line Graph,Draw a line graph to represent data that changes continuously over periods of time,"[""Visual representation of data"", ""Introduction to graphs"", ""Interpreting graphs""]","[""Select an appropriate visual representation for a given data set"", ""Identify the purpose and everyday uses of graphs in representing information""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Double bar graphs"", ""reason"": ""Derived from skill prerequisite: 'Compare and discuss two sets of data using a double bar graph' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,A Line Graph,Interpret a given line graph to answer questions based on it,"[""Visual representation of data"", ""Introduction to graphs"", ""Interpreting graphs""]","[""Read specific values of variables from a given graph""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Double bar graphs"", ""reason"": ""Derived from skill prerequisite: 'Compare and discuss two sets of data using a double bar graph' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,A Line Graph,Identify trends and changes shown by a line graph over time,"[""Visual representation of data"", ""Introduction to graphs"", ""Interpreting graphs""]","[""Interpret the overall trend and rate of change shown by a graph""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Double bar graphs"", ""reason"": ""Derived from skill prerequisite: 'Compare and discuss two sets of data using a double bar graph' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter13_Introduction_To_Graphs,A Line Graph,Compare two data sets using a line graph,"[""Visual representation of data"", ""Introduction to graphs"", ""Interpreting graphs""]","[""Interpret the overall trend and rate of change shown by a graph""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Double bar graphs"", ""reason"": ""Derived from skill prerequisite: 'Compare and discuss two sets of data using a double bar graph' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""skill"": ""Compare and discuss two sets of data using a double bar graph"", ""reason"": ""Comparing two data sets on a line graph builds on the earlier-practised skill of comparing two data sets using a double bar graph.""}]"
